Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27118,503,484,429,467,472,445,487,481,449,476,553,578,553,526,528,583,563,574,566,562,683,582,567,481,503,445,379,449,461,368,420,506,533,564,643,651,603,891,604,560,586,562,517,568,487,449,487,422,510,454,494,410,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
TOTAL CAUSAS SISTEMA RESPIRATORIO,9933,147,95,83,91,75,78,88,67,64,94,178,234,203,170,174,201,185,208,201,257,390,304,293,243,226,199,192,179,184,134,158,205,240,268,324,355,326,510,266,222,206,217,193,157,142,97,98,137,126,124,177,148,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
IRA Alta (J00-J06),6431,92,67,61,69,58,53,68,47,46,66,127,168,143,125,133,147,130,153,142,193,281,208,188,134,131,129,100,105,97,82,100,139,161,192,193,227,184,265,197,122,126,133,99,75,95,53,63,77,78,75,125,109,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Influenza (J09-J11),244,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,3,10,12,10,11,9,17,9,2,1,4,1,1,4,4,8,7,6,73,3,7,8,3,5,0,1,0,0,9,0,0,0,9,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Neumonía (J12-J18),506,5,8,7,1,1,2,8,4,5,1,2,6,8,5,3,5,5,7,4,5,7,6,11,12,19,3,19,9,15,16,5,6,13,12,23,25,27,71,6,17,13,6,27,9,2,8,4,8,5,2,8,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Bronquitis/bronquiolitis aguda (J20-J21),2405,35,14,10,12,12,19,6,14,10,20,40,51,37,32,31,40,41,46,49,46,80,67,78,80,62,45,62,58,67,24,46,54,55,55,94,89,105,90,60,69,58,57,48,65,39,30,25,37,37,42,38,24,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Crisis obstructiva bronquial (J40-J46),221,10,4,3,6,2,3,5,1,3,4,5,5,8,5,4,6,3,1,2,6,9,7,4,4,3,3,1,3,3,7,5,4,4,5,3,3,4,7,0,3,0,9,9,5,2,2,5,6,2,3,4,6,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",126,4,2,2,2,2,1,1,0,0,3,4,4,7,3,3,3,3,1,3,4,3,4,2,2,2,2,1,2,1,1,1,1,3,0,3,4,0,4,0,4,1,9,5,3,3,4,1,0,4,2,2,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
COVID 19 Sospechoso (U072),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
COVID 19 Confirmado (U071),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,-,-,-,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
TOTAL CAUSAS SISTEMA CIRCULATORIO,211,7,11,5,3,10,6,6,5,6,9,2,8,5,8,6,11,4,5,5,5,2,1,1,2,4,2,1,2,0,1,3,1,3,1,3,2,1,6,2,5,2,4,5,10,4,1,7,3,1,0,3,1,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Infarto agudo miocardio,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Accidente vascular encefálico,12,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Crisis hipertensiva,35,2,1,1,0,1,3,1,1,4,3,0,2,0,6,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Arritmia grave,15,0,1,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Otras causas circulatorias,143,5,9,3,3,8,3,4,1,2,4,1,4,5,2,2,7,1,4,5,4,0,1,1,2,4,2,1,0,0,1,2,1,1,1,2,2,1,5,2,3,2,2,5,8,4,1,5,3,0,0,3,1,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,9,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
Accidentes del tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Talcahuano,SAR,SAR Dr. Alberto Reyes
