Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Valdivia,SAR,SAR Barrios Bajos
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,42409,715,689,618,600,654,662,653,677,673,616,807,827,760,801,794,830,901,861,910,983,951,931,879,846,971,856,823,806,776,718,699,710,812,883,985,1011,1033,972,1061,947,938,1012,721,773,750,733,734,750,807,824,801,865,2019,Valdivia,SAR,SAR Barrios Bajos
TOTAL CAUSAS SISTEMA RESPIRATORIO,13870,190,145,121,99,110,102,93,96,118,103,194,304,244,198,274,317,336,295,355,432,456,413,379,404,422,378,344,334,266,217,218,232,291,330,351,428,424,412,442,363,352,384,262,212,184,156,146,160,197,217,179,191,2019,Valdivia,SAR,SAR Barrios Bajos
IRA Alta (J00-J06),9116,127,87,80,54,76,60,54,69,82,70,136,208,178,142,179,241,237,217,247,269,301,267,262,276,292,236,242,236,167,122,138,153,176,216,228,292,268,260,273,233,227,244,126,120,114,107,101,94,130,154,126,122,2019,Valdivia,SAR,SAR Barrios Bajos
Influenza (J09-J11),454,1,4,1,2,4,0,2,0,4,1,0,0,1,4,11,8,8,7,18,27,19,28,18,23,27,26,21,4,6,4,0,11,7,14,10,11,15,18,18,8,6,15,9,5,6,2,3,2,1,3,6,5,2019,Valdivia,SAR,SAR Barrios Bajos
Neumonía (J12-J18),340,6,8,1,7,2,3,6,1,1,4,0,3,5,3,6,4,5,4,7,17,7,10,9,10,5,15,10,5,8,18,2,7,7,7,2,7,6,7,10,6,11,5,13,5,17,2,10,5,5,5,5,6,2019,Valdivia,SAR,SAR Barrios Bajos
Bronquitis/bronquiolitis aguda (J20-J21),2934,45,29,21,18,16,14,15,16,22,14,40,73,42,41,60,54,71,58,60,97,109,86,67,81,85,86,56,64,60,59,58,45,67,71,73,101,90,91,124,83,83,74,85,67,32,31,23,40,33,42,28,34,2019,Valdivia,SAR,SAR Barrios Bajos
Crisis obstructiva bronquial (J40-J46),622,7,15,12,3,6,10,12,7,7,9,13,14,18,6,14,8,13,9,17,16,17,15,21,12,10,11,14,17,13,9,10,11,22,18,12,15,22,12,14,13,15,21,12,4,6,9,3,16,10,6,5,11,2019,Valdivia,SAR,SAR Barrios Bajos
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",404,4,2,6,15,6,15,4,3,2,5,5,6,0,2,4,2,2,0,6,6,3,7,2,2,3,4,1,8,12,5,10,5,12,4,26,2,23,24,3,20,10,25,17,11,9,5,6,3,18,7,9,13,2019,Valdivia,SAR,SAR Barrios Bajos
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Valdivia,SAR,SAR Barrios Bajos
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2019,Valdivia,SAR,SAR Barrios Bajos
TOTAL CAUSAS SISTEMA CIRCULATORIO,512,13,16,10,9,10,8,10,8,10,12,11,13,14,11,9,5,6,7,9,15,8,10,5,5,7,6,7,7,13,16,12,23,7,13,6,7,14,13,13,7,15,3,9,11,7,10,7,7,7,15,9,7,2019,Valdivia,SAR,SAR Barrios Bajos
Infarto agudo miocardio,21,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,2019,Valdivia,SAR,SAR Barrios Bajos
Accidente vascular encefálico,35,0,1,1,1,0,0,1,1,3,0,1,0,1,0,0,0,0,3,2,0,0,0,1,1,3,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,2,0,1,0,0,1,1,0,0,0,1,1,2019,Valdivia,SAR,SAR Barrios Bajos
Crisis hipertensiva,213,6,7,5,5,2,4,2,0,5,5,5,5,4,2,2,5,1,2,3,6,2,4,2,2,3,1,5,3,4,6,3,11,5,7,4,4,5,6,3,4,8,0,5,6,3,5,3,2,5,8,4,4,2019,Valdivia,SAR,SAR Barrios Bajos
Arritmia grave,55,0,2,2,1,2,0,3,2,1,1,0,1,2,0,2,0,1,0,0,2,2,1,0,1,1,1,0,1,2,3,1,3,0,3,2,1,0,0,1,0,0,3,1,1,1,0,0,0,1,2,0,1,2019,Valdivia,SAR,SAR Barrios Bajos
Otras causas circulatorias,188,7,6,2,2,6,4,3,5,1,6,3,7,4,9,5,0,3,2,4,5,3,5,2,1,0,2,2,3,6,6,7,9,1,3,0,0,7,4,8,1,5,0,2,2,2,4,3,5,1,5,4,1,2019,Valdivia,SAR,SAR Barrios Bajos
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,4878,85,90,97,100,90,110,89,94,105,97,107,89,85,118,100,95,80,77,90,86,88,82,66,73,83,69,76,59,76,85,111,97,69,90,108,102,108,52,101,95,84,79,85,140,136,110,107,98,121,113,111,120,2019,Valdivia,SAR,SAR Barrios Bajos
Accidentes del tránsito,82,0,0,1,1,0,0,2,2,9,2,2,1,4,2,2,3,1,1,1,1,1,0,0,1,2,0,0,1,7,0,6,0,4,0,2,0,5,0,2,1,1,0,2,0,1,4,2,2,3,0,0,0,2019,Valdivia,SAR,SAR Barrios Bajos
Otras causas externas,4796,85,90,96,99,90,110,87,92,96,95,105,88,81,116,98,92,79,76,89,85,87,82,66,72,81,69,76,58,69,85,105,97,65,90,106,102,103,52,99,94,83,79,83,140,135,106,105,96,118,113,111,120,2019,Valdivia,SAR,SAR Barrios Bajos
DIARREA AGUDA (A00-A09),1569,29,20,25,44,31,34,39,19,24,36,21,24,23,15,20,17,53,52,28,36,16,33,36,25,19,19,27,13,30,24,14,23,34,39,39,48,39,40,37,38,44,61,14,21,17,29,26,39,27,44,32,32,2019,Valdivia,SAR,SAR Barrios Bajos
TOTAL DEMÁS CAUSAS,21580,398,418,365,348,413,408,422,460,416,368,474,397,394,459,391,396,426,430,428,414,383,393,393,339,440,384,369,393,391,376,344,335,411,411,481,426,448,455,468,444,443,485,351,389,406,428,448,446,455,435,470,515,2019,Valdivia,SAR,SAR Barrios Bajos
