Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,33237,1545,1282,1328,1398,1383,1258,1227,1197,1199,1195,1349,951,526,459,507,483,533,588,666,671,639,590,683,640,594,645,748,553,599,707,732,811,699,749,804,822,822,787,792,76,2020,Aisén,Hospital,Hospital Regional (Coihaique)
TOTAL CAUSAS SISTEMA RESPIRATORIO,3384,262,212,176,175,184,167,136,146,140,157,253,297,106,86,73,70,42,47,58,53,44,25,52,22,28,19,15,24,24,22,25,30,23,22,34,35,38,32,27,3,2020,Aisén,Hospital,Hospital Regional (Coihaique)
IRA Alta (J00-J06),1662,103,100,59,89,91,79,67,85,76,82,140,166,53,55,33,34,22,30,30,22,25,9,25,6,17,7,6,8,9,13,19,13,9,12,17,12,13,21,5,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Influenza (J09-J11),193,13,8,19,9,6,9,10,7,6,12,23,29,6,1,4,2,2,1,2,3,1,0,3,1,0,0,0,0,1,1,0,3,0,0,1,3,4,0,3,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Neumonía (J12-J18),244,22,13,13,11,15,17,9,10,14,12,11,13,6,3,8,10,2,3,3,3,1,2,4,3,0,3,0,3,5,1,2,1,4,1,3,5,1,5,2,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Bronquitis/bronquiolitis aguda (J20-J21),310,26,26,19,18,18,13,10,7,14,12,11,31,14,10,8,7,7,6,5,10,4,4,2,2,1,2,3,4,2,0,0,2,3,1,4,0,1,0,2,1,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Crisis obstructiva bronquial (J40-J46),280,29,24,17,16,23,12,5,10,7,7,15,11,8,8,8,5,3,3,8,2,5,7,5,3,5,2,4,3,2,0,1,1,2,1,2,4,4,2,6,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",695,69,41,49,32,31,37,35,27,23,32,53,47,19,9,12,12,6,4,10,13,8,3,13,7,5,5,2,6,5,7,3,10,5,7,7,11,15,4,9,2,2020,Aisén,Hospital,Hospital Regional (Coihaique)
COVID 19 Sospechoso (U072),1207,-,-,-,-,-,0,0,0,0,0,3,20,19,28,17,10,5,8,36,49,18,55,79,47,60,69,91,48,42,61,45,26,30,19,46,42,57,62,104,11,2020,Aisén,Hospital,Hospital Regional (Coihaique)
COVID 19 Confirmado (U071),9,-,-,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
TOTAL CAUSAS SISTEMA CIRCULATORIO,884,28,30,20,25,31,21,37,35,36,23,28,17,25,12,11,14,13,18,15,22,23,19,28,18,22,20,10,17,26,29,23,23,27,25,31,23,22,16,21,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Infarto agudo miocardio,21,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,1,2,0,1,0,0,0,0,0,2,1,0,1,1,0,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Accidente vascular encefálico,104,5,5,1,1,5,6,0,3,7,3,1,3,4,1,1,0,0,3,4,3,2,4,1,2,4,4,2,0,3,4,3,2,3,1,3,3,1,3,3,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
Crisis hipertensiva,127,3,5,1,2,4,2,8,4,6,2,9,1,7,2,1,2,3,5,1,1,4,3,5,2,2,2,0,1,10,1,3,5,2,3,8,1,4,0,2,0,2020,Aisén,Hospital,Hospital Regional (Coihaique)
