Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,5100,-,-,-,-,66,-,-,-,0,322,377,299,222,170,136,170,135,162,120,138,109,142,154,164,167,148,182,142,163,125,133,115,155,120,143,118,145,147,176,35,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7463,287,283,269,276,311,294,240,309,274,310,367,286,210,166,147,155,135,157,114,137,108,139,152,159,164,133,179,136,161,122,132,115,155,118,143,118,144,147,176,35,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
TOTAL CAUSAS SISTEMA RESPIRATORIO,1377,83,73,75,62,58,80,66,64,74,88,138,129,91,46,32,29,16,12,15,13,11,16,7,9,7,5,12,6,7,2,8,1,4,4,1,5,6,6,14,2,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
IRA Alta (J00-J06),1182,68,57,64,57,48,73,57,59,69,77,124,116,81,36,27,24,13,9,14,11,8,15,4,8,6,5,9,5,5,1,6,0,2,3,1,2,4,5,8,1,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Influenza (J09-J11),4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Neumonía (J12-J18),20,5,1,1,0,1,1,1,1,0,1,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Bronquitis/bronquiolitis aguda (J20-J21),87,8,7,6,2,8,3,5,1,4,4,5,10,2,4,4,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Crisis obstructiva bronquial (J40-J46),56,1,6,2,3,1,3,2,2,1,4,5,3,5,3,0,1,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,1,2,0,0,1,1,1,1,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",28,0,2,2,0,0,0,1,1,0,2,1,0,2,1,0,1,0,1,0,1,2,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,4,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
COVID 19 Sospechoso (U072),294,0,-,-,-,0,0,0,0,0,0,0,3,1,0,2,4,0,0,1,0,4,8,10,9,11,19,29,26,18,9,16,11,7,15,25,8,16,7,28,7,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
COVID 19 Confirmado (U071),7,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
TOTAL CAUSAS SISTEMA CIRCULATORIO,145,3,5,2,4,5,3,3,4,4,4,2,2,3,1,4,6,5,2,0,4,4,5,1,4,5,4,3,9,3,4,1,8,6,2,3,4,3,2,5,3,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Infarto agudo miocardio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Accidente vascular encefálico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Crisis hipertensiva,81,0,3,1,2,2,0,1,3,2,2,0,1,3,1,3,5,4,0,0,4,3,1,0,3,3,0,0,6,2,3,1,4,3,1,2,2,2,2,4,2,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Arritmia grave,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Otras causas circulatorias,60,2,2,1,2,3,3,2,1,2,2,2,1,0,0,1,1,1,2,0,0,1,3,1,0,2,4,2,3,1,1,0,4,3,1,1,2,1,0,1,1,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1119,40,43,45,46,39,37,31,51,38,34,49,41,19,18,20,22,31,28,12,22,26,22,27,23,25,22,22,20,28,24,17,21,25,11,30,20,24,34,22,10,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Accidentes del tránsito,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
Otras causas externas,1117,40,43,45,46,39,36,31,51,38,34,49,41,19,18,20,22,31,28,12,21,26,22,27,23,25,22,22,20,28,24,17,21,25,11,30,20,24,34,22,10,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
DIARREA AGUDA (A00-A09),475,35,37,16,35,35,35,22,32,14,37,36,29,4,7,5,11,7,11,9,3,1,2,3,4,3,1,4,3,4,4,5,2,6,1,1,2,0,4,4,1,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
TOTAL DEMÁS CAUSAS,4050,126,125,131,129,174,139,118,158,144,147,142,85,93,94,84,83,76,104,77,95,62,86,104,110,113,82,109,70,100,78,84,71,107,85,83,79,95,93,103,12,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
- SOSPECHA CORONAVIRUS (U072),0,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
- CORONAVIRUS (U071),0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Antofagasta,SAPU,SAPU-Antonio Rendic
