Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1076,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,63,155,197,152,143,336,30,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,2044,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,70,95,130,171,132,153,158,151,160,190,146,140,324,24,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
TOTAL CAUSAS SISTEMA RESPIRATORIO,435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,17,35,24,32,35,34,27,37,37,31,23,30,70,3,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
IRA Alta (J00-J06),227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,10,20,16,18,19,13,15,18,22,15,9,11,39,2,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Influenza (J09-J11),25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,2,0,0,0,2,1,3,3,2,1,0,11,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Neumonía (J12-J18),47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,2,2,3,3,6,2,3,4,5,2,6,6,1,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Bronquitis/bronquiolitis aguda (J20-J21),31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,3,2,3,2,0,3,2,2,2,6,4,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Crisis obstructiva bronquial (J40-J46),59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,4,2,3,4,8,5,6,5,5,6,5,4,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,6,1,6,6,3,4,4,1,2,3,2,6,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
COVID 19 Sospechoso (U072),284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,7,9,12,28,11,5,27,21,15,32,17,18,74,8,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
COVID 19 Confirmado (U071),5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
TOTAL CAUSAS SISTEMA CIRCULATORIO,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,4,4,2,7,9,4,9,9,4,5,2,4,1,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Infarto agudo miocardio,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Accidente vascular encefálico,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,0,0,1,2,0,0,1,0,1,0,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Crisis hipertensiva,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,1,0,1,0,0,0,0,1,1,2,1,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Arritmia grave,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,0,0,1,0,1,1,2,0,1,0,1,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Otras causas circulatorias,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,3,2,4,5,3,7,6,3,1,0,2,1,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,3,1,3,11,5,8,7,8,7,7,7,6,15,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Accidentes del tránsito,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,0,2,8,2,4,2,3,4,4,2,3,2,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
Otras causas externas,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,1,3,3,4,5,5,3,3,5,3,13,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
DIARREA AGUDA (A00-A09),134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,4,3,3,7,4,7,8,9,18,12,7,15,35,2,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
TOTAL DEMÁS CAUSAS,1033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,38,43,84,91,69,90,85,67,74,104,85,67,126,10,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,5,14,16,9,10,15,9,10,13,7,12,9,5,2,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
- CAUSAS SISTEMA CIRCULATORIO,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,2,1,3,2,2,1,0,0,2,0,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
- CAUSAS SISTEMA RESPIRATORIO,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,4,2,1,1,1,0,3,1,0,1,1,0,1,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
- SOSPECHA CORONAVIRUS (U072),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
- CORONAVIRUS (U071),2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
- TRAUMATISMOS Y ENVENENAMIENTOS,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
- LAS DEMÁS CAUSAS,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,4,9,12,7,6,12,7,5,12,6,7,6,5,1,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
CIRUGÍAS DE URGENCIA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Araucanía Sur,Hospital,Hospital Dr. Abraham Godoy Peña de Lautaro
