Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,14204,-,-,-,-,-,-,-,-,-,-,-,479,426,482,426,416,428,466,503,416,497,479,416,477,530,483,521,464,485,533,540,530,604,612,555,568,627,480,692,69,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,21219,754,762,729,784,732,693,746,710,699,737,740,521,367,443,397,391,392,418,460,374,442,440,378,436,431,442,479,438,449,479,499,498,547,573,530,532,592,457,659,69,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
TOTAL CAUSAS SISTEMA RESPIRATORIO,1383,112,88,74,93,75,62,68,58,66,83,89,128,66,40,26,26,26,12,18,10,6,14,6,4,7,8,8,7,13,6,6,10,9,8,14,6,15,4,12,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
IRA Alta (J00-J06),939,70,63,47,62,55,48,49,42,47,59,73,104,53,29,15,20,13,10,10,7,4,5,2,3,5,1,2,2,3,1,3,2,4,1,7,3,7,2,6,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Influenza (J09-J11),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Neumonía (J12-J18),84,3,5,5,5,6,4,6,2,2,1,3,1,2,4,2,3,5,0,2,0,2,4,2,1,1,1,0,2,1,2,0,1,0,2,2,0,2,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Bronquitis/bronquiolitis aguda (J20-J21),143,27,16,14,15,6,4,5,3,7,10,6,5,7,2,4,1,1,0,1,1,0,1,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Crisis obstructiva bronquial (J40-J46),107,7,3,5,8,3,5,5,8,5,6,1,10,2,2,3,1,4,2,3,1,0,2,1,0,0,2,4,0,3,1,1,1,2,0,3,0,1,0,2,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",109,5,1,3,3,5,1,3,3,5,7,6,8,2,2,2,1,3,0,2,1,0,2,1,0,1,4,1,3,4,2,2,5,2,3,2,3,5,2,4,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
COVID 19 Sospechoso (U072),2184,-,-,-,-,-,0,0,0,0,0,0,7,66,38,36,21,30,24,69,49,99,84,82,112,126,134,89,86,64,83,75,105,88,129,94,81,94,88,118,13,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
COVID 19 Confirmado (U071),73,-,-,-,-,-,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,4,4,1,6,6,6,3,4,4,0,2,6,7,1,4,3,4,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
TOTAL CAUSAS SISTEMA CIRCULATORIO,733,15,16,20,17,21,35,17,21,18,21,21,14,11,18,17,14,12,12,15,19,13,22,13,19,19,11,22,21,23,18,23,23,24,17,22,30,23,16,14,6,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Infarto agudo miocardio,37,0,1,3,2,0,1,1,2,2,2,0,2,0,0,4,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2,2,1,0,1,2,0,0,1,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Accidente vascular encefálico,169,3,2,1,2,8,11,2,0,2,1,3,1,4,6,2,5,1,6,5,4,4,2,6,10,7,0,6,9,10,4,8,4,4,0,5,6,5,5,1,4,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Crisis hipertensiva,208,3,7,7,5,6,10,4,8,7,11,7,6,3,4,2,2,3,3,2,3,2,9,1,5,4,2,9,4,6,3,5,10,8,4,7,8,5,5,7,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Arritmia grave,96,2,2,3,1,1,5,3,1,2,4,2,1,1,5,1,2,2,1,4,4,2,5,4,1,1,3,2,5,2,1,1,1,4,3,2,2,5,4,1,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Otras causas circulatorias,223,7,4,6,7,6,8,7,10,5,3,9,4,3,3,8,4,5,1,4,7,5,5,1,2,7,6,4,3,5,10,7,6,7,10,7,12,8,2,4,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,3696,139,154,145,153,149,137,182,138,128,140,126,76,41,76,58,53,65,65,75,70,91,70,58,61,67,65,53,58,68,87,98,79,87,88,89,96,101,97,104,9,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Accidentes del tránsito,48,3,1,1,1,1,3,0,1,0,0,1,0,3,5,2,0,0,1,2,1,0,1,0,1,1,0,0,0,0,4,2,0,5,1,0,0,3,3,0,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
Otras causas externas,3648,136,153,144,152,148,134,182,137,128,140,125,76,38,71,56,53,65,64,73,69,91,69,58,60,66,65,53,58,68,83,96,79,82,87,89,96,98,94,104,8,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
DIARREA AGUDA (A00-A09),233,19,11,10,19,7,4,11,6,11,9,6,5,2,5,3,10,8,3,3,1,1,2,2,2,2,2,6,7,9,5,3,10,3,7,2,0,7,1,8,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
TOTAL DEMÁS CAUSAS,12991,469,493,480,502,480,455,468,487,476,484,498,293,247,271,257,267,250,302,280,225,231,244,213,234,209,216,295,253,269,276,290,271,334,318,302,318,348,248,399,39,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,419,13,12,12,10,18,10,11,5,6,13,14,6,3,7,10,9,6,10,11,14,8,13,11,11,14,10,7,11,16,22,16,10,10,13,10,11,12,8,5,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
- CAUSAS SISTEMA CIRCULATORIO,201,5,2,1,2,5,6,3,3,3,5,4,3,2,6,7,7,3,6,7,9,3,4,7,7,7,4,6,7,10,2,10,6,8,6,6,8,4,4,2,1,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
- CAUSAS SISTEMA RESPIRATORIO,83,2,4,5,6,7,1,5,2,1,6,2,1,1,1,1,2,2,0,2,1,1,4,2,1,0,3,1,0,4,2,0,3,0,3,1,0,6,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
- SOSPECHA CORONAVIRUS (U072),15,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
- CORONAVIRUS (U071),3,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
- TRAUMATISMOS Y ENVENENAMIENTOS,107,5,5,6,2,6,2,3,0,2,2,8,2,0,0,2,0,1,4,2,4,4,5,2,2,7,3,0,2,0,3,4,1,2,1,3,3,2,4,3,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
- LAS DEMÁS CAUSAS,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,Hospital,Hospital San Vicente (Arauco)
