Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,5812,152,217,230,199,219,229,238,225,219,216,280,229,133,127,122,130,129,107,122,106,97,95,84,109,93,78,108,108,130,93,112,133,77,144,158,141,168,117,121,17,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
TOTAL CAUSAS SISTEMA RESPIRATORIO,1059,50,64,48,43,47,51,57,48,54,52,93,104,43,35,25,17,16,14,17,13,15,9,6,11,5,9,9,10,18,1,7,5,6,6,6,6,9,10,20,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
IRA Alta (J00-J06),823,41,48,38,35,40,36,51,34,46,40,83,91,33,30,21,10,9,10,11,10,10,6,3,6,4,9,7,4,12,0,6,2,6,3,3,5,6,7,7,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Influenza (J09-J11),17,0,5,1,1,0,0,0,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Neumonía (J12-J18),8,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Bronquitis/bronquiolitis aguda (J20-J21),90,4,9,5,3,3,6,2,4,5,4,6,4,5,2,3,3,7,1,4,2,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Crisis obstructiva bronquial (J40-J46),60,0,1,1,4,3,5,3,2,1,1,2,7,3,2,0,1,0,1,1,1,2,1,1,2,0,0,1,2,2,0,0,2,0,2,2,1,0,3,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",61,4,1,3,0,1,3,1,2,0,2,2,2,2,1,0,3,0,2,1,0,1,1,1,1,0,0,0,4,4,1,1,1,0,1,1,0,1,0,13,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
COVID 19 Sospechoso (U072),441,0,-,-,-,-,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,3,0,7,9,19,11,11,29,28,24,11,22,9,36,42,35,63,36,36,5,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
COVID 19 Confirmado (U071),1,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
TOTAL CAUSAS SISTEMA CIRCULATORIO,84,2,5,1,1,1,1,2,1,6,4,2,2,2,2,2,2,3,3,0,2,3,0,1,0,3,1,6,3,4,1,2,3,1,2,3,1,2,1,3,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Infarto agudo miocardio,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Accidente vascular encefálico,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Crisis hipertensiva,38,0,2,0,1,1,0,1,1,3,3,2,2,0,0,1,2,1,1,0,2,1,0,0,0,0,0,1,0,2,1,0,1,1,2,2,1,1,1,1,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Arritmia grave,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Otras causas circulatorias,34,2,2,1,0,0,1,1,0,2,0,0,0,2,2,0,0,2,2,0,0,1,0,1,0,1,0,4,2,2,0,2,1,0,0,1,0,0,0,2,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,632,15,22,22,24,18,39,22,22,33,23,19,21,12,17,17,16,14,9,15,13,12,14,11,20,11,7,24,9,16,7,12,11,11,8,21,13,15,8,5,4,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Accidentes del tránsito,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
Otras causas externas,631,15,22,22,24,18,39,22,22,33,23,19,21,12,17,17,16,14,9,15,13,12,14,11,20,11,7,24,9,16,7,12,11,11,8,21,13,15,8,4,4,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
DIARREA AGUDA (A00-A09),185,8,12,20,6,16,16,13,11,14,7,19,9,2,1,4,3,0,0,0,1,3,0,2,1,2,1,2,0,0,0,1,2,0,7,1,0,1,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
TOTAL DEMÁS CAUSAS,3412,77,114,139,125,137,122,144,143,112,130,147,93,74,72,73,92,96,81,89,76,61,72,57,68,53,49,56,57,64,60,79,90,50,85,85,86,78,62,56,8,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
- SOSPECHA CORONAVIRUS (U072),0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
- CORONAVIRUS (U071),0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Arauco,SAPU,SAPU Eleuterio Ramírez
