Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,9573,-,-,-,-,-,-,-,-,-,-,-,65,263,335,315,318,334,319,323,295,337,378,309,320,298,295,304,342,382,391,376,365,352,399,426,387,447,386,464,48,2020,Chiloé,Hospital,Hospital de Quellón
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,15751,545,511,517,499,499,514,581,566,562,446,538,504,324,335,315,318,334,319,323,295,337,378,309,319,296,292,295,339,374,391,374,352,344,396,411,380,425,386,460,48,2020,Chiloé,Hospital,Hospital de Quellón
TOTAL CAUSAS SISTEMA RESPIRATORIO,1175,50,40,37,40,37,40,61,41,50,52,102,133,55,32,29,30,18,21,16,9,11,12,10,12,14,15,9,15,21,15,16,19,5,24,16,16,23,17,12,0,2020,Chiloé,Hospital,Hospital de Quellón
IRA Alta (J00-J06),851,38,21,28,30,29,33,45,29,36,42,77,108,48,24,23,22,14,14,8,7,6,4,6,8,9,9,6,11,11,7,7,12,2,17,8,10,18,15,9,0,2020,Chiloé,Hospital,Hospital de Quellón
Influenza (J09-J11),4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,Hospital,Hospital de Quellón
Neumonía (J12-J18),41,1,0,0,0,0,0,1,0,1,3,6,3,1,2,0,0,1,1,1,1,0,2,0,1,3,0,0,0,0,2,1,1,0,3,3,0,1,2,0,0,2020,Chiloé,Hospital,Hospital de Quellón
Bronquitis/bronquiolitis aguda (J20-J21),51,1,8,2,1,3,0,4,3,0,2,2,4,2,2,3,0,0,2,1,0,1,1,2,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,Hospital,Hospital de Quellón
Crisis obstructiva bronquial (J40-J46),129,7,3,3,5,3,5,4,4,6,2,8,13,3,4,3,5,0,1,5,1,3,4,1,1,0,3,0,3,3,2,7,3,2,3,4,1,3,0,1,0,2020,Chiloé,Hospital,Hospital de Quellón
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",99,3,8,4,4,2,2,7,5,7,3,7,4,1,0,0,3,2,3,1,0,1,1,1,1,1,1,1,1,7,3,1,3,1,1,1,5,1,0,2,0,2020,Chiloé,Hospital,Hospital de Quellón
COVID 19 Sospechoso (U072),111,-,-,-,-,-,0,0,0,0,0,0,1,3,3,6,1,2,2,3,5,12,7,2,2,4,5,5,7,7,0,4,2,17,4,2,1,0,1,1,2,2020,Chiloé,Hospital,Hospital de Quellón
COVID 19 Confirmado (U071),0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,Hospital,Hospital de Quellón
TOTAL CAUSAS SISTEMA CIRCULATORIO,358,7,9,9,8,10,5,7,9,13,9,4,11,4,14,8,5,9,5,6,4,5,8,6,7,10,16,8,6,5,52,10,12,6,8,10,10,4,7,12,0,2020,Chiloé,Hospital,Hospital de Quellón
Infarto agudo miocardio,12,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,2020,Chiloé,Hospital,Hospital de Quellón
Accidente vascular encefálico,54,2,3,0,2,1,0,2,1,0,0,2,2,1,3,0,1,3,0,1,1,1,3,1,1,3,7,0,1,1,1,1,3,2,0,0,1,0,1,2,0,2020,Chiloé,Hospital,Hospital de Quellón
Crisis hipertensiva,63,2,0,1,2,4,0,1,2,3,1,0,1,1,0,2,1,4,2,1,1,0,2,2,2,1,4,3,0,0,2,2,4,2,2,3,2,1,1,1,0,2020,Chiloé,Hospital,Hospital de Quellón
Arritmia grave,39,0,0,3,0,1,0,0,0,1,0,0,3,1,0,1,1,1,1,1,0,1,2,0,0,2,0,1,1,1,1,1,2,1,2,0,3,2,2,3,0,2020,Chiloé,Hospital,Hospital de Quellón
Otras causas circulatorias,190,3,6,5,4,3,5,4,6,9,7,2,4,1,9,5,2,1,2,3,2,2,1,3,4,4,5,4,4,3,47,5,2,0,4,6,4,1,3,5,0,2020,Chiloé,Hospital,Hospital de Quellón
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,970,95,88,101,115,81,99,127,110,71,4,2,2,2,3,0,8,0,5,3,1,6,3,0,6,2,0,1,0,6,5,5,0,3,2,6,0,3,0,5,0,2020,Chiloé,Hospital,Hospital de Quellón
Accidentes del tránsito,99,0,1,2,2,0,5,1,5,8,4,2,2,1,2,0,8,0,5,2,0,6,3,0,6,2,0,0,0,6,5,5,0,3,1,6,0,3,0,3,0,2020,Chiloé,Hospital,Hospital de Quellón
Otras causas externas,871,95,87,99,113,81,94,126,105,63,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2020,Chiloé,Hospital,Hospital de Quellón
DIARREA AGUDA (A00-A09),838,48,42,33,41,36,33,34,45,41,38,39,40,15,17,16,16,20,5,9,4,10,16,16,10,7,10,7,6,11,12,12,11,14,14,14,12,24,22,34,4,2020,Chiloé,Hospital,Hospital de Quellón
TOTAL DEMÁS CAUSAS,12299,345,332,337,295,335,337,352,361,387,343,391,317,245,266,256,258,285,281,286,272,293,332,275,282,259,246,265,305,324,307,327,308,299,344,363,341,371,339,396,42,2020,Chiloé,Hospital,Hospital de Quellón
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,650,14,30,20,20,43,33,30,27,20,16,25,14,9,13,12,7,8,6,14,6,9,15,6,13,15,12,20,13,14,19,8,20,15,17,14,19,23,11,19,1,2020,Chiloé,Hospital,Hospital de Quellón
- CAUSAS SISTEMA CIRCULATORIO,94,0,7,3,3,3,5,4,8,3,2,1,1,1,1,3,2,1,1,1,0,0,3,1,5,8,2,3,0,3,3,1,2,1,3,3,3,1,0,2,0,2020,Chiloé,Hospital,Hospital de Quellón
- CAUSAS SISTEMA RESPIRATORIO,50,1,1,0,2,1,2,3,0,3,2,2,2,0,1,1,0,0,1,2,0,1,0,0,0,2,2,3,1,4,3,0,1,0,3,3,1,1,1,0,0,2020,Chiloé,Hospital,Hospital de Quellón
- SOSPECHA CORONAVIRUS (U072),19,-,-,-,-,-,-,-,-,-,-,0,0,1,2,1,1,1,1,1,2,0,1,0,0,1,0,1,0,0,1,1,2,0,1,0,0,1,0,0,0,2020,Chiloé,Hospital,Hospital de Quellón
- CORONAVIRUS (U071),0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,Hospital,Hospital de Quellón
