Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,SUR,SUR Chacao
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1158,28,46,44,52,44,44,52,46,50,32,43,26,27,16,17,14,12,16,27,17,20,17,23,20,22,11,25,23,35,35,33,31,27,27,20,31,34,29,35,7,2020,Chiloé,SUR,SUR Chacao
TOTAL CAUSAS SISTEMA RESPIRATORIO,183,8,11,6,14,8,15,6,7,11,13,20,11,9,2,2,1,0,1,4,3,2,0,0,2,1,1,1,5,4,0,1,2,0,2,0,3,3,2,2,0,2020,Chiloé,SUR,SUR Chacao
IRA Alta (J00-J06),137,5,8,6,9,8,15,6,5,6,9,17,11,6,1,1,1,0,1,2,1,2,0,0,0,1,1,1,4,3,0,0,1,0,1,0,0,3,2,0,0,2020,Chiloé,SUR,SUR Chacao
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,SUR,SUR Chacao
Neumonía (J12-J18),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,Chiloé,SUR,SUR Chacao
Bronquitis/bronquiolitis aguda (J20-J21),9,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,Chiloé,SUR,SUR Chacao
Crisis obstructiva bronquial (J40-J46),7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2020,Chiloé,SUR,SUR Chacao
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",27,1,3,0,5,0,0,0,2,5,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,2020,Chiloé,SUR,SUR Chacao
COVID 19 Sospechoso (U072),22,-,-,-,-,0,0,0,0,0,0,0,3,2,1,0,1,0,0,3,1,1,2,0,0,0,1,0,0,1,0,3,1,0,1,0,0,0,0,0,1,2020,Chiloé,SUR,SUR Chacao
