Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,4140,-,-,-,-,-,-,-,-,63,-,-,-,71,146,129,144,97,145,145,135,161,139,142,154,148,118,142,143,170,201,158,163,181,199,176,154,141,152,178,45,2020,Concepción,SAPU,SAPU Juan Soto Fernández
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,8040,361,314,299,327,315,263,300,333,263,358,389,346,183,144,129,144,97,145,144,135,161,138,141,151,146,117,140,143,169,200,158,162,181,198,176,154,141,152,178,45,2020,Concepción,SAPU,SAPU Juan Soto Fernández
TOTAL CAUSAS SISTEMA RESPIRATORIO,1221,71,49,53,48,40,52,51,69,52,78,115,154,75,43,20,16,19,14,7,12,8,9,10,8,9,3,11,9,10,9,13,9,7,3,11,12,8,10,18,6,2020,Concepción,SAPU,SAPU Juan Soto Fernández
IRA Alta (J00-J06),906,55,38,32,38,34,44,41,51,45,65,97,115,59,34,12,10,17,11,6,9,4,8,7,3,4,2,8,2,9,2,2,7,1,1,9,1,2,8,10,3,2020,Concepción,SAPU,SAPU Juan Soto Fernández
Influenza (J09-J11),5,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
Neumonía (J12-J18),5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
Bronquitis/bronquiolitis aguda (J20-J21),126,13,5,6,3,2,4,6,11,4,7,14,13,10,3,6,4,0,2,0,2,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,3,0,0,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
Crisis obstructiva bronquial (J40-J46),9,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",170,3,6,8,6,4,4,4,5,3,4,4,26,5,4,2,1,2,1,1,1,4,1,3,4,4,0,3,6,1,6,10,2,5,1,1,10,2,2,8,3,2020,Concepción,SAPU,SAPU Juan Soto Fernández
COVID 19 Sospechoso (U072),593,-,-,0,-,-,0,0,0,1,0,0,1,2,4,7,10,6,10,17,13,23,36,23,24,22,17,14,23,20,27,33,18,32,49,38,41,28,24,27,3,2020,Concepción,SAPU,SAPU Juan Soto Fernández
COVID 19 Confirmado (U071),0,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
TOTAL CAUSAS SISTEMA CIRCULATORIO,93,0,0,0,0,2,0,0,1,0,0,2,1,2,1,3,2,1,0,1,2,0,2,3,1,1,14,1,1,37,1,1,1,2,2,2,2,0,1,3,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
Infarto agudo miocardio,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,2020,Concepción,SAPU,SAPU Juan Soto Fernández
