Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,9452,-,-,-,-,-,-,-,-,0,-,-,0,191,362,302,316,219,309,287,277,268,277,229,418,346,325,331,310,391,432,414,471,408,483,435,425,458,370,352,46,2020,Concepción,SAPU,SAPU-Hualqui
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,16622,515,735,622,681,591,514,537,553,617,503,517,467,399,338,303,316,217,305,285,273,263,332,319,327,341,325,331,311,390,432,414,471,408,483,435,425,458,370,453,46,2020,Concepción,SAPU,SAPU-Hualqui
TOTAL CAUSAS SISTEMA RESPIRATORIO,2266,103,145,125,106,114,83,67,86,100,85,152,215,165,88,42,34,16,25,30,20,13,24,20,25,25,21,28,25,11,16,29,37,17,35,31,32,38,9,29,0,2020,Concepción,SAPU,SAPU-Hualqui
IRA Alta (J00-J06),1825,69,118,105,88,80,67,52,69,74,71,129,191,131,77,38,27,14,17,23,18,10,19,16,17,18,17,18,19,5,15,20,29,16,30,30,29,28,6,25,0,2020,Concepción,SAPU,SAPU-Hualqui
Influenza (J09-J11),17,0,0,0,0,0,0,0,0,0,5,5,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Concepción,SAPU,SAPU-Hualqui
Neumonía (J12-J18),36,4,2,1,3,3,0,2,0,0,0,2,0,2,0,1,0,1,1,0,0,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,5,0,0,0,2020,Concepción,SAPU,SAPU-Hualqui
Bronquitis/bronquiolitis aguda (J20-J21),215,19,13,14,6,19,11,7,13,13,7,12,14,21,6,2,4,0,3,5,0,1,1,3,4,3,2,2,2,1,0,3,0,0,0,0,1,2,1,0,0,2020,Concepción,SAPU,SAPU-Hualqui
Crisis obstructiva bronquial (J40-J46),60,3,4,4,6,5,1,2,0,7,1,2,3,2,2,0,1,0,0,1,0,0,0,0,1,0,0,3,1,1,1,3,0,0,4,0,0,0,0,2,0,2020,Concepción,SAPU,SAPU-Hualqui
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",113,8,8,1,3,7,4,4,4,6,1,2,4,8,1,1,1,1,4,1,2,1,3,0,3,4,1,3,2,4,0,2,8,1,1,1,1,3,2,2,0,2020,Concepción,SAPU,SAPU-Hualqui
COVID 19 Sospechoso (U072),1459,-,-,-,-,-,0,0,0,0,0,0,20,51,31,30,54,38,28,33,23,36,43,52,50,63,67,60,51,56,68,60,88,74,77,64,79,56,45,54,8,2020,Concepción,SAPU,SAPU-Hualqui
COVID 19 Confirmado (U071),106,-,-,-,-,-,0,0,0,0,0,0,0,2,1,1,12,0,0,1,1,3,0,1,0,2,2,1,0,4,2,10,20,10,12,7,9,2,1,2,0,2020,Concepción,SAPU,SAPU-Hualqui
TOTAL CAUSAS SISTEMA CIRCULATORIO,164,2,7,0,2,5,5,4,2,2,1,2,3,8,4,3,5,4,6,1,2,2,2,3,5,12,6,5,3,7,5,3,9,3,4,2,0,7,11,7,0,2020,Concepción,SAPU,SAPU-Hualqui
Infarto agudo miocardio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Concepción,SAPU,SAPU-Hualqui
Accidente vascular encefálico,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2020,Concepción,SAPU,SAPU-Hualqui
