Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,16050,-,-,-,-,-,-,-,-,0,0,-,0,264,461,421,498,348,609,541,584,639,605,525,518,551,538,596,554,664,685,666,695,705,765,717,766,777,619,640,99,2020,Concepción,SAR,SAR San Pedro
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,30819,1239,1189,1134,1132,1142,1195,1174,1213,1115,1232,1359,1101,565,517,421,498,534,609,541,584,639,605,525,518,551,538,596,554,664,685,666,695,706,765,717,766,777,619,640,99,2020,Concepción,SAR,SAR San Pedro
TOTAL CAUSAS SISTEMA RESPIRATORIO,4738,271,242,204,211,166,197,186,213,228,268,420,485,212,124,75,78,88,53,50,60,65,58,46,40,27,36,39,42,48,41,42,51,48,50,64,48,53,41,66,2,2020,Concepción,SAR,SAR San Pedro
IRA Alta (J00-J06),3343,183,172,146,160,110,151,134,156,156,196,318,371,129,75,53,59,64,34,35,45,46,44,32,21,21,26,26,33,32,28,22,33,30,32,43,23,35,27,41,1,2020,Concepción,SAR,SAR San Pedro
Influenza (J09-J11),11,0,2,0,0,0,0,1,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Concepción,SAR,SAR San Pedro
Neumonía (J12-J18),109,7,8,6,4,2,3,4,1,6,4,6,3,6,4,2,3,2,1,2,4,1,2,3,0,0,2,2,2,1,1,1,0,0,1,5,5,2,2,1,0,2020,Concepción,SAR,SAR San Pedro
Bronquitis/bronquiolitis aguda (J20-J21),813,64,47,39,37,38,32,37,38,44,51,76,74,42,21,18,12,13,8,8,7,13,5,4,5,2,2,5,4,2,4,5,5,5,7,8,7,6,5,12,1,2020,Concepción,SAR,SAR San Pedro
Crisis obstructiva bronquial (J40-J46),232,12,8,4,6,8,3,8,7,12,9,12,22,9,11,2,3,6,5,5,4,4,4,5,9,2,2,4,3,1,2,3,5,5,7,6,3,3,2,6,0,2020,Concepción,SAR,SAR San Pedro
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",230,5,5,9,4,8,8,2,10,9,6,7,13,26,13,0,1,3,4,0,0,1,3,2,5,2,4,2,0,12,6,11,8,8,3,2,10,7,5,6,0,2020,Concepción,SAR,SAR San Pedro
COVID 19 Sospechoso (U072),1227,-,-,-,-,-,0,0,0,0,0,0,10,25,16,16,8,16,19,18,34,39,52,61,50,46,34,57,56,53,39,60,42,52,71,83,72,88,47,53,10,2020,Concepción,SAR,SAR San Pedro
