Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,73,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,40,0,0,0,0,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,11524,535,563,520,457,456,480,482,556,496,568,591,449,244,251,226,196,204,245,191,161,201,175,146,202,205,189,149,179,228,225,167,172,164,208,196,209,233,168,192,45,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
TOTAL CAUSAS SISTEMA RESPIRATORIO,2061,122,126,114,83,93,95,102,115,107,160,226,240,88,66,40,31,23,25,16,15,17,12,11,15,18,7,8,9,14,11,3,8,5,5,3,12,4,6,3,3,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
IRA Alta (J00-J06),1685,101,94,93,69,74,79,92,96,86,135,196,211,74,52,34,27,18,20,11,10,13,7,10,8,14,4,5,4,11,9,0,3,4,4,3,3,3,5,1,2,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
Influenza (J09-J11),4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
Neumonía (J12-J18),60,1,7,2,5,2,2,1,0,6,3,8,5,0,4,1,1,0,0,1,2,0,1,0,3,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
Bronquitis/bronquiolitis aguda (J20-J21),179,13,12,13,5,15,9,7,13,12,17,12,15,9,5,3,2,1,2,2,0,0,2,1,4,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
Crisis obstructiva bronquial (J40-J46),58,3,5,2,2,1,2,1,2,2,2,10,6,3,2,1,1,2,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",75,4,7,4,2,1,3,1,3,0,2,0,3,2,3,1,0,2,3,1,2,3,0,0,0,2,1,3,3,1,2,3,2,1,1,0,7,0,0,2,0,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
COVID 19 Sospechoso (U072),577,-,-,-,-,-,0,0,0,0,0,0,1,0,1,0,0,2,5,0,12,10,11,7,24,26,31,21,32,55,62,41,38,31,40,29,25,37,22,13,1,2020,Coquimbo,SAPU,SAPU-Pedro Aguirre Cerda
