Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,14676,-,-,-,-,-,-,-,-,-,-,-,0,0,288,577,471,377,416,411,464,645,845,1168,1036,852,763,609,579,430,399,432,316,295,351,399,482,560,555,773,183,2020,Del Maule,SAR,SAR Aguas Negras
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27614,1055,998,967,1007,1049,940,988,953,923,931,1082,1185,814,681,577,471,371,410,409,463,605,781,1069,976,842,759,608,578,429,392,428,315,294,350,397,480,553,549,753,182,2020,Del Maule,SAR,SAR Aguas Negras
TOTAL CAUSAS SISTEMA RESPIRATORIO,5309,250,262,239,200,235,207,238,204,196,229,379,885,678,405,257,48,17,16,32,27,35,39,12,13,10,7,8,12,8,9,63,11,12,4,6,7,13,18,12,6,2020,Del Maule,SAR,SAR Aguas Negras
IRA Alta (J00-J06),4088,186,188,188,141,179,164,198,167,149,189,309,726,573,337,185,30,10,8,21,12,15,26,6,6,7,2,5,4,2,5,11,4,5,4,4,4,6,5,5,2,2020,Del Maule,SAR,SAR Aguas Negras
Influenza (J09-J11),8,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SAR,SAR Aguas Negras
Neumonía (J12-J18),59,1,0,2,0,3,1,0,8,5,3,1,4,6,4,5,0,0,1,2,0,1,1,2,1,0,0,1,1,0,0,2,1,1,0,0,1,1,0,0,0,2020,Del Maule,SAR,SAR Aguas Negras
Bronquitis/bronquiolitis aguda (J20-J21),789,55,68,39,47,46,34,31,21,30,29,59,128,74,40,21,10,2,6,5,4,7,7,3,1,0,3,0,1,2,0,1,1,0,0,0,1,3,6,4,0,2020,Del Maule,SAR,SAR Aguas Negras
Crisis obstructiva bronquial (J40-J46),233,8,6,10,9,7,7,7,6,8,8,5,20,20,18,7,7,3,1,2,6,10,3,1,5,3,2,1,5,4,3,7,4,6,0,0,1,3,6,2,2,2020,Del Maule,SAR,SAR Aguas Negras
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",132,0,0,0,3,0,1,2,2,4,0,1,6,4,5,39,1,2,0,2,5,2,2,0,0,0,0,0,1,0,1,42,1,0,0,2,0,0,1,1,2,2020,Del Maule,SAR,SAR Aguas Negras
COVID 19 Sospechoso (U072),11205,-,-,-,-,-,0,0,0,0,0,0,43,55,119,143,389,295,292,263,357,492,650,959,885,723,649,496,490,371,319,305,236,220,263,297,344,399,420,607,124,2020,Del Maule,SAR,SAR Aguas Negras
