Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,806,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,21,46,33,32,61,56,53,40,46,52,47,41,36,39,49,49,83,22,2020,Del Maule,SUR,SUR Curanipe
TOTAL CAUSAS SISTEMA RESPIRATORIO,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,10,1,2,1,0,2,0,3,2,7,3,0,2,0,6,4,1,2020,Del Maule,SUR,SUR Curanipe
IRA Alta (J00-J06),21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,3,0,1,1,0,0,0,2,2,4,2,0,0,0,4,1,1,2020,Del Maule,SUR,SUR Curanipe
Influenza (J09-J11),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
Neumonía (J12-J18),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
Bronquitis/bronquiolitis aguda (J20-J21),5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2020,Del Maule,SUR,SUR Curanipe
Crisis obstructiva bronquial (J40-J46),5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,2020,Del Maule,SUR,SUR Curanipe
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,5,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2020,Del Maule,SUR,SUR Curanipe
COVID 19 Sospechoso (U072),18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,3,4,0,0,1,0,0,0,3,0,0,3,0,0,0,4,0,2020,Del Maule,SUR,SUR Curanipe
COVID 19 Confirmado (U071),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
TOTAL CAUSAS SISTEMA CIRCULATORIO,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,2,5,8,1,2,4,3,0,1,0,0,0,5,4,4,3,9,2,2020,Del Maule,SUR,SUR Curanipe
Infarto agudo miocardio,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
Accidente vascular encefálico,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,Del Maule,SUR,SUR Curanipe
Crisis hipertensiva,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,2,4,1,0,2,2,3,0,1,0,0,0,4,4,4,3,9,1,2020,Del Maule,SUR,SUR Curanipe
Arritmia grave,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
Otras causas circulatorias,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,1,0,5,0,0,0,0,0,0,2,0,5,0,1,1,2,2,2020,Del Maule,SUR,SUR Curanipe
Accidentes del tránsito,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
Otras causas externas,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,1,0,5,0,0,0,0,0,0,2,0,5,0,1,1,2,2,2020,Del Maule,SUR,SUR Curanipe
DIARREA AGUDA (A00-A09),23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,2,2,1,2,2,2,1,0,1,1,0,0,0,1,3,4,0,2020,Del Maule,SUR,SUR Curanipe
TOTAL DEMÁS CAUSAS,648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,17,25,18,23,56,49,46,39,42,46,37,38,23,33,43,36,60,17,2020,Del Maule,SUR,SUR Curanipe
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
- CAUSAS SISTEMA CIRCULATORIO,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
- CAUSAS SISTEMA RESPIRATORIO,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
- SOSPECHA CORONAVIRUS (U072),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
- CORONAVIRUS (U071),0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
- TRAUMATISMOS Y ENVENENAMIENTOS,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
- LAS DEMÁS CAUSAS,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
CIRUGÍAS DE URGENCIA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Del Maule,SUR,SUR Curanipe
