Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,5171,121,170,178,180,169,173,162,196,168,128,162,143,93,99,114,116,136,128,117,120,98,99,98,103,119,98,96,105,125,154,165,170,91,123,118,103,121,110,183,19,2020,Libertador B. O'Higgins,SUR,SUR Paredones
TOTAL CAUSAS SISTEMA RESPIRATORIO,342,15,6,8,12,2,13,7,12,17,8,15,21,12,2,6,5,11,9,14,8,11,9,13,3,12,3,1,6,7,3,6,17,4,9,8,5,7,5,10,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
IRA Alta (J00-J06),71,1,0,1,5,0,0,0,2,0,3,2,0,4,0,0,1,3,1,1,1,1,2,1,1,5,1,0,3,1,1,0,11,0,1,1,2,4,4,7,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Influenza (J09-J11),2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Neumonía (J12-J18),24,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,2,2,0,2,1,2,0,2,0,1,0,1,0,0,1,1,2,0,0,2,0,0,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Bronquitis/bronquiolitis aguda (J20-J21),39,1,0,0,1,0,3,2,1,2,0,4,2,1,2,1,2,1,2,0,4,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Crisis obstructiva bronquial (J40-J46),7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",199,13,6,7,5,1,8,5,9,15,5,8,16,6,0,5,0,5,5,11,2,7,4,10,2,6,2,0,3,5,0,3,3,3,7,5,2,1,1,3,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
COVID 19 Sospechoso (U072),243,-,-,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,4,3,6,11,10,8,9,29,58,37,4,16,9,4,8,6,12,1,2020,Libertador B. O'Higgins,SUR,SUR Paredones
COVID 19 Confirmado (U071),21,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,2,5,0,0,0,3,0,0,0,0,0,5,2020,Libertador B. O'Higgins,SUR,SUR Paredones
TOTAL CAUSAS SISTEMA CIRCULATORIO,54,0,0,1,1,0,0,0,1,1,1,1,2,1,1,3,1,4,1,0,1,0,0,2,1,3,0,2,1,4,1,0,3,3,1,3,2,1,2,5,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Infarto agudo miocardio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Accidente vascular encefálico,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Crisis hipertensiva,11,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Arritmia grave,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
Otras causas circulatorias,36,0,0,0,0,0,0,0,1,1,1,1,2,1,0,2,1,3,1,0,1,0,0,1,0,3,0,2,1,1,0,0,2,2,0,2,1,1,1,4,0,2020,Libertador B. O'Higgins,SUR,SUR Paredones
