Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,32420,0,0,0,146,0,-,-,-,-,1764,1789,1800,1149,964,1030,1137,1023,1194,1559,1224,1078,1018,887,709,699,649,795,696,751,785,826,908,963,941,1030,1121,1201,1120,1306,158,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,42501,1453,1487,1502,1523,1430,1312,1515,1391,1486,1493,1554,1580,1067,915,960,1077,876,1093,1420,1136,954,886,732,627,630,606,653,616,707,745,787,872,903,902,992,1057,1117,1069,1231,145,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,2163,62,75,53,47,58,45,67,54,56,77,127,380,175,92,88,96,74,70,108,49,43,24,18,11,11,12,14,7,10,7,11,14,17,17,17,11,16,22,25,3,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
IRA Alta (J00-J06),1122,23,37,22,14,21,24,25,20,33,47,92,282,94,39,51,55,40,43,66,17,19,6,1,1,3,3,3,2,3,1,1,2,3,3,3,2,7,4,9,1,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Influenza (J09-J11),4,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Neumonía (J12-J18),210,3,9,7,9,10,4,10,5,5,5,3,13,18,6,9,8,10,5,14,12,9,6,5,1,2,2,2,0,1,1,2,1,0,1,2,0,1,4,5,0,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Bronquitis/bronquiolitis aguda (J20-J21),119,2,5,4,8,7,1,6,6,3,2,6,14,15,3,3,3,2,6,2,2,1,3,5,4,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Crisis obstructiva bronquial (J40-J46),171,7,3,7,6,6,3,2,8,4,7,5,17,11,5,9,4,8,3,4,3,2,2,2,1,0,2,2,1,2,0,4,5,4,5,5,2,1,3,6,0,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",537,27,21,12,10,14,13,24,14,10,16,21,53,37,39,16,26,14,13,22,15,12,7,5,4,6,3,6,4,3,5,4,5,10,8,7,7,7,10,5,2,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
COVID 19 Sospechoso (U072),3438,0,0,0,0,0,0,0,0,0,0,0,126,113,42,63,55,52,185,337,416,278,246,251,144,168,148,107,66,61,56,44,63,63,36,41,56,56,59,93,13,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
COVID 19 Confirmado (U071),608,0,0,0,0,0,0,0,0,0,0,0,7,4,26,80,77,6,20,36,34,32,47,31,20,29,31,20,19,18,12,5,13,4,3,7,2,7,8,8,2,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL CAUSAS SISTEMA CIRCULATORIO,1949,66,64,90,64,68,76,87,57,89,79,54,37,48,39,29,33,46,49,34,25,29,18,15,21,20,31,39,36,46,45,64,41,45,65,55,55,71,49,63,7,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Infarto agudo miocardio,74,1,1,0,2,3,7,7,2,5,5,1,1,2,3,1,0,3,1,0,1,0,2,0,1,0,0,1,0,0,4,1,0,1,5,2,5,1,4,0,1,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Accidente vascular encefálico,359,11,9,11,9,13,17,10,9,14,16,5,9,12,9,6,10,5,9,8,6,8,6,5,4,2,8,12,4,12,9,15,10,7,13,11,10,7,3,14,1,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Crisis hipertensiva,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Arritmia grave,188,6,3,8,8,5,6,11,5,6,6,7,8,8,4,4,3,4,3,2,5,5,2,3,3,5,5,1,3,1,1,4,2,3,6,8,6,5,4,9,0,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Otras causas circulatorias,1326,48,51,71,45,47,46,59,41,64,52,41,19,26,23,18,20,34,36,24,13,16,8,7,13,13,18,25,29,33,31,44,29,33,41,34,34,57,38,40,5,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,10122,425,383,399,435,441,375,459,378,414,434,455,318,218,168,165,176,187,190,224,179,138,139,129,93,116,103,131,137,143,177,174,192,226,249,297,320,247,327,322,39,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Accidentes del tránsito,899,37,39,40,39,20,45,31,44,39,41,31,41,17,14,17,18,17,17,21,11,9,15,15,4,12,8,7,10,13,19,16,15,33,26,23,26,13,26,27,3,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
Otras causas externas,9223,388,344,359,396,421,330,428,334,375,393,424,277,201,154,148,158,170,173,203,168,129,124,114,89,104,95,124,127,130,158,158,177,193,223,274,294,234,301,295,36,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
DIARREA AGUDA (A00-A09),249,16,27,13,13,6,10,10,4,2,7,2,10,1,2,0,5,4,4,32,3,1,1,0,8,4,2,2,3,0,1,7,4,5,9,1,4,11,3,11,1,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
TOTAL DEMÁS CAUSAS,24218,884,938,947,964,857,806,892,898,925,896,916,828,621,553,535,635,507,575,649,430,433,411,288,330,282,279,340,348,429,447,482,545,543,523,574,609,709,601,709,80,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,7869,201,216,230,231,218,221,233,217,210,246,221,177,157,168,157,189,156,198,214,218,252,220,250,182,181,155,178,184,195,159,181,209,213,193,188,198,215,195,216,27,2020,Metropolitano Central,Hospital,"Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río (Santiago, Santiago)"
