Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,9237,-,-,-,-,-,-,-,-,-,-,-,-,0,393,337,290,356,375,387,334,369,375,320,250,250,266,289,296,324,344,331,386,359,395,403,395,420,411,516,66,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,19185,878,823,799,795,757,698,708,775,741,839,958,724,468,392,335,289,356,375,384,334,369,373,320,249,250,266,288,296,323,344,331,386,359,395,403,394,420,411,514,66,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
TOTAL CAUSAS SISTEMA RESPIRATORIO,2661,152,113,100,99,77,84,87,85,98,112,213,255,140,103,69,45,43,41,58,58,66,40,34,38,35,19,27,13,25,23,13,39,32,25,48,31,37,29,50,5,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
IRA Alta (J00-J06),822,41,16,23,16,18,31,21,23,31,40,121,118,78,46,14,13,11,19,13,12,8,7,5,4,7,0,4,5,3,2,2,5,8,5,16,8,6,4,14,4,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Influenza (J09-J11),31,1,0,0,2,1,0,1,3,3,3,1,2,2,5,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Neumonía (J12-J18),136,4,5,5,3,5,2,2,2,2,1,2,5,3,2,3,5,0,1,2,3,6,7,8,5,7,4,1,6,4,1,0,4,5,3,5,2,4,2,5,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Bronquitis/bronquiolitis aguda (J20-J21),208,19,13,8,6,3,4,9,1,10,5,17,20,13,9,14,4,5,3,4,3,2,2,2,5,4,0,6,0,0,0,1,2,2,0,2,4,2,2,2,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1464,87,79,64,72,50,47,54,56,52,63,72,110,44,41,38,20,27,15,39,40,50,24,19,24,17,15,16,1,18,20,10,28,17,17,25,17,25,21,29,1,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
COVID 19 Sospechoso (U072),1,0,-,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
COVID 19 Confirmado (U071),0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
TOTAL CAUSAS SISTEMA CIRCULATORIO,590,18,21,21,15,20,19,16,25,19,14,31,19,17,8,14,19,13,15,25,7,10,5,8,12,4,8,8,14,19,16,10,17,19,14,14,9,7,20,16,4,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Infarto agudo miocardio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Accidente vascular encefálico,39,1,3,1,0,2,1,0,0,1,1,1,1,0,0,1,0,1,0,5,1,0,1,1,3,0,3,1,3,1,1,2,0,0,0,1,0,0,1,1,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Crisis hipertensiva,256,8,8,6,6,5,7,6,14,10,6,12,7,7,3,7,6,6,8,11,4,4,2,3,3,3,1,6,6,13,5,2,12,13,9,5,3,4,9,6,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Arritmia grave,81,1,2,3,1,3,5,2,2,2,3,7,0,3,2,2,3,2,3,4,2,1,0,2,2,0,1,0,1,3,3,0,3,2,1,5,0,0,2,1,2,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Otras causas circulatorias,214,8,8,11,8,10,6,8,9,6,4,11,11,7,3,4,10,4,4,5,0,5,2,2,4,1,3,1,4,2,7,6,2,4,4,3,6,3,8,8,2,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,3209,139,119,127,134,132,130,141,134,113,152,160,79,60,48,36,43,58,69,75,60,55,55,34,51,41,51,52,49,37,55,70,58,69,81,83,66,104,89,82,18,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Accidentes del tránsito,41,4,1,0,4,3,6,0,2,0,2,1,0,2,0,1,0,1,0,0,6,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
Otras causas externas,3168,135,118,127,130,129,124,141,132,113,150,159,79,58,48,35,43,57,69,75,54,53,54,33,51,41,51,52,49,36,55,70,58,68,81,83,66,104,89,80,18,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
DIARREA AGUDA (A00-A09),1142,94,85,71,79,64,62,53,67,57,74,67,27,24,16,13,16,14,13,7,22,6,6,17,16,5,7,7,29,6,6,9,14,6,7,13,13,10,15,21,4,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
TOTAL DEMÁS CAUSAS,11583,475,485,480,468,464,403,411,464,454,487,487,344,227,217,203,166,228,237,219,187,232,267,227,132,165,181,194,191,236,244,229,258,233,268,245,275,262,258,345,35,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,154,10,7,10,7,4,6,5,10,3,6,4,7,5,0,3,9,4,2,3,3,1,2,1,3,2,0,1,4,3,0,5,4,2,3,2,4,2,2,5,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
- CAUSAS SISTEMA RESPIRATORIO,37,2,3,3,2,2,1,1,1,0,0,2,1,2,0,1,2,0,0,0,0,0,1,0,2,1,0,0,3,2,0,1,0,1,2,0,1,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
- SOSPECHA CORONAVIRUS (U072),0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
- CORONAVIRUS (U071),0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
- LAS DEMÁS CAUSAS,117,8,4,7,5,2,5,4,9,3,6,2,6,3,0,2,7,4,2,3,3,1,1,1,1,1,0,1,1,1,0,4,4,1,1,2,3,2,2,5,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Metropolitano Occidente,Hospital,Hospital de Curacaví
