Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,6526,-,-,-,-,-,-,-,-,-,-,-,0,110,135,207,190,187,250,230,228,237,231,195,225,264,229,243,254,292,286,261,251,250,264,290,278,295,279,365,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,12931,487,535,464,447,490,489,456,490,481,524,679,572,372,235,201,190,186,248,222,227,234,228,184,221,259,226,242,251,282,283,257,247,247,259,275,272,287,266,362,54,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
TOTAL CAUSAS SISTEMA RESPIRATORIO,2571,153,140,109,86,114,102,113,103,114,142,286,341,154,70,69,39,43,38,21,10,10,26,18,10,25,13,13,16,12,19,9,16,18,6,16,12,29,13,27,16,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
IRA Alta (J00-J06),1997,120,105,74,61,81,83,94,74,92,115,227,293,123,53,54,28,33,33,16,7,6,19,14,8,17,6,11,13,6,13,6,8,10,5,11,11,24,7,21,15,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
Influenza (J09-J11),39,3,3,4,0,2,1,0,2,1,2,7,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
Neumonía (J12-J18),42,5,4,3,4,4,1,0,3,1,5,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
Bronquitis/bronquiolitis aguda (J20-J21),282,19,20,18,9,21,11,12,14,11,11,44,25,16,12,9,1,9,2,1,2,1,1,0,0,1,3,0,1,1,0,0,2,1,0,2,0,1,0,1,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
Crisis obstructiva bronquial (J40-J46),131,3,4,5,9,4,4,3,6,8,7,7,7,5,2,3,6,1,2,4,1,1,3,2,0,3,1,1,1,3,6,2,4,5,0,1,1,1,3,2,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",80,3,4,5,3,2,2,4,4,1,2,1,5,3,1,3,2,0,1,0,0,2,3,2,2,4,2,1,1,2,0,1,2,0,1,1,0,3,3,3,1,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
COVID 19 Sospechoso (U072),833,-,-,-,-,0,0,0,0,0,0,0,4,8,8,6,9,5,20,22,36,27,19,36,42,38,27,20,29,34,38,44,40,33,41,35,44,39,43,82,4,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
COVID 19 Confirmado (U071),0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
TOTAL CAUSAS SISTEMA CIRCULATORIO,204,5,4,4,3,13,8,6,2,7,8,4,1,2,2,2,5,2,6,4,5,11,4,5,6,2,4,5,5,11,10,7,2,4,10,4,4,3,4,3,7,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
Infarto agudo miocardio,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
Accidente vascular encefálico,12,1,2,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,Osorno,SAPU,SAPU-Dr. Pedro Jáuregui
