Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,3623,-,-,-,-,-,-,-,-,-,0,-,0,0,148,121,136,131,119,136,140,124,130,109,124,129,126,138,125,152,130,137,174,158,169,144,140,160,151,172,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,8578,386,428,376,415,407,353,421,380,381,366,466,365,187,172,121,136,131,119,136,140,124,130,109,124,129,126,138,125,152,130,137,174,158,169,144,140,160,151,172,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
TOTAL CAUSAS SISTEMA RESPIRATORIO,1848,97,102,85,89,92,85,105,111,95,130,173,231,94,56,30,38,26,23,26,15,12,16,6,10,6,10,5,6,6,2,8,5,7,10,7,4,6,13,6,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
IRA Alta (J00-J06),1451,72,76,62,68,74,69,90,87,76,102,137,203,83,43,27,29,18,18,19,9,8,10,4,6,2,6,4,4,5,1,6,3,5,6,5,3,3,4,4,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
Influenza (J09-J11),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
Neumonía (J12-J18),10,0,0,0,0,1,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
Bronquitis/bronquiolitis aguda (J20-J21),272,22,20,18,16,16,13,11,20,14,20,32,23,4,7,2,6,4,4,1,2,2,2,0,4,2,1,1,0,0,0,1,0,0,1,1,0,2,0,0,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
Crisis obstructiva bronquial (J40-J46),85,2,4,3,4,1,1,1,2,2,6,1,2,7,6,1,3,4,1,6,4,2,2,2,0,0,3,0,2,0,0,1,0,1,2,1,1,1,6,0,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",29,1,2,2,1,0,2,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,2,1,1,0,0,0,2,2,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
COVID 19 Sospechoso (U072),477,-,-,-,-,-,0,0,0,0,0,1,4,5,6,2,2,1,5,5,19,5,8,17,16,14,15,17,21,28,32,21,36,20,22,32,25,28,36,34,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
COVID 19 Confirmado (U071),0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2020,Talcahuano,SAPU,Servicio de Atención Primaria de Urgencia Paulina Avendaño Pereda
