Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,11196,0,0,-,-,-,0,223,1347,968,586,492,477,290,259,212,241,268,230,227,216,203,250,193,198,225,190,210,254,268,265,262,282,349,290,322,308,347,356,346,42,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
TOTAL CAUSAS SISTEMA RESPIRATORIO,150,0,0,-,-,-,0,39,91,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
IRA Alta (J00-J06),108,0,0,-,-,-,0,24,70,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Influenza (J09-J11),0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Neumonía (J12-J18),1,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Bronquitis/bronquiolitis aguda (J20-J21),11,0,0,-,-,-,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Crisis obstructiva bronquial (J40-J46),4,0,0,-,-,-,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",26,0,0,-,-,-,0,10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
COVID 19 Sospechoso (U072),110,-,-,-,-,-,0,0,0,0,0,0,4,3,0,0,5,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,23,36,6,9,4,0,0,12,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
COVID 19 Confirmado (U071),0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
TOTAL CAUSAS SISTEMA CIRCULATORIO,348,0,0,-,-,-,0,2,21,29,16,19,10,12,7,9,6,5,15,15,9,7,8,7,3,7,3,6,7,8,10,12,4,6,11,10,8,13,16,26,1,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Infarto agudo miocardio,19,0,0,-,-,-,0,0,2,2,0,3,1,1,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Accidente vascular encefálico,41,0,0,-,-,-,0,0,6,3,2,0,1,1,0,1,1,1,0,2,4,1,1,0,0,1,1,0,0,0,0,2,1,0,2,2,1,0,5,2,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Crisis hipertensiva,246,0,0,-,-,-,0,2,10,19,11,13,7,9,6,8,4,3,10,6,5,5,5,6,3,6,2,5,4,8,9,9,3,5,6,8,7,10,9,22,1,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Arritmia grave,9,0,0,-,-,-,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Otras causas circulatorias,33,0,0,-,-,-,0,0,0,5,3,2,1,1,1,0,1,0,5,3,0,1,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,1,2,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,755,0,0,-,-,-,0,0,25,57,49,38,27,6,8,8,5,0,10,11,21,84,5,4,12,12,8,55,40,12,18,10,42,72,12,16,12,14,35,22,5,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Accidentes del tránsito,42,0,0,-,-,-,0,0,0,14,0,0,9,0,0,1,0,0,0,0,1,1,1,0,2,0,0,5,0,1,4,1,1,1,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
Otras causas externas,713,0,0,-,-,-,0,0,25,43,49,38,18,6,8,7,5,0,10,11,20,83,4,4,10,12,8,50,40,11,14,9,41,71,12,16,12,14,35,22,5,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
DIARREA AGUDA (A00-A09),828,0,0,-,-,-,0,16,194,75,95,52,39,46,11,12,32,20,0,18,36,8,1,22,10,15,0,1,10,12,8,5,1,13,9,9,18,19,10,8,3,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
TOTAL DEMÁS CAUSAS,9005,0,0,-,-,-,0,166,1016,807,426,383,397,223,233,183,183,243,201,183,150,104,236,154,173,191,179,148,197,236,229,235,210,220,252,276,266,301,295,276,33,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
- SOSPECHA CORONAVIRUS (U072),0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
- CORONAVIRUS (U071),0,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
- LAS DEMÁS CAUSAS,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
CIRUGÍAS DE URGENCIA,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Valparaíso San Antonio,SAPU,SAPU El Tabo
