Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,21455,-,-,176,157,-,-,-,0,-,1225,1341,810,421,519,466,465,498,417,517,703,587,667,601,781,572,714,630,785,753,790,662,751,729,828,763,728,793,659,849,98,2020,Ñuble,SAR,SAR Violeta Parra
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,29972,1119,1076,1102,1137,1152,1092,1077,1215,1160,1131,1217,733,402,505,432,455,470,395,484,659,565,612,587,720,556,664,610,730,725,724,610,695,699,787,713,682,750,625,809,96,2020,Ñuble,SAR,SAR Violeta Parra
TOTAL CAUSAS SISTEMA RESPIRATORIO,3172,163,147,143,120,154,127,131,166,161,187,288,301,115,79,74,38,44,33,37,43,47,47,44,47,20,36,41,41,24,33,14,16,26,25,39,24,32,32,30,3,2020,Ñuble,SAR,SAR Violeta Parra
IRA Alta (J00-J06),2253,113,105,98,78,109,88,101,121,113,135,222,261,89,60,46,22,27,23,30,31,37,38,32,37,10,25,30,24,18,22,9,8,7,14,21,9,11,15,12,2,2020,Ñuble,SAR,SAR Violeta Parra
Influenza (J09-J11),50,9,5,6,7,1,1,2,0,1,1,3,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2020,Ñuble,SAR,SAR Violeta Parra
Neumonía (J12-J18),86,10,4,1,2,2,2,1,5,10,6,12,3,3,0,1,1,2,0,0,1,2,1,1,2,1,2,0,0,0,1,0,2,1,1,2,0,0,2,2,0,2020,Ñuble,SAR,SAR Violeta Parra
Bronquitis/bronquiolitis aguda (J20-J21),378,22,24,26,16,25,17,14,26,16,26,29,24,13,12,8,7,5,2,2,5,2,1,3,3,5,6,5,4,3,0,1,1,7,0,6,3,5,0,4,0,2020,Ñuble,SAR,SAR Violeta Parra
Crisis obstructiva bronquial (J40-J46),242,5,6,8,12,10,16,8,7,8,11,14,9,9,3,10,4,7,8,3,5,6,6,7,4,2,2,4,7,1,2,2,4,4,6,3,7,3,4,5,0,2020,Ñuble,SAR,SAR Violeta Parra
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",163,4,3,4,5,7,3,5,7,13,8,8,3,1,1,4,3,3,0,2,1,0,1,1,1,2,1,2,5,2,8,2,1,7,4,7,5,10,11,7,1,2020,Ñuble,SAR,SAR Violeta Parra
COVID 19 Sospechoso (U072),3233,-,-,0,0,-,0,0,0,0,0,0,25,31,75,59,45,64,46,73,124,139,125,171,212,168,190,137,167,186,93,103,68,95,117,163,151,152,85,155,14,2020,Ñuble,SAR,SAR Violeta Parra
COVID 19 Confirmado (U071),0,-,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Ñuble,SAR,SAR Violeta Parra
TOTAL CAUSAS SISTEMA CIRCULATORIO,785,18,23,10,20,35,25,180,18,26,14,15,7,7,7,17,9,9,11,7,17,7,13,7,13,6,16,5,16,21,30,16,28,19,21,12,15,21,18,23,3,2020,Ñuble,SAR,SAR Violeta Parra
Infarto agudo miocardio,31,0,1,0,0,1,0,1,1,3,2,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,1,0,0,3,0,0,2,4,2,0,2020,Ñuble,SAR,SAR Violeta Parra
Accidente vascular encefálico,47,1,5,1,2,2,2,2,2,4,3,3,1,0,0,1,1,0,0,2,2,0,2,0,3,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,0,2020,Ñuble,SAR,SAR Violeta Parra
