Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,5278,97,92,83,92,89,101,97,77,107,102,83,82,90,80,86,76,94,85,66,84,98,96,93,81,79,103,82,71,106,110,111,98,76,119,100,121,99,135,123,139,112,144,145,125,100,153,150,127,98,106,109,106,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
TOTAL CAUSAS SISTEMA RESPIRATORIO,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,1,1,0,2,0,3,5,4,1,0,0,3,0,2,4,1,1,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
IRA Alta (J00-J06),31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,1,0,1,0,3,5,2,1,0,0,3,0,2,3,1,1,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Neumonía (J12-J18),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Bronquitis/bronquiolitis aguda (J20-J21),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
COVID 19 Sospechoso (U072),60,0,1,0,1,1,3,3,0,0,1,1,1,2,0,2,2,2,3,1,0,2,2,2,1,4,5,1,0,2,1,6,0,1,0,0,0,0,0,0,0,0,0,2,0,1,3,0,3,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
COVID 19 Confirmado (U071),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
TOTAL CAUSAS SISTEMA CIRCULATORIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Infarto agudo miocardio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Accidente vascular encefálico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Crisis hipertensiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Arritmia grave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
Otras causas circulatorias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Aconcagua,Hospital,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo)
