Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1834,6,3,1,4,2,8,20,22,10,14,5,3,6,2,53,47,37,56,53,37,52,39,44,52,41,27,54,24,25,29,41,51,54,56,63,59,48,37,56,33,42,63,56,48,39,42,73,42,42,41,34,38,2021,Antofagasta,SUR,SUR Sierra Gorda
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,2024,19,7,15,30,30,11,37,34,4,14,4,7,7,2,53,47,37,57,54,37,52,40,44,52,48,30,59,31,38,31,41,51,54,56,65,59,51,39,56,44,49,63,55,48,44,42,73,45,45,41,34,38,2021,Antofagasta,SUR,SUR Sierra Gorda
TOTAL CAUSAS SISTEMA RESPIRATORIO,226,0,0,0,1,3,0,3,3,2,0,0,0,0,0,4,4,2,6,5,6,3,4,9,20,6,2,7,0,1,1,2,3,1,0,3,12,8,9,14,10,4,3,6,9,1,8,15,5,4,2,2,13,2021,Antofagasta,SUR,SUR Sierra Gorda
IRA Alta (J00-J06),167,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,2,2,1,4,2,3,8,11,4,2,2,0,0,0,2,3,1,0,0,9,5,8,7,8,4,3,6,9,1,8,15,5,4,2,2,13,2021,Antofagasta,SUR,SUR Sierra Gorda
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
Neumonía (J12-J18),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",57,0,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,4,4,0,1,1,1,9,2,0,5,0,1,1,0,0,0,0,3,3,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
COVID 19 Sospechoso (U072),14,1,1,0,0,1,0,0,3,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
COVID 19 Confirmado (U071),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Antofagasta,SUR,SUR Sierra Gorda
