Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,41592,801,694,678,776,740,828,866,935,913,887,802,709,625,782,867,753,799,789,492,628,814,827,784,784,766,800,730,795,899,814,847,802,808,775,825,746,771,951,846,793,791,886,751,855,855,907,960,894,904,794,498,956,2021,Araucanía Norte,SAR,SAR Alemania
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,34056,569,431,482,504,567,666,688,749,719,737,682,749,571,657,992,699,663,665,381,518,665,660,680,647,640,702,674,637,740,682,708,660,658,637,661,614,584,779,734,674,632,714,601,657,664,695,755,703,735,643,412,720,2021,Araucanía Norte,SAR,SAR Alemania
TOTAL CAUSAS SISTEMA RESPIRATORIO,7386,41,34,33,20,16,34,44,45,37,66,76,67,89,91,168,82,101,156,100,127,121,157,171,176,192,239,215,226,218,219,226,188,165,184,178,140,167,211,207,182,154,182,180,193,179,219,217,223,194,163,78,195,2021,Araucanía Norte,SAR,SAR Alemania
IRA Alta (J00-J06),6216,25,22,22,11,9,19,28,35,28,48,40,51,79,80,142,69,86,146,95,114,107,139,153,154,166,214,188,196,190,191,201,165,135,155,149,112,144,185,181,154,131,154,151,163,150,184,172,173,142,135,60,173,2021,Araucanía Norte,SAR,SAR Alemania
Influenza (J09-J11),18,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,0,0,2021,Araucanía Norte,SAR,SAR Alemania
Neumonía (J12-J18),197,3,4,4,3,4,1,6,0,1,8,4,0,3,5,8,3,5,1,2,7,4,7,9,6,4,5,7,5,7,5,4,7,3,5,1,3,2,1,3,5,3,2,0,0,5,1,1,5,2,6,2,5,2021,Araucanía Norte,SAR,SAR Alemania
Bronquitis/bronquiolitis aguda (J20-J21),339,2,3,3,2,1,0,0,1,1,2,1,0,2,2,1,3,0,3,0,2,2,1,2,5,9,6,13,11,14,17,5,10,16,13,10,6,10,10,11,6,6,13,9,12,11,6,12,18,16,9,10,11,2021,Araucanía Norte,SAR,SAR Alemania
Crisis obstructiva bronquial (J40-J46),178,6,2,1,0,0,3,2,1,1,0,2,0,2,3,6,3,2,4,1,3,4,6,3,6,5,5,3,7,5,3,4,2,7,2,4,7,2,7,2,4,4,5,0,4,4,3,7,4,9,6,1,1,2021,Araucanía Norte,SAR,SAR Alemania
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",438,5,3,3,4,2,11,8,8,6,8,29,4,3,1,11,4,8,2,2,1,4,4,4,5,8,9,4,7,2,3,12,4,4,9,14,12,9,8,10,13,9,8,20,13,9,22,25,23,25,6,5,5,2021,Araucanía Norte,SAR,SAR Alemania
COVID 19 Sospechoso (U072),3982,16,1,1,0,94,135,112,208,176,184,145,231,158,207,437,262,158,94,53,86,129,84,102,87,69,70,64,41,68,34,25,21,32,21,4,15,18,36,30,37,13,24,6,21,13,18,31,23,30,30,5,23,2021,Araucanía Norte,SAR,SAR Alemania
COVID 19 Confirmado (U071),150,0,0,0,1,0,0,0,0,1,0,10,0,2,23,8,7,9,12,0,1,6,12,0,1,0,1,2,3,0,3,0,0,0,0,1,0,0,0,9,5,1,5,3,1,1,0,4,3,7,2,4,2,2021,Araucanía Norte,SAR,SAR Alemania
TOTAL CAUSAS SISTEMA CIRCULATORIO,498,9,8,17,15,10,7,14,9,15,9,10,9,11,6,14,9,11,6,8,11,13,13,1,7,9,5,6,13,18,14,15,14,10,8,14,8,12,8,3,6,9,16,2,7,8,7,12,3,11,7,2,9,2021,Araucanía Norte,SAR,SAR Alemania
Infarto agudo miocardio,29,0,2,0,0,0,2,0,0,0,0,0,2,1,0,1,0,1,0,0,0,2,1,1,0,1,1,1,0,4,1,1,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,2021,Araucanía Norte,SAR,SAR Alemania
Accidente vascular encefálico,12,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2021,Araucanía Norte,SAR,SAR Alemania
Crisis hipertensiva,242,4,3,9,7,1,3,7,4,3,2,7,5,6,2,5,5,4,3,5,8,1,7,0,3,6,4,4,8,7,9,7,7,7,4,3,4,6,5,3,4,4,9,2,7,5,3,7,1,5,3,0,4,2021,Araucanía Norte,SAR,SAR Alemania
Arritmia grave,20,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3,2021,Araucanía Norte,SAR,SAR Alemania
Otras causas circulatorias,195,5,3,8,8,7,2,6,5,9,7,3,1,4,4,8,4,3,3,2,3,9,4,0,3,2,0,1,3,5,2,6,7,3,3,11,4,4,3,0,1,3,3,0,0,2,4,3,2,5,4,1,2,2021,Araucanía Norte,SAR,SAR Alemania
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,4913,130,80,105,141,105,137,115,135,119,119,95,92,69,68,72,66,77,81,63,64,72,77,80,73,63,137,74,80,92,83,85,92,78,73,101,86,87,105,109,101,81,121,100,95,101,102,120,86,129,108,76,113,2021,Araucanía Norte,SAR,SAR Alemania
Accidentes del tránsito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Araucanía Norte,SAR,SAR Alemania
