Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,31052,565,483,545,554,506,576,623,543,582,688,745,662,628,608,538,554,508,481,474,507,493,531,557,513,625,551,509,543,630,559,561,528,531,496,574,527,492,648,642,574,632,623,630,750,727,740,766,788,699,756,697,790,2021,Araucanía Sur,SAR,SAR Labranza
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,30649,556,477,541,548,504,564,590,540,574,654,727,652,613,567,533,547,504,480,466,507,491,528,554,508,611,546,509,538,611,557,556,526,529,495,556,527,492,648,636,574,629,620,618,741,721,727,764,779,691,740,696,787,2021,Araucanía Sur,SAR,SAR Labranza
TOTAL CAUSAS SISTEMA RESPIRATORIO,6384,72,47,47,63,54,61,59,75,97,104,155,157,114,115,98,83,77,80,73,79,78,113,117,123,178,146,119,139,159,132,152,132,132,97,83,95,90,149,119,121,100,137,123,206,178,185,202,233,198,241,193,204,2021,Araucanía Sur,SAR,SAR Labranza
IRA Alta (J00-J06),4772,43,29,28,36,35,39,39,61,72,77,138,126,93,94,74,52,42,65,53,56,63,74,90,87,145,119,86,104,121,90,101,91,92,73,60,74,75,109,86,86,70,104,93,172,134,146,164,183,147,186,144,151,2021,Araucanía Sur,SAR,SAR Labranza
Influenza (J09-J11),306,7,2,3,4,2,9,5,0,6,2,5,16,9,4,4,18,11,2,10,6,1,19,3,12,8,17,4,2,6,5,5,16,11,1,5,4,1,3,1,2,2,7,3,4,2,3,2,3,3,10,6,10,2021,Araucanía Sur,SAR,SAR Labranza
Neumonía (J12-J18),98,1,3,2,3,4,0,1,0,0,3,0,1,1,0,4,2,6,2,2,1,2,1,2,1,4,1,1,2,2,3,2,0,0,0,1,1,2,1,2,1,1,1,3,2,4,1,5,2,3,2,8,1,2021,Araucanía Sur,SAR,SAR Labranza
Bronquitis/bronquiolitis aguda (J20-J21),675,9,5,7,10,4,4,6,7,8,7,4,5,6,6,10,6,8,1,5,9,6,13,13,12,13,6,16,15,16,28,21,17,21,15,6,8,11,29,18,16,17,19,14,19,27,21,16,22,19,33,17,24,2021,Araucanía Sur,SAR,SAR Labranza
Crisis obstructiva bronquial (J40-J46),409,11,2,7,9,7,8,7,5,9,9,6,5,4,10,6,4,8,9,2,6,5,5,8,11,7,3,10,16,12,6,20,7,8,5,8,6,0,6,8,10,5,5,7,4,8,10,12,15,15,6,15,12,2021,Araucanía Sur,SAR,SAR Labranza
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",124,1,6,0,1,2,1,1,2,2,6,2,4,1,1,0,1,2,1,1,1,1,1,1,0,1,0,2,0,2,0,3,1,0,3,3,2,1,1,4,6,5,1,3,5,3,4,3,8,11,4,3,6,2021,Araucanía Sur,SAR,SAR Labranza
COVID 19 Sospechoso (U072),1198,92,86,97,42,62,67,83,79,66,98,59,25,34,32,26,12,24,10,8,6,29,9,14,8,9,11,5,3,8,2,5,2,2,7,2,2,2,3,0,3,14,7,4,10,7,2,1,4,4,3,7,1,2021,Araucanía Sur,SAR,SAR Labranza
COVID 19 Confirmado (U071),858,0,0,1,1,1,2,3,1,1,32,57,79,88,71,74,51,48,40,37,30,21,32,17,10,29,12,4,14,7,3,3,2,0,1,1,0,0,0,2,0,1,1,8,2,10,15,3,6,9,11,11,6,2021,Araucanía Sur,SAR,SAR Labranza
TOTAL CAUSAS SISTEMA CIRCULATORIO,587,7,16,11,15,10,10,12,8,13,1,6,5,12,7,5,12,4,8,9,10,9,11,8,7,12,7,11,14,16,17,4,9,12,6,11,12,15,22,13,15,17,13,12,15,16,15,22,7,16,15,15,12,2021,Araucanía Sur,SAR,SAR Labranza
Infarto agudo miocardio,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2021,Araucanía Sur,SAR,SAR Labranza
Accidente vascular encefálico,21,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,1,0,0,0,2,0,2021,Araucanía Sur,SAR,SAR Labranza
Crisis hipertensiva,313,5,11,7,7,5,6,5,6,8,0,3,3,7,4,3,6,1,4,4,6,3,6,4,5,7,3,9,9,8,12,2,5,5,4,8,4,7,13,9,12,12,3,9,8,9,8,8,3,6,7,3,1,2021,Araucanía Sur,SAR,SAR Labranza
Arritmia grave,46,1,0,1,2,1,0,2,0,0,0,1,0,0,1,0,2,1,1,2,1,0,1,2,0,0,2,0,0,3,0,0,1,0,0,1,3,1,1,0,1,0,1,1,1,1,1,4,0,0,3,1,1,2021,Araucanía Sur,SAR,SAR Labranza
Otras causas circulatorias,200,1,4,2,5,4,3,4,2,5,1,2,0,3,2,2,4,2,3,1,2,6,3,2,2,5,2,2,5,4,5,2,3,6,2,2,3,6,8,3,2,4,7,2,6,6,4,9,4,9,5,9,10,2021,Araucanía Sur,SAR,SAR Labranza
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,4488,94,77,73,93,78,90,95,82,105,102,117,83,84,62,56,86,72,53,71,85,67,66,81,86,85,86,67,87,96,86,84,84,74,81,117,80,55,77,88,73,93,90,87,94,101,100,116,112,87,120,102,108,2021,Araucanía Sur,SAR,SAR Labranza
Accidentes del tránsito,2943,65,46,51,62,59,48,60,61,68,59,47,45,48,29,39,57,48,34,44,52,40,33,43,55,45,58,48,58,49,61,59,67,53,43,90,62,44,53,65,59,67,72,72,73,63,70,81,67,57,72,72,70,2021,Araucanía Sur,SAR,SAR Labranza
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Araucanía Sur,SAR,SAR Labranza
Otras causas externas,1545,29,31,22,31,19,42,35,21,37,43,70,38,36,33,17,29,24,19,27,33,27,33,38,31,40,28,19,29,47,25,25,17,21,38,27,18,11,24,23,14,26,18,15,21,38,30,35,45,30,48,30,38,2021,Araucanía Sur,SAR,SAR Labranza
