Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,3293,77,63,71,61,63,47,44,52,69,66,64,62,76,81,82,72,62,60,61,61,63,47,68,59,64,84,56,80,79,78,70,68,56,53,60,49,57,69,63,51,64,72,64,57,53,81,65,55,67,58,33,56,2021,Arauco,SUR,SUR Laraquete
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1679,49,40,42,43,34,35,21,38,50,41,43,31,46,44,59,48,47,38,34,45,44,27,47,26,44,43,30,51,40,43,35,35,21,24,14,9,8,25,20,19,11,26,23,17,20,22,31,25,23,22,3,23,2021,Arauco,SUR,SUR Laraquete
TOTAL CAUSAS SISTEMA RESPIRATORIO,126,3,1,1,4,0,1,0,3,1,3,4,3,5,2,2,4,2,2,2,2,2,0,2,1,4,3,3,6,0,9,1,3,4,5,0,2,0,2,2,2,1,2,1,0,4,5,3,5,4,0,0,5,2021,Arauco,SUR,SUR Laraquete
IRA Alta (J00-J06),75,0,1,0,3,0,1,0,3,1,3,3,0,2,1,2,1,1,2,1,1,2,0,2,0,2,3,1,5,0,3,1,1,2,2,0,0,0,1,1,2,1,1,1,0,2,3,3,3,3,0,0,4,2021,Arauco,SUR,SUR Laraquete
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Arauco,SUR,SUR Laraquete
Neumonía (J12-J18),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Arauco,SUR,SUR Laraquete
Bronquitis/bronquiolitis aguda (J20-J21),26,2,0,0,1,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2021,Arauco,SUR,SUR Laraquete
Crisis obstructiva bronquial (J40-J46),13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2021,Arauco,SUR,SUR Laraquete
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2021,Arauco,SUR,SUR Laraquete
COVID 19 Sospechoso (U072),294,8,9,6,13,10,2,0,3,13,8,11,11,14,8,14,7,10,5,6,9,5,11,11,5,9,11,10,12,5,6,7,2,4,4,1,1,0,1,2,2,3,1,1,2,1,0,5,0,2,1,0,2,2021,Arauco,SUR,SUR Laraquete
COVID 19 Confirmado (U071),7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021,Arauco,SUR,SUR Laraquete
TOTAL CAUSAS SISTEMA CIRCULATORIO,32,1,0,2,0,0,2,0,1,1,2,1,0,1,3,1,1,1,0,0,1,1,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,2021,Arauco,SUR,SUR Laraquete
Infarto agudo miocardio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,Arauco,SUR,SUR Laraquete
Accidente vascular encefálico,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Arauco,SUR,SUR Laraquete
Crisis hipertensiva,14,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2021,Arauco,SUR,SUR Laraquete
Arritmia grave,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2021,Arauco,SUR,SUR Laraquete
Otras causas circulatorias,10,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2021,Arauco,SUR,SUR Laraquete
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,197,4,8,2,6,3,3,5,4,5,6,4,3,5,3,8,9,7,3,6,4,2,3,4,4,4,4,1,4,6,5,4,3,1,3,3,1,2,4,5,1,3,2,7,1,3,2,5,4,1,3,0,4,2021,Arauco,SUR,SUR Laraquete
