Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,16856,305,346,372,344,311,300,290,315,287,324,301,277,287,291,266,235,280,291,308,291,323,263,270,256,289,275,313,256,314,291,312,350,353,310,349,354,297,397,343,365,346,373,364,356,386,380,401,434,370,411,380,354,2021,Chiloé,SUR,SUR Chonchi
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,15980,286,323,333,308,310,300,290,308,263,320,285,256,266,279,260,231,252,283,301,264,296,261,262,246,264,266,293,222,305,284,302,343,332,303,327,333,285,350,319,348,332,359,357,351,370,354,377,398,357,379,344,343,2021,Chiloé,SUR,SUR Chonchi
TOTAL CAUSAS SISTEMA RESPIRATORIO,1439,27,13,22,22,20,15,14,11,15,8,8,15,6,14,21,10,34,25,23,29,17,16,15,11,15,19,16,26,26,22,26,34,46,38,41,44,39,39,32,46,36,41,49,45,53,53,42,47,37,43,46,27,2021,Chiloé,SUR,SUR Chonchi
IRA Alta (J00-J06),984,16,10,16,13,13,9,10,6,13,3,3,7,2,4,11,5,26,20,15,19,13,16,9,9,11,8,11,20,20,15,17,27,33,28,30,33,34,27,24,32,28,26,35,29,40,42,26,26,21,30,25,18,2021,Chiloé,SUR,SUR Chonchi
Influenza (J09-J11),4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Chiloé,SUR,SUR Chonchi
Neumonía (J12-J18),65,0,2,1,4,0,0,1,1,1,0,2,2,1,3,1,1,1,1,0,2,0,0,2,1,2,2,0,2,1,1,1,0,3,2,1,0,0,1,2,0,0,2,1,0,1,0,2,5,4,1,3,1,2021,Chiloé,SUR,SUR Chonchi
Bronquitis/bronquiolitis aguda (J20-J21),141,2,0,1,3,3,3,0,1,0,1,1,0,1,3,4,0,4,2,4,3,2,0,1,0,0,0,0,1,2,2,4,0,6,5,3,5,0,4,1,5,3,9,5,5,2,7,5,7,5,2,9,5,2021,Chiloé,SUR,SUR Chonchi
Crisis obstructiva bronquial (J40-J46),151,3,0,3,0,3,1,2,2,0,3,1,2,2,1,3,1,2,2,2,3,2,0,2,1,2,4,5,3,3,3,2,4,2,3,6,6,4,3,0,9,3,2,6,5,6,4,6,6,5,6,2,0,2021,Chiloé,SUR,SUR Chonchi
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",94,6,1,1,2,1,2,1,0,1,1,1,4,0,3,1,2,1,0,2,1,0,0,1,0,0,5,0,0,0,1,2,3,2,0,1,0,1,4,5,0,2,2,2,6,4,0,3,3,2,4,7,3,2021,Chiloé,SUR,SUR Chonchi
COVID 19 Sospechoso (U072),1849,53,83,70,62,41,31,22,25,30,24,35,58,50,52,43,33,44,49,71,84,65,56,52,35,29,34,27,34,40,34,33,35,25,34,18,19,9,25,12,13,4,12,20,22,27,26,32,25,22,22,21,27,2021,Chiloé,SUR,SUR Chonchi
