Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,53328,990,938,979,912,736,906,924,990,1015,1155,1174,1172,1023,1042,1044,895,975,949,971,996,998,1069,1011,1004,931,847,893,814,1007,1020,975,952,1008,1024,1048,980,942,1129,1075,1029,1062,1184,1044,1145,1134,1138,1237,1189,1184,1125,1157,1187,2021,Del Maule,SAPU,SAPU Carlos Trupp
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,48246,815,783,795,749,755,794,877,919,946,1025,1011,1031,896,927,941,854,867,842,856,863,889,947,906,912,872,794,844,758,905,958,927,910,943,951,961,952,899,1039,1000,958,975,1062,973,983,999,973,1120,1067,1064,1032,1045,1082,2021,Del Maule,SAPU,SAPU Carlos Trupp
TOTAL CAUSAS SISTEMA RESPIRATORIO,11175,53,59,38,34,33,32,101,112,119,183,217,282,252,226,267,203,228,215,200,226,246,279,302,267,259,257,247,194,245,290,274,268,270,253,176,229,199,255,245,263,256,243,220,230,267,281,265,266,305,247,228,269,2021,Del Maule,SAPU,SAPU Carlos Trupp
IRA Alta (J00-J06),9814,43,50,32,26,28,26,91,96,98,159,205,258,233,204,235,178,212,203,192,202,224,265,277,243,237,226,213,162,213,248,234,228,234,212,145,208,162,233,210,238,217,212,182,203,224,245,226,237,252,213,194,226,2021,Del Maule,SAPU,SAPU Carlos Trupp
Influenza (J09-J11),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Del Maule,SAPU,SAPU Carlos Trupp
Neumonía (J12-J18),139,1,0,0,0,0,1,0,0,3,4,0,2,3,3,5,0,4,1,0,4,3,0,4,1,4,2,7,1,6,5,7,10,8,1,3,0,4,2,2,2,1,5,2,0,6,3,6,2,2,2,4,3,2021,Del Maule,SAPU,SAPU Carlos Trupp
Bronquitis/bronquiolitis aguda (J20-J21),566,2,4,1,2,2,3,4,7,2,7,2,10,4,7,12,11,3,5,1,12,4,5,12,14,8,11,16,18,15,23,18,13,19,19,16,5,24,5,18,8,19,8,16,8,21,21,17,12,20,15,9,28,2021,Del Maule,SAPU,SAPU Carlos Trupp
Crisis obstructiva bronquial (J40-J46),380,4,5,1,4,3,1,4,4,4,8,4,7,6,4,8,5,7,1,1,5,9,7,5,7,6,10,8,9,8,11,11,13,7,15,6,9,6,13,11,9,9,10,9,12,11,4,7,4,17,8,16,7,2021,Del Maule,SAPU,SAPU Carlos Trupp
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",275,3,0,4,2,0,1,2,5,12,5,6,5,6,8,7,9,2,5,6,3,6,2,4,2,4,8,3,4,3,3,4,3,2,6,6,7,3,2,4,6,10,8,11,7,5,8,9,11,14,9,5,5,2021,Del Maule,SAPU,SAPU Carlos Trupp
COVID 19 Sospechoso (U072),1525,148,139,164,166,133,133,24,5,12,17,16,11,13,21,16,8,19,7,11,27,18,40,23,18,16,7,6,11,21,4,0,1,0,15,37,3,1,8,7,4,2,0,11,11,2,0,28,9,1,33,60,38,2021,Del Maule,SAPU,SAPU Carlos Trupp
