Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1488,64,39,44,43,40,16,21,21,20,47,35,36,37,34,44,40,47,39,24,0,-,0,0,0,21,38,36,44,48,44,40,41,58,54,44,62,55,61,52,-,-,-,10,6,-,-,-,-,-,-,13,70,2021,Del Reloncaví,Hospital,Hospital de Palena
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1486,64,39,44,43,38,16,21,21,20,47,35,36,37,34,44,40,47,39,24,0,-,0,0,0,21,38,36,44,48,44,40,40,59,51,47,62,55,61,52,-,-,-,10,6,-,-,-,-,-,-,13,70,2021,Del Reloncaví,Hospital,Hospital de Palena
TOTAL CAUSAS SISTEMA RESPIRATORIO,153,5,4,4,1,2,0,2,3,2,4,3,1,2,1,2,4,4,5,6,0,-,0,0,0,3,5,3,3,1,2,6,9,6,1,3,9,13,12,10,-,-,-,1,0,-,-,-,-,-,-,1,10,2021,Del Reloncaví,Hospital,Hospital de Palena
IRA Alta (J00-J06),99,4,2,4,1,0,0,1,1,2,2,2,0,2,1,0,4,3,3,5,0,-,0,0,0,2,2,1,1,0,2,4,7,6,0,2,6,6,10,9,-,-,-,0,0,-,-,-,-,-,-,0,4,2021,Del Reloncaví,Hospital,Hospital de Palena
Influenza (J09-J11),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
Neumonía (J12-J18),3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
Bronquitis/bronquiolitis aguda (J20-J21),9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,-,-,-,0,0,-,-,-,-,-,-,0,2,2021,Del Reloncaví,Hospital,Hospital de Palena
Crisis obstructiva bronquial (J40-J46),14,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,-,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,1,0,0,-,-,-,0,0,-,-,-,-,-,-,0,1,2021,Del Reloncaví,Hospital,Hospital de Palena
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",26,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,2,0,0,-,0,0,0,0,3,1,1,0,0,1,0,0,1,0,0,4,1,0,-,-,-,1,0,-,-,-,-,-,-,1,3,2021,Del Reloncaví,Hospital,Hospital de Palena
COVID 19 Sospechoso (U072),95,2,1,7,12,5,0,0,2,1,6,1,4,0,4,1,1,3,1,1,0,-,0,0,0,0,1,0,3,3,5,6,5,3,1,2,6,0,6,1,-,-,-,0,1,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
COVID 19 Confirmado (U071),15,0,0,0,2,2,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,-,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
TOTAL CAUSAS SISTEMA CIRCULATORIO,39,1,0,0,1,0,0,0,1,1,0,3,2,2,0,0,0,0,4,0,0,-,0,0,0,1,6,1,4,0,1,1,0,0,2,0,2,0,2,2,-,-,-,0,0,-,-,-,-,-,-,1,1,2021,Del Reloncaví,Hospital,Hospital de Palena
Infarto agudo miocardio,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
Accidente vascular encefálico,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
Crisis hipertensiva,15,1,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,2,0,0,-,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
Arritmia grave,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-,-,-,0,0,-,-,-,-,-,-,0,0,2021,Del Reloncaví,Hospital,Hospital de Palena
Otras causas circulatorias,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,6,0,2,0,1,1,0,0,1,0,0,0,0,1,-,-,-,0,0,-,-,-,-,-,-,1,1,2021,Del Reloncaví,Hospital,Hospital de Palena
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,262,15,12,13,10,8,4,4,1,3,9,9,4,7,3,17,8,10,6,1,0,-,0,0,0,2,4,5,4,7,11,3,4,5,11,7,11,8,9,5,-,-,-,3,0,-,-,-,-,-,-,5,14,2021,Del Reloncaví,Hospital,Hospital de Palena
