Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,23353,480,500,597,478,463,593,620,574,408,336,353,338,342,323,375,303,341,349,383,403,396,410,387,357,401,410,356,417,489,452,443,385,348,450,454,432,516,491,538,465,547,519,518,652,556,506,459,338,462,512,484,644,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,22798,480,500,597,478,463,574,610,560,386,316,340,326,326,317,359,296,337,337,353,387,381,451,429,332,373,387,372,406,473,433,426,378,386,434,435,418,499,513,513,450,526,495,483,593,509,475,444,441,445,476,466,614,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
TOTAL CAUSAS SISTEMA RESPIRATORIO,975,14,7,8,15,10,10,7,17,9,4,6,12,10,6,9,6,5,3,6,8,27,18,24,13,11,15,10,10,19,13,23,8,17,21,21,16,24,46,30,31,55,32,46,35,27,29,36,38,31,28,22,27,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
IRA Alta (J00-J06),147,0,0,0,3,1,3,2,3,1,1,2,3,1,3,1,2,2,1,0,0,0,3,2,1,2,2,4,2,4,5,6,0,3,3,5,3,4,7,2,8,6,5,2,3,4,2,6,4,9,3,2,6,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
Influenza (J09-J11),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
Neumonía (J12-J18),45,0,0,0,0,2,0,1,0,0,0,0,2,0,2,1,0,0,0,1,0,0,1,2,0,1,2,0,1,0,0,1,0,2,3,0,2,2,0,2,0,2,1,0,0,5,2,1,1,1,0,1,3,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
Bronquitis/bronquiolitis aguda (J20-J21),57,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,7,2,0,2,0,2,4,0,1,3,8,2,3,2,3,1,0,0,2,1,0,0,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
Crisis obstructiva bronquial (J40-J46),24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",701,14,7,7,11,7,6,4,14,8,2,4,7,9,1,6,4,3,2,5,8,10,14,19,11,6,11,6,5,12,6,8,6,12,13,16,9,14,39,25,19,39,23,41,29,15,24,28,32,19,24,19,18,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
COVID 19 Sospechoso (U072),3765,54,60,111,84,75,112,88,130,105,100,95,110,100,77,69,52,53,44,55,73,85,132,152,88,73,64,68,68,50,66,45,42,52,40,55,41,55,28,51,42,34,66,60,143,116,93,58,49,51,50,64,37,2021,Libertador B. O'Higgins,Hospital,Hospital de Pichilemu
