Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,8708,211,190,198,197,180,166,172,153,188,199,190,178,211,193,187,128,120,111,122,132,117,151,155,128,154,153,137,152,131,123,125,114,92,111,161,136,127,179,181,151,204,140,194,216,242,227,206,221,229,217,187,221,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,8688,211,185,198,190,179,164,172,151,186,194,186,196,206,189,184,128,119,110,122,131,135,150,152,126,151,153,137,150,131,123,125,114,92,110,161,136,126,177,181,150,202,163,190,212,241,226,205,221,227,213,186,221,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
TOTAL CAUSAS SISTEMA RESPIRATORIO,1036,24,25,22,22,23,22,11,10,16,19,9,14,5,10,17,4,4,6,19,5,12,16,23,20,33,18,11,12,10,15,6,15,8,15,24,18,6,23,40,26,50,30,33,39,24,39,34,31,28,23,25,42,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
IRA Alta (J00-J06),655,14,10,13,11,16,10,3,7,13,15,5,9,4,5,13,3,3,2,7,3,5,10,12,14,17,12,6,8,10,9,2,10,4,5,17,9,5,11,31,9,33,23,25,39,23,38,30,26,4,4,12,26,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
Neumonía (J12-J18),7,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
Bronquitis/bronquiolitis aguda (J20-J21),25,0,1,0,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,1,0,0,1,0,0,1,0,1,2,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
Crisis obstructiva bronquial (J40-J46),33,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,2,1,0,0,0,0,2,4,0,1,0,0,0,3,0,4,1,1,3,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",316,10,14,9,9,6,8,5,3,3,4,4,2,1,4,3,0,1,3,12,2,7,5,10,5,15,6,3,4,0,5,4,4,4,7,6,9,1,11,6,14,12,4,6,0,1,0,1,5,19,18,10,11,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
COVID 19 Sospechoso (U072),2694,38,39,46,45,56,42,49,50,75,100,118,141,142,115,103,58,43,31,29,44,51,65,55,44,55,66,52,36,37,32,24,22,19,15,34,24,20,36,13,47,49,48,40,37,69,52,41,52,62,52,44,37,2021,Libertador B. O'Higgins,SAPU,SAPU Centro
