Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,34463,554,555,568,529,576,510,587,627,743,775,718,573,784,631,651,551,550,462,610,726,878,921,908,791,682,630,550,555,680,662,605,518,499,517,544,571,554,645,593,670,716,713,842,878,785,760,863,752,750,803,578,770,2021,Metropolitano Central,SAPU,SAPU Maipú
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,32986,535,537,548,526,566,510,563,611,703,750,661,547,732,587,613,541,535,450,576,683,821,862,830,744,661,606,532,543,657,650,591,503,487,504,538,548,543,624,560,615,676,673,780,803,741,734,826,749,725,765,562,759,2021,Metropolitano Central,SAPU,SAPU Maipú
TOTAL CAUSAS SISTEMA RESPIRATORIO,4225,80,89,35,35,37,40,63,61,81,74,99,84,85,42,63,29,44,35,54,43,62,84,69,94,41,37,48,58,74,47,49,67,73,59,63,78,62,97,80,115,115,133,152,156,148,144,123,154,154,129,95,192,2021,Metropolitano Central,SAPU,SAPU Maipú
IRA Alta (J00-J06),3405,70,78,28,26,29,27,45,46,64,59,83,69,66,32,48,24,39,30,46,35,52,58,51,78,31,30,38,35,50,38,37,57,43,48,45,58,56,72,70,91,100,116,139,123,111,128,94,118,138,103,85,168,2021,Metropolitano Central,SAPU,SAPU Maipú
Influenza (J09-J11),11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Central,SAPU,SAPU Maipú
Neumonía (J12-J18),51,3,1,3,1,2,0,1,2,0,0,1,1,1,2,3,1,0,0,1,1,2,1,2,1,0,1,0,3,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,3,2,0,2,1,0,2021,Metropolitano Central,SAPU,SAPU Maipú
Bronquitis/bronquiolitis aguda (J20-J21),333,1,0,0,1,2,3,2,2,3,5,7,9,5,2,1,2,1,1,1,1,5,8,10,7,4,2,3,5,12,4,6,5,11,4,11,10,3,14,3,12,8,10,9,14,7,12,12,24,15,18,5,11,2021,Metropolitano Central,SAPU,SAPU Maipú
Crisis obstructiva bronquial (J40-J46),188,1,2,4,5,3,4,4,3,6,3,3,2,3,0,5,0,2,2,5,3,2,11,3,2,4,3,2,1,4,0,3,3,5,4,3,5,2,9,5,6,1,7,2,13,0,3,7,6,1,4,1,6,2021,Metropolitano Central,SAPU,SAPU Maipú
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",237,5,8,0,2,1,6,11,8,8,7,5,3,10,6,6,2,2,2,0,3,1,6,3,6,2,1,5,4,7,4,2,2,14,2,3,5,0,2,2,5,6,0,2,5,29,1,7,4,0,2,3,7,2021,Metropolitano Central,SAPU,SAPU Maipú
COVID 19 Sospechoso (U072),6733,45,45,109,99,69,64,58,109,117,160,159,133,195,158,163,123,136,81,153,188,266,305,325,232,180,153,142,125,130,113,116,73,72,72,79,88,76,95,84,85,95,125,153,164,166,184,192,102,103,101,74,99,2021,Metropolitano Central,SAPU,SAPU Maipú
COVID 19 Confirmado (U071),1355,6,1,0,1,0,0,0,0,8,20,13,16,14,52,67,45,24,40,25,84,109,96,105,93,70,39,10,8,15,14,6,6,17,0,4,6,5,17,14,18,28,34,42,51,41,30,22,15,9,13,1,1,2021,Metropolitano Central,SAPU,SAPU Maipú
TOTAL CAUSAS SISTEMA CIRCULATORIO,980,19,18,17,14,17,13,23,9,9,13,19,16,31,21,23,19,21,14,18,33,31,25,30,26,39,28,7,11,25,24,21,19,16,23,20,10,19,13,22,16,24,22,11,11,9,15,17,14,13,20,14,18,2021,Metropolitano Central,SAPU,SAPU Maipú
