Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,58681,875,795,821,848,809,872,846,957,1048,1049,931,925,849,816,843,729,715,809,780,840,836,900,862,782,745,758,789,772,980,1082,1118,1190,1212,1276,1340,1396,1273,1594,1618,1612,1574,1678,1807,1721,1637,1667,1734,1565,1545,1469,1451,1541,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,55474,866,786,811,838,803,862,827,944,1019,1030,920,898,826,804,838,723,705,801,768,825,825,879,848,776,731,743,779,766,963,1059,1074,1135,1173,1235,1255,1306,1201,1457,1452,1433,1423,1468,1522,1573,1498,1540,1581,1454,1386,1339,1324,1382,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,10513,76,51,65,63,49,73,65,99,144,154,168,172,147,111,102,73,73,91,133,165,193,205,186,151,107,116,117,128,160,226,240,286,315,344,339,372,328,422,339,331,343,350,313,337,335,336,254,258,264,224,242,278,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
IRA Alta (J00-J06),7550,54,41,53,49,36,56,51,86,114,117,134,143,110,87,73,59,62,76,103,132,155,167,151,123,76,81,80,92,102,163,168,182,187,218,211,234,235,275,224,211,233,247,209,245,238,254,188,199,197,163,193,213,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
Influenza (J09-J11),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
Neumonía (J12-J18),218,1,0,0,1,0,1,0,1,2,2,1,2,1,1,0,0,2,3,1,1,5,3,1,2,1,2,0,4,4,4,7,10,10,10,12,14,4,15,7,6,10,6,7,8,6,5,10,4,6,5,4,6,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
Bronquitis/bronquiolitis aguda (J20-J21),2199,14,8,8,9,7,12,12,8,18,20,20,23,27,17,17,11,6,11,21,25,21,26,21,18,20,24,25,26,42,50,59,84,103,99,102,110,77,115,93,94,83,79,74,68,76,64,43,42,49,44,34,40,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
Crisis obstructiva bronquial (J40-J46),349,3,2,2,4,5,3,1,3,6,11,6,2,7,2,6,1,1,1,5,4,6,5,6,6,8,2,5,3,8,2,2,4,11,9,12,9,9,12,13,19,13,13,17,10,11,7,8,10,8,6,6,14,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",195,4,0,2,0,1,1,1,1,4,4,7,2,2,4,6,2,2,0,3,2,6,4,7,2,2,7,7,3,4,7,4,6,4,8,2,5,3,5,2,1,4,5,6,6,3,6,5,3,4,6,5,5,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
COVID 19 Sospechoso (U072),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Norte,Hospital,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)"
