Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,22121,420,378,449,382,412,387,379,452,483,441,462,465,440,417,336,310,344,319,360,374,454,539,475,393,312,424,297,302,341,332,352,363,365,365,374,409,380,439,424,437,493,552,595,659,615,577,585,492,488,471,399,408,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,21215,413,360,443,370,404,379,370,441,466,429,445,449,426,394,329,304,335,310,355,367,416,486,438,368,302,407,293,298,338,327,343,345,361,360,366,400,371,431,418,398,480,541,574,620,480,573,510,482,467,445,383,405,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
TOTAL CAUSAS SISTEMA RESPIRATORIO,3921,30,34,33,32,36,37,46,66,66,66,81,89,71,58,44,48,37,34,58,70,92,112,84,82,53,62,44,39,50,55,57,67,73,60,61,69,60,85,89,81,85,135,182,177,140,178,111,111,99,97,87,108,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
IRA Alta (J00-J06),2941,24,24,26,22,33,28,36,50,46,35,60,72,57,32,33,38,29,26,49,54,74,83,64,56,28,45,36,27,41,41,43,45,45,41,37,57,48,61,65,65,65,113,140,138,92,124,97,90,76,80,70,80,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
Influenza (J09-J11),76,1,1,2,0,0,2,1,2,2,5,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,2,0,1,0,1,15,27,0,0,0,0,0,0,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
Neumonía (J12-J18),66,0,2,1,1,0,1,0,0,0,0,0,3,0,3,1,1,0,0,0,0,3,4,2,2,4,3,1,1,0,3,0,2,1,0,0,2,1,3,1,0,4,1,3,2,5,0,0,1,3,0,1,0,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
Bronquitis/bronquiolitis aguda (J20-J21),439,4,2,1,3,0,2,3,6,5,8,9,3,4,8,5,1,2,1,5,8,7,9,8,10,10,6,3,6,4,6,12,13,10,8,9,5,3,11,20,9,11,13,24,25,20,17,7,15,6,15,13,24,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
Crisis obstructiva bronquial (J40-J46),248,1,1,2,6,2,4,4,4,9,3,8,3,4,3,3,5,3,6,3,4,4,11,5,11,8,5,3,4,3,5,2,5,14,6,9,5,4,3,2,2,2,5,11,9,4,5,5,3,11,1,2,1,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",151,0,4,1,0,1,0,2,4,4,15,2,6,5,12,2,3,3,1,1,4,4,5,4,3,3,3,1,1,2,0,0,2,0,5,4,0,4,4,1,3,3,2,4,2,4,5,2,2,3,1,1,3,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
COVID 19 Sospechoso (U072),1342,29,31,32,18,20,21,26,14,19,39,40,43,30,41,39,27,32,25,26,30,60,77,64,59,40,38,22,16,28,22,19,18,11,17,9,13,10,12,17,14,13,27,21,33,26,16,10,10,16,10,7,5,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
COVID 19 Confirmado (U071),148,1,4,4,1,0,1,0,0,0,4,2,9,9,2,6,4,4,4,6,13,10,9,16,3,1,2,0,1,0,2,2,0,1,0,0,1,0,0,0,1,5,5,1,2,6,3,1,1,0,0,0,1,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
TOTAL CAUSAS SISTEMA CIRCULATORIO,699,16,18,18,16,14,13,13,15,14,20,17,11,21,16,12,17,15,8,12,13,11,21,23,9,7,19,15,17,10,5,15,12,12,6,13,14,16,16,10,19,12,15,10,13,12,9,9,10,19,6,8,7,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
Infarto agudo miocardio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
Accidente vascular encefálico,11,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2021,Metropolitano Norte,SAPU,SAPU Lucas Sierra
