Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,57147,1428,1447,1442,1303,1216,1338,1292,1344,1416,1473,1385,1416,1431,1021,984,891,874,827,1037,1054,1284,1427,1339,1135,873,847,658,552,666,650,747,812,768,775,846,812,805,1024,1036,1084,1052,1169,1216,1198,1411,1358,1339,1232,1096,1059,1050,1208,2021,Metropolitano Norte,SAR,SAR Colina
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,51146,1253,1221,1177,1141,1090,1209,1125,1176,1238,1277,1195,1223,1220,862,922,843,730,755,961,951,1129,1223,1245,1037,853,766,622,520,624,621,703,757,717,735,784,748,751,938,1012,1012,917,1034,1092,1067,1225,1174,1195,1140,1025,951,930,1030,2021,Metropolitano Norte,SAR,SAR Colina
TOTAL CAUSAS SISTEMA RESPIRATORIO,4430,60,57,67,66,50,48,51,56,65,67,71,70,106,56,42,44,57,74,144,71,89,107,143,74,73,57,46,43,47,47,57,87,80,82,75,88,90,105,108,110,90,119,125,120,109,160,136,115,108,82,137,199,2021,Metropolitano Norte,SAR,SAR Colina
IRA Alta (J00-J06),2508,30,28,32,24,25,31,19,27,30,32,42,24,48,34,23,20,41,38,101,42,59,74,106,38,48,36,22,20,29,32,31,51,42,34,34,43,37,49,48,60,49,67,79,67,59,95,84,66,64,41,97,156,2021,Metropolitano Norte,SAR,SAR Colina
Influenza (J09-J11),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,Metropolitano Norte,SAR,SAR Colina
Neumonía (J12-J18),408,7,5,14,14,4,2,9,4,11,5,7,10,23,6,4,7,2,9,7,11,6,8,7,6,2,5,3,1,3,2,7,7,13,14,7,10,9,9,18,11,2,6,10,10,6,7,11,9,9,13,7,9,2021,Metropolitano Norte,SAR,SAR Colina
Bronquitis/bronquiolitis aguda (J20-J21),610,6,3,4,6,7,1,7,5,3,9,5,12,11,9,8,8,8,6,6,3,7,8,11,9,6,3,9,4,7,5,10,17,10,21,22,21,31,24,22,24,16,25,20,23,20,25,15,22,12,10,11,13,2021,Metropolitano Norte,SAR,SAR Colina
Crisis obstructiva bronquial (J40-J46),539,12,11,12,14,7,12,10,12,12,12,10,13,13,3,6,4,4,8,15,12,13,9,12,13,12,11,8,10,4,5,6,10,11,7,7,12,10,13,9,11,15,11,10,15,11,16,18,9,10,8,12,9,2021,Metropolitano Norte,SAR,SAR Colina
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",364,5,10,5,8,7,2,6,8,9,9,7,11,11,4,1,5,2,13,15,3,4,8,7,8,5,2,4,8,4,3,3,2,4,6,5,2,3,10,11,4,8,10,6,5,13,17,8,9,13,9,10,12,2021,Metropolitano Norte,SAR,SAR Colina
COVID 19 Sospechoso (U072),7580,121,116,88,97,85,94,123,113,170,233,296,291,352,317,314,224,227,163,216,233,282,330,312,280,244,229,119,88,110,87,51,84,85,68,64,68,60,83,88,99,55,73,75,84,90,104,125,84,41,73,37,35,2021,Metropolitano Norte,SAR,SAR Colina
COVID 19 Confirmado (U071),3875,10,14,8,16,7,12,12,8,4,21,17,79,115,188,186,188,168,116,193,250,299,327,298,251,183,130,83,35,37,24,14,17,13,13,13,5,10,15,26,55,39,27,44,44,71,55,37,37,14,12,18,17,2021,Metropolitano Norte,SAR,SAR Colina
TOTAL CAUSAS SISTEMA CIRCULATORIO,770,19,30,20,37,19,27,22,23,32,15,25,14,14,7,8,6,9,8,15,6,12,10,9,11,5,5,12,7,4,8,10,16,13,15,17,12,21,13,20,13,15,21,11,13,14,9,11,17,14,11,26,19,2021,Metropolitano Norte,SAR,SAR Colina
