Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,30838,522,544,544,564,552,133,598,615,595,565,540,305,424,434,458,457,467,469,432,510,504,566,499,516,580,571,440,497,516,562,535,510,522,585,593,634,574,653,678,596,714,812,848,889,771,872,840,769,826,864,853,921,2021,Metropolitano Sur,SAPU,SAPU Paine
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,29326,508,535,536,555,546,129,570,598,564,543,503,280,414,420,440,450,455,446,416,503,492,561,488,501,553,551,431,486,485,542,491,498,505,570,568,614,565,633,651,580,686,745,771,787,682,773,767,710,787,815,778,849,2021,Metropolitano Sur,SAPU,SAPU Paine
TOTAL CAUSAS SISTEMA RESPIRATORIO,3689,18,42,28,30,55,6,34,39,36,40,44,37,44,41,21,40,47,41,35,38,62,51,40,68,38,74,46,43,60,67,78,52,63,90,72,69,82,97,107,106,132,163,150,151,114,143,134,108,103,114,117,179,2021,Metropolitano Sur,SAPU,SAPU Paine
IRA Alta (J00-J06),2796,14,34,21,21,22,2,25,30,29,33,31,24,30,27,15,31,34,31,23,26,42,33,34,50,22,58,26,29,47,50,53,42,47,72,47,47,59,77,87,83,108,139,122,121,93,116,94,86,82,86,94,147,2021,Metropolitano Sur,SAPU,SAPU Paine
Influenza (J09-J11),15,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SAPU,SAPU Paine
Neumonía (J12-J18),189,0,1,1,2,1,0,1,2,5,1,3,5,3,4,3,3,2,3,3,3,2,8,4,2,6,4,4,1,7,2,5,2,3,6,9,3,4,5,5,3,6,2,4,4,5,6,8,5,0,5,8,5,2021,Metropolitano Sur,SAPU,SAPU Paine
Bronquitis/bronquiolitis aguda (J20-J21),332,1,2,2,3,1,2,2,1,0,1,1,2,2,3,3,5,5,5,3,3,11,0,1,10,7,4,4,5,4,2,12,3,7,7,11,12,10,9,13,11,8,10,14,9,9,11,16,7,12,17,9,20,2021,Metropolitano Sur,SAPU,SAPU Paine
Crisis obstructiva bronquial (J40-J46),190,2,4,2,4,2,1,2,4,1,5,4,4,3,2,0,1,2,2,4,3,3,5,0,2,2,6,7,5,1,7,5,2,4,1,4,5,8,4,1,4,6,4,2,13,4,3,6,6,5,4,5,4,2021,Metropolitano Sur,SAPU,SAPU Paine
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",167,1,1,2,0,15,1,4,2,1,0,5,2,6,5,0,0,3,0,2,3,4,5,1,4,1,2,5,3,1,6,3,3,2,4,1,2,1,2,1,5,4,8,8,4,3,7,10,4,4,2,1,3,2021,Metropolitano Sur,SAPU,SAPU Paine
COVID 19 Sospechoso (U072),3596,55,72,58,61,25,11,56,99,91,95,115,65,76,69,109,77,66,80,63,109,71,162,155,86,137,101,59,42,71,43,36,38,40,36,52,43,25,25,18,23,25,50,81,92,94,110,101,80,70,71,60,47,2021,Metropolitano Sur,SAPU,SAPU Paine
COVID 19 Confirmado (U071),557,3,0,3,4,0,7,0,4,4,15,7,1,19,19,15,8,16,21,26,23,34,27,35,39,29,9,15,15,15,10,3,4,6,9,1,3,3,2,3,6,6,5,20,11,11,9,4,6,7,5,4,6,2021,Metropolitano Sur,SAPU,SAPU Paine
TOTAL CAUSAS SISTEMA CIRCULATORIO,767,9,10,13,14,26,3,16,15,15,13,18,7,9,7,9,12,9,16,15,16,20,11,9,7,13,15,6,9,12,20,12,12,22,13,24,22,17,17,10,16,28,24,19,23,25,13,20,15,11,13,22,15,2021,Metropolitano Sur,SAPU,SAPU Paine
Infarto agudo miocardio,39,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,1,1,0,0,1,0,0,0,3,0,2,2,1,0,0,3,2,2,2,1,1,3,0,1,0,1,2,1,2021,Metropolitano Sur,SAPU,SAPU Paine
Accidente vascular encefálico,50,1,2,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,2,2,3,2,2,0,0,0,3,0,0,0,0,3,1,0,2,2,1,2,0,1,2,0,1,1,1,1,1,1,2,1,1,1,1,2021,Metropolitano Sur,SAPU,SAPU Paine
Crisis hipertensiva,355,3,3,3,5,12,2,5,5,8,6,12,4,1,5,5,6,6,11,6,9,11,8,6,3,5,8,3,4,5,10,2,5,9,4,13,10,10,10,5,6,12,9,10,16,11,7,10,5,7,1,7,6,2021,Metropolitano Sur,SAPU,SAPU Paine
Arritmia grave,92,1,0,2,3,1,0,4,1,0,3,3,0,1,0,1,1,1,0,1,0,0,0,0,3,1,1,1,1,5,3,3,2,4,0,2,5,1,2,1,3,4,4,2,2,2,2,5,0,1,5,2,2,2021,Metropolitano Sur,SAPU,SAPU Paine
Otras causas circulatorias,231,3,5,7,6,13,1,5,8,5,3,2,3,7,2,3,4,1,1,4,4,7,1,2,1,6,2,2,4,1,7,4,4,6,7,5,4,3,5,3,2,10,8,4,3,10,0,4,7,2,5,10,5,2021,Metropolitano Sur,SAPU,SAPU Paine
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,3969,83,99,73,77,69,25,95,96,106,85,76,44,40,66,50,51,64,47,44,56,52,62,50,48,62,65,55,81,70,81,65,73,58,73,69,87,61,92,84,98,99,112,101,94,102,103,95,114,107,110,108,92,2021,Metropolitano Sur,SAPU,SAPU Paine
Accidentes del tránsito,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2021,Metropolitano Sur,SAPU,SAPU Paine
Lesiones autoinfligidas intencionalmente (X60-X84),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SAPU,SAPU Paine
Otras causas externas,3955,83,99,73,77,69,25,95,96,106,85,76,44,40,66,49,49,64,46,44,56,52,62,50,47,62,65,54,81,70,81,65,72,58,73,67,87,61,92,84,98,99,111,100,94,101,103,95,114,106,109,108,92,2021,Metropolitano Sur,SAPU,SAPU Paine
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),678,0,0,8,16,11,5,10,10,11,15,18,6,9,8,11,20,13,12,9,11,5,9,7,7,9,15,19,8,14,22,18,20,18,17,16,14,22,21,15,9,15,13,18,11,15,13,20,18,18,15,13,21,2021,Metropolitano Sur,SAPU,SAPU Paine
Ideación Suicida (R458),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SAPU,SAPU Paine
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),48,0,0,0,0,1,0,2,0,1,2,0,2,0,0,1,2,1,1,1,2,1,0,0,0,1,1,0,1,0,1,1,1,0,0,2,0,4,1,2,3,1,0,1,0,1,2,1,4,1,0,0,2,2021,Metropolitano Sur,SAPU,SAPU Paine
