Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,1551,24,8,13,25,25,20,36,24,15,9,12,12,13,14,18,13,22,15,15,16,19,65,140,105,110,114,77,68,81,33,35,34,27,24,26,28,25,15,18,15,13,13,13,17,11,13,12,10,9,12,10,10,2021,Metropolitano Sur,SUR,SUR Maipo
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1440,24,8,13,23,25,20,35,24,15,9,11,12,13,14,18,13,22,15,14,16,19,64,106,95,102,98,70,61,65,29,35,34,27,24,25,28,25,15,17,15,13,13,13,16,11,13,12,10,9,12,10,10,2021,Metropolitano Sur,SUR,SUR Maipo
TOTAL CAUSAS SISTEMA RESPIRATORIO,90,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,5,19,18,13,13,6,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
IRA Alta (J00-J06),67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,12,12,11,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Influenza (J09-J11),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Neumonía (J12-J18),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Bronquitis/bronquiolitis aguda (J20-J21),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Crisis obstructiva bronquial (J40-J46),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
COVID 19 Sospechoso (U072),382,5,1,5,11,11,10,14,12,5,1,3,6,7,1,6,4,12,10,12,10,2,18,39,29,27,24,25,20,15,11,13,5,2,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
COVID 19 Confirmado (U071),142,9,0,0,0,3,3,1,0,0,1,4,1,5,11,5,4,4,2,0,6,10,23,9,10,4,3,4,6,5,2,1,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
TOTAL CAUSAS SISTEMA CIRCULATORIO,28,0,0,1,0,0,0,3,0,2,1,1,1,0,0,1,0,0,1,1,0,0,1,2,2,3,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Infarto agudo miocardio,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Accidente vascular encefálico,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Crisis hipertensiva,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Arritmia grave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Otras causas circulatorias,11,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,118,8,4,7,7,7,1,8,6,4,1,1,0,1,1,0,1,0,1,1,0,4,5,8,2,6,6,10,8,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
Accidentes del tránsito,9,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Sur,SUR,SUR Maipo
