Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,42525,884,723,709,603,631,664,643,684,808,944,923,917,1010,890,923,951,859,801,832,773,880,889,768,726,684,650,594,628,686,700,707,672,658,795,733,718,722,958,843,877,892,989,1027,1005,1008,1092,923,829,885,873,856,1086,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,40483,864,694,681,583,609,641,615,660,772,905,876,865,940,821,888,898,811,764,802,733,820,833,705,691,650,628,575,610,670,682,691,652,637,753,698,686,712,900,797,830,855,895,966,935,947,1029,886,788,855,838,825,1022,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
TOTAL CAUSAS SISTEMA RESPIRATORIO,5794,123,54,55,46,50,41,56,52,80,70,112,91,94,92,89,93,105,74,91,105,111,82,69,74,62,51,86,81,97,96,95,102,114,135,101,114,125,185,168,172,187,178,207,228,240,199,142,135,120,112,128,225,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
IRA Alta (J00-J06),3127,76,36,34,35,29,25,37,36,45,34,48,38,41,43,37,26,19,25,22,33,29,18,28,22,19,22,60,64,55,61,64,56,65,65,57,69,57,111,105,107,122,118,125,129,140,124,89,89,70,64,76,128,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
Influenza (J09-J11),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
Neumonía (J12-J18),73,1,0,0,1,0,0,0,1,1,2,1,0,1,1,0,3,3,0,2,0,1,1,1,0,0,1,0,1,4,0,1,0,1,3,0,1,0,5,4,8,0,7,1,3,2,1,0,0,4,1,4,1,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
Bronquitis/bronquiolitis aguda (J20-J21),382,10,2,5,1,5,1,2,1,4,6,7,6,5,3,7,6,1,3,3,3,4,3,3,3,3,7,4,1,11,7,6,6,9,10,9,12,13,16,10,16,19,10,11,13,14,7,17,7,8,6,10,26,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
Crisis obstructiva bronquial (J40-J46),342,6,6,5,2,4,8,2,7,5,8,4,5,1,6,2,2,6,2,2,4,12,11,6,3,3,5,3,5,6,7,1,10,5,12,9,10,13,7,12,8,10,7,14,7,17,11,6,7,6,7,6,9,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1866,30,10,11,7,12,7,15,7,25,20,52,42,46,39,43,56,76,44,62,65,63,49,31,46,37,16,19,10,21,21,23,30,34,45,26,22,42,46,35,33,36,36,56,76,67,56,30,32,32,34,32,61,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
COVID 19 Sospechoso (U072),6505,63,82,77,77,72,82,94,120,119,177,182,208,205,198,256,264,204,205,238,188,227,222,241,193,137,144,86,71,86,73,84,74,67,86,69,53,47,84,55,86,91,107,74,94,96,177,120,82,97,92,70,109,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
COVID 19 Confirmado (U071),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
TOTAL CAUSAS SISTEMA CIRCULATORIO,738,21,8,14,3,25,12,10,10,13,13,27,19,17,19,14,24,12,24,15,20,22,16,17,13,23,13,15,13,8,16,10,7,8,13,20,11,9,11,14,19,12,20,16,5,17,9,9,11,10,6,14,11,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
Infarto agudo miocardio,10,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
Accidente vascular encefálico,25,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,2,1,2021,Metropolitano Suroriente,SAPU,SAPU Cardenal Silva Henríquez de Puente Alto
