Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,26087,587,496,504,548,363,488,449,502,547,507,534,522,467,474,420,389,408,438,452,442,382,384,368,356,352,390,387,364,406,437,461,448,467,541,502,511,415,564,559,604,578,622,675,639,704,688,672,619,603,584,610,658,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,24971,587,496,504,548,448,488,449,502,547,507,534,522,467,474,420,389,408,438,452,442,382,384,368,356,352,390,387,364,406,425,419,411,429,501,478,467,404,528,516,537,509,543,596,545,593,602,610,570,552,538,579,608,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
TOTAL CAUSAS SISTEMA RESPIRATORIO,2746,26,29,30,43,22,30,25,23,39,33,27,41,37,57,53,28,38,28,37,39,42,24,24,22,13,27,28,18,20,43,70,65,53,89,60,78,62,87,90,92,80,69,102,80,89,116,91,90,84,76,72,105,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
IRA Alta (J00-J06),1984,14,19,19,36,17,23,12,15,29,29,21,28,30,44,42,21,27,24,26,29,33,16,12,16,10,15,14,10,13,38,50,48,37,63,48,53,46,73,61,61,56,49,80,59,57,90,68,61,60,57,52,73,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Influenza (J09-J11),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Neumonía (J12-J18),104,0,0,2,1,0,1,2,1,1,1,1,3,1,4,2,0,2,3,5,2,4,3,3,1,1,3,4,0,0,1,0,4,2,4,3,2,1,2,1,5,1,3,1,5,3,2,2,2,4,2,2,1,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Bronquitis/bronquiolitis aguda (J20-J21),292,5,0,0,4,1,0,2,1,5,1,4,5,3,2,2,1,5,0,3,3,3,1,2,4,0,0,4,3,3,2,11,10,8,14,4,10,8,5,8,16,11,5,9,10,11,10,11,11,12,10,8,21,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Crisis obstructiva bronquial (J40-J46),200,5,6,6,1,2,3,9,3,1,2,0,4,2,5,5,4,3,0,2,1,2,2,4,0,2,6,1,3,3,1,6,2,4,7,3,2,2,6,17,5,2,4,3,4,6,6,7,6,2,3,9,6,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",158,2,4,3,1,2,3,0,3,3,0,1,1,1,2,1,2,1,1,1,4,0,2,3,1,0,3,5,2,1,1,3,1,2,1,2,11,5,1,3,4,10,8,8,2,7,8,3,10,6,4,1,4,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
COVID 19 Sospechoso (U072),4831,111,69,87,54,59,62,64,105,132,142,175,178,142,127,113,96,78,115,137,142,125,123,121,123,100,90,74,82,89,101,61,55,64,54,39,43,35,60,35,72,75,94,100,110,135,86,82,100,74,66,89,86,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
COVID 19 Confirmado (U071),440,3,2,1,2,0,3,3,2,5,3,2,5,9,39,14,24,20,25,29,28,30,26,29,21,23,9,12,5,6,3,3,3,1,2,0,3,0,1,2,0,3,4,1,4,9,3,3,1,4,6,2,2,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
TOTAL CAUSAS SISTEMA CIRCULATORIO,786,20,15,14,19,16,13,21,12,8,9,23,14,6,9,12,8,20,15,13,11,9,10,8,12,10,16,12,20,13,16,21,22,22,15,25,19,15,15,32,30,24,4,9,8,12,18,15,11,14,19,15,17,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Infarto agudo miocardio,29,2,0,0,0,1,0,2,0,0,1,0,1,0,0,1,0,1,2,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0,0,2,0,0,1,1,0,2,0,1,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Accidente vascular encefálico,44,1,1,0,1,0,3,1,1,1,2,1,1,1,0,0,1,2,1,2,1,0,1,0,0,0,1,2,3,0,1,1,1,0,0,0,3,1,1,1,1,0,1,0,1,0,0,0,0,1,2,0,1,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Crisis hipertensiva,423,6,8,6,10,3,7,8,8,2,3,16,8,4,4,7,3,12,10,8,7,4,2,4,9,5,9,6,11,6,8,15,10,14,11,21,13,10,12,17,20,12,2,4,2,5,12,6,4,8,6,6,9,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Arritmia grave,58,1,0,1,2,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,3,0,2,2,1,1,2,4,3,2,2,3,0,0,0,1,0,4,1,3,0,0,1,0,1,2,1,1,4,3,1,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Otras causas circulatorias,232,10,6,7,6,11,3,10,3,4,3,4,4,1,4,4,4,4,2,3,3,1,4,4,1,3,4,3,3,3,3,3,9,5,3,3,1,3,2,10,6,9,1,4,3,7,3,7,5,4,7,6,6,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,2745,68,65,88,72,47,61,67,46,60,61,62,35,46,38,34,36,35,38,37,37,26,36,25,26,31,29,45,35,40,59,39,59,53,61,66,55,66,63,47,58,56,61,51,62,54,79,74,55,77,75,70,79,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Accidentes del tránsito,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Lesiones autoinfligidas intencionalmente (X60-X84),9,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Otras causas externas,2731,68,65,88,71,46,61,67,46,60,61,62,35,46,37,34,36,35,38,37,37,26,36,25,26,31,29,44,35,40,59,39,57,53,61,65,54,66,63,45,57,56,61,51,62,54,78,73,55,77,75,69,79,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),333,0,0,4,13,10,11,6,8,12,6,7,5,6,2,9,6,6,8,5,7,4,3,7,4,8,6,8,3,7,3,7,6,7,2,8,6,3,4,7,2,13,7,6,9,5,4,13,5,7,8,9,11,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Ideación Suicida (R458),5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),43,0,0,0,2,2,0,1,1,0,0,1,0,3,0,1,0,0,0,0,2,0,0,1,1,2,0,2,0,0,1,1,1,1,0,1,2,1,1,2,1,2,1,1,2,0,0,1,0,1,1,2,1,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Trastornos del Humor (Afectivos) (F30-F39),13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,1,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",239,0,0,3,9,7,10,4,7,10,4,6,4,3,2,7,6,6,8,5,5,4,3,4,2,6,6,5,2,3,2,3,5,5,2,7,4,2,2,4,0,6,5,5,7,4,2,9,3,5,5,4,7,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
Otros trastornos mentales no contenidos en las categorías anteriores,33,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,1,3,1,0,0,1,2,3,1,0,1,3,2,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
DIARREA AGUDA (A00-A09),171,6,3,3,6,3,2,3,4,5,1,0,2,7,6,0,0,6,2,3,3,1,0,0,0,2,0,1,2,3,2,2,4,0,2,3,3,0,2,3,0,1,2,3,0,0,5,4,8,11,11,18,13,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
TOTAL DEMÁS CAUSAS,12919,353,313,277,339,291,306,260,302,286,252,238,242,214,196,185,191,205,207,191,175,145,162,154,148,165,213,207,199,228,198,216,197,229,276,277,260,223,296,300,283,257,302,324,272,289,291,328,300,281,277,304,295,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Los Castaños
