Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,19973,325,111,329,319,378,343,372,387,451,479,412,367,367,373,353,371,316,318,361,346,406,410,441,384,334,317,278,331,346,298,346,332,303,399,372,383,381,376,416,408,436,493,409,546,497,518,506,425,446,413,450,495,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,19624,427,385,371,318,375,326,355,364,431,457,371,350,354,354,329,355,303,310,331,332,373,375,409,353,317,306,266,322,337,293,325,318,296,390,364,365,369,408,390,391,413,451,476,508,452,485,472,383,429,398,483,509,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
TOTAL CAUSAS SISTEMA RESPIRATORIO,2853,55,46,41,27,25,36,33,38,49,69,58,44,51,42,37,27,25,40,56,33,41,44,58,65,36,40,20,36,48,51,50,50,38,54,59,64,69,64,69,73,87,93,77,92,87,98,84,57,61,69,77,110,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
IRA Alta (J00-J06),2209,30,32,30,23,21,23,25,21,41,49,48,34,43,30,24,17,17,29,31,25,29,31,47,46,32,30,11,27,39,43,35,45,34,44,52,55,56,50,51,51,67,80,64,77,65,84,63,43,54,52,65,94,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
Influenza (J09-J11),7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
Neumonía (J12-J18),75,1,3,3,0,2,1,0,1,0,0,2,1,1,2,4,1,1,1,3,1,2,2,5,3,0,4,0,1,1,1,1,1,0,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,2,1,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
Bronquitis/bronquiolitis aguda (J20-J21),250,6,7,2,3,0,6,1,2,2,11,6,5,1,3,1,2,1,4,1,3,4,3,4,14,1,4,2,6,5,4,6,3,3,3,5,6,5,7,11,10,13,4,8,5,9,5,5,4,3,10,3,8,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
Crisis obstructiva bronquial (J40-J46),146,6,4,3,1,1,1,3,4,2,3,1,1,0,4,3,4,3,6,3,1,3,3,1,0,2,2,5,2,1,3,4,1,1,2,1,1,4,4,3,3,4,5,2,4,5,5,7,4,1,2,4,3,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",166,8,0,3,0,1,5,4,10,4,6,1,3,6,3,5,3,3,0,18,3,3,2,1,2,1,0,2,0,2,0,4,0,0,3,0,1,3,2,3,6,2,3,2,5,6,3,8,5,2,2,3,4,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
COVID 19 Sospechoso (U072),2255,24,31,30,12,24,12,7,7,20,37,57,74,62,55,64,55,73,34,54,78,95,105,107,52,76,48,56,55,45,34,39,38,47,39,29,24,16,28,39,30,43,58,52,75,67,71,16,6,19,9,8,19,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
COVID 19 Confirmado (U071),345,1,0,1,1,0,0,1,5,1,3,1,6,2,7,4,6,1,14,12,10,4,8,6,7,4,2,1,2,4,2,0,0,0,3,0,11,0,1,0,0,1,1,5,0,1,1,46,36,20,21,39,43,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
TOTAL CAUSAS SISTEMA CIRCULATORIO,367,8,5,6,3,7,6,6,3,6,6,8,7,8,7,4,10,11,7,7,10,8,11,8,11,9,14,3,8,5,6,5,5,12,5,6,6,6,12,7,7,5,4,7,4,1,10,7,7,12,5,8,8,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
Infarto agudo miocardio,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Rafael
