Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,19093,0,0,0,36,0,0,310,403,436,491,718,566,447,556,516,524,414,319,533,478,306,596,521,534,376,251,416,330,392,375,382,320,315,355,304,339,243,414,371,321,333,247,488,446,559,415,466,341,331,399,292,568,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,21822,370,425,418,429,374,366,344,403,436,491,718,566,484,556,514,524,414,385,533,478,377,596,520,527,376,326,416,365,390,372,380,318,364,356,334,346,238,412,370,313,372,247,474,441,554,443,458,335,338,389,300,547,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
TOTAL CAUSAS SISTEMA RESPIRATORIO,2071,18,27,25,23,14,16,14,27,45,48,37,31,34,20,35,31,26,20,28,25,24,29,47,42,30,38,39,41,33,22,40,50,35,42,21,30,21,42,57,38,79,51,86,58,85,65,61,53,55,54,55,104,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
IRA Alta (J00-J06),1432,10,21,19,18,10,6,8,19,32,42,24,23,15,11,27,17,20,12,22,15,15,21,29,29,21,23,28,16,22,19,23,31,27,36,19,18,14,22,49,24,59,17,70,45,56,45,45,29,40,47,43,79,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Influenza (J09-J11),26,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Neumonía (J12-J18),69,1,0,2,0,1,0,1,1,1,0,3,0,0,1,1,0,0,0,1,4,4,2,5,2,1,3,2,1,2,1,1,1,0,0,0,0,2,4,0,3,3,0,2,1,2,0,2,0,3,1,1,3,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Bronquitis/bronquiolitis aguda (J20-J21),206,2,2,2,1,2,4,1,6,8,3,1,4,3,2,3,4,0,3,1,1,0,1,4,5,5,5,2,4,5,1,7,4,3,2,0,0,0,0,5,7,8,15,6,2,9,8,9,12,6,4,5,9,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Crisis obstructiva bronquial (J40-J46),165,1,2,0,2,1,5,2,1,4,1,6,3,7,1,2,4,4,1,3,5,3,4,4,4,1,5,7,1,2,1,0,3,3,3,1,3,3,7,0,3,3,5,7,6,7,8,3,3,5,2,3,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",173,4,2,2,2,0,1,0,0,0,2,3,1,9,2,2,6,1,4,1,0,2,1,5,2,1,2,0,19,2,0,9,11,2,1,1,5,2,3,3,1,6,14,1,4,11,4,2,9,1,0,3,4,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
COVID 19 Sospechoso (U072),8455,126,122,154,168,109,97,100,128,116,159,418,318,245,343,282,307,179,191,254,270,193,409,293,290,157,144,174,145,143,165,138,115,127,110,97,108,54,122,80,94,79,58,113,131,198,139,146,62,78,79,20,108,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
COVID 19 Confirmado (U071),302,0,67,1,2,5,0,3,4,1,3,7,8,13,12,16,7,9,7,36,14,6,9,12,11,12,3,6,8,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,0,1,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
TOTAL CAUSAS SISTEMA CIRCULATORIO,454,5,6,5,7,5,4,9,22,11,5,8,7,11,6,6,8,11,7,9,7,3,4,7,9,5,3,7,6,19,8,8,7,17,12,7,5,9,21,6,6,12,7,11,14,9,16,12,7,10,10,7,11,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Infarto agudo miocardio,28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Accidente vascular encefálico,23,0,0,0,0,0,1,0,0,2,0,2,0,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,2,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Crisis hipertensiva,136,1,3,2,2,2,1,3,5,5,2,2,1,3,1,1,2,5,4,2,3,1,2,5,3,0,0,3,2,7,2,3,2,5,4,3,0,1,4,2,4,4,0,2,3,4,7,1,1,2,5,0,4,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Arritmia grave,31,0,0,1,1,1,0,1,0,0,0,2,2,1,0,2,2,0,0,1,0,0,1,0,0,0,1,0,0,2,0,1,1,1,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Otras causas circulatorias,236,4,3,2,4,2,2,4,17,4,3,1,4,5,4,3,3,4,0,4,2,1,1,2,6,5,2,4,3,7,5,3,4,11,7,4,5,5,2,4,1,7,7,7,8,5,9,9,5,7,5,6,4,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1914,50,29,63,37,44,46,38,27,55,54,34,49,27,25,34,30,34,18,35,35,41,27,34,34,24,25,46,32,37,29,49,23,25,33,32,30,41,46,32,19,36,23,57,47,57,34,45,41,31,37,30,53,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Accidentes del tránsito,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Lesiones autoinfligidas intencionalmente (X60-X84),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Otras causas externas,1907,50,29,58,37,44,46,38,27,55,54,34,49,27,25,34,30,34,18,35,35,41,27,34,34,24,25,46,32,37,29,49,23,25,33,32,30,41,46,32,19,36,23,57,47,57,34,44,40,31,37,30,53,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),272,0,3,5,7,3,3,4,3,7,7,5,8,4,3,5,7,1,30,4,2,3,10,3,1,4,3,14,3,4,3,6,5,5,7,7,7,5,6,12,2,6,2,5,3,4,3,5,4,8,2,6,3,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Ideación Suicida (R458),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),11,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Trastornos del Humor (Afectivos) (F30-F39),31,0,0,1,1,0,0,1,0,0,3,1,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,5,2,0,0,2,2,1,0,1,1,1,0,0,0,0,1,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",182,0,0,1,4,3,3,3,2,6,3,3,6,4,2,3,5,1,1,3,2,1,6,2,1,4,2,14,3,3,2,4,5,5,5,2,5,4,5,10,0,5,2,4,2,3,3,5,4,7,1,5,3,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
Otros trastornos mentales no contenidos en las categorías anteriores,47,0,3,0,2,0,0,0,1,1,1,1,0,0,1,1,0,0,29,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
DIARREA AGUDA (A00-A09),344,7,4,6,2,1,5,4,6,9,7,6,1,2,9,3,2,1,2,4,2,2,5,3,6,1,1,3,2,2,5,2,7,7,6,3,33,27,2,15,13,9,8,8,12,3,4,9,10,13,8,17,15,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
TOTAL DEMÁS CAUSAS,8010,164,167,159,183,193,195,172,186,192,208,203,144,148,138,133,132,153,110,163,123,105,103,121,134,143,109,127,128,148,136,137,109,148,146,167,133,81,173,168,141,151,98,193,174,197,179,179,157,143,198,165,253,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU San Ramón
