Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,17760,386,356,406,325,356,311,349,350,377,398,409,386,327,306,286,309,325,309,315,318,347,321,355,273,279,324,241,260,273,291,366,293,277,283,290,271,284,381,374,360,418,397,428,534,428,374,363,356,321,350,335,409,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,16754,365,342,383,315,341,298,333,333,350,384,386,355,307,285,240,252,311,300,308,307,309,289,328,255,272,313,240,249,266,277,353,270,270,263,281,264,270,363,362,334,396,378,405,479,396,330,330,304,319,350,365,379,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
TOTAL CAUSAS SISTEMA RESPIRATORIO,1989,33,28,29,20,23,10,16,32,42,62,56,32,17,23,13,9,21,23,24,26,39,30,33,20,22,22,25,18,17,20,43,35,27,37,59,53,37,55,57,51,76,63,71,87,57,60,59,55,52,47,53,70,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
IRA Alta (J00-J06),1636,30,22,27,18,20,7,11,28,35,51,49,28,13,14,7,6,19,19,17,19,34,23,22,14,19,15,25,15,13,16,38,34,23,28,46,49,30,40,49,48,62,49,60,68,48,53,47,42,42,40,47,57,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
Neumonía (J12-J18),25,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,3,2,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
Bronquitis/bronquiolitis aguda (J20-J21),104,1,0,1,0,0,0,1,0,3,1,0,2,0,1,1,0,0,0,0,2,1,3,1,1,1,1,0,1,0,2,3,1,2,6,2,1,1,12,3,0,5,4,2,8,5,2,4,2,6,4,4,3,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
Crisis obstructiva bronquial (J40-J46),82,0,3,0,0,2,1,4,1,1,3,3,1,1,2,0,1,0,3,4,4,0,3,3,0,0,3,0,1,2,1,1,0,0,1,3,1,3,1,2,0,3,2,2,2,2,2,3,2,2,0,0,3,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",142,1,3,1,1,1,2,0,2,3,7,3,1,3,6,4,2,1,1,2,1,3,1,4,3,1,3,0,1,1,1,0,0,1,2,7,1,2,2,3,3,6,8,6,9,1,3,5,8,1,2,2,7,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
COVID 19 Sospechoso (U072),3032,69,51,69,25,42,19,50,47,36,53,85,80,91,65,80,82,58,81,72,92,84,95,103,79,78,72,47,44,51,38,41,45,44,32,34,29,45,51,45,56,59,72,64,75,100,59,40,23,30,47,44,59,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
COVID 19 Confirmado (U071),270,1,1,2,0,3,2,6,4,1,8,8,4,6,10,11,16,25,14,18,12,17,24,9,7,13,9,4,4,3,2,0,1,2,0,0,0,1,0,0,0,3,1,1,15,0,1,0,0,1,0,0,0,2021,Metropolitano Suroriente,SAPU,SAPU Santo Tomás
