Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,9438,165,204,151,164,135,142,158,173,189,198,204,123,146,136,138,120,136,172,165,182,170,114,170,170,226,194,165,151,174,197,188,186,193,207,184,158,171,222,196,182,190,225,216,222,219,228,227,247,232,209,196,208,2021,Valdivia,SAPU,SAPU Angachilla
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,8721,142,182,143,149,130,131,146,163,171,182,193,114,138,129,124,113,125,161,153,170,158,105,150,153,200,181,155,143,155,173,158,170,181,192,167,144,157,190,185,170,180,216,209,200,211,212,211,231,222,195,185,203,2021,Valdivia,SAPU,SAPU Angachilla
TOTAL CAUSAS SISTEMA RESPIRATORIO,1021,9,6,4,5,3,1,3,9,6,7,8,7,6,11,4,7,5,8,12,34,34,18,23,29,51,36,19,15,21,35,20,25,15,13,13,11,23,20,19,33,30,35,34,29,34,35,39,37,33,33,21,33,2021,Valdivia,SAPU,SAPU Angachilla
IRA Alta (J00-J06),723,4,3,3,2,1,0,3,8,5,7,6,4,4,8,4,3,2,4,8,31,25,14,18,24,41,27,13,12,19,21,14,18,9,7,8,8,15,11,12,23,22,29,25,23,23,24,23,26,23,27,12,17,2021,Valdivia,SAPU,SAPU Angachilla
Influenza (J09-J11),6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,Valdivia,SAPU,SAPU Angachilla
Neumonía (J12-J18),20,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,3,0,0,1,2021,Valdivia,SAPU,SAPU Angachilla
Bronquitis/bronquiolitis aguda (J20-J21),114,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,2,2,0,4,4,2,2,1,8,4,3,5,2,2,0,0,2,3,4,4,4,5,2,8,2,9,7,3,2,1,6,2021,Valdivia,SAPU,SAPU Angachilla
Crisis obstructiva bronquial (J40-J46),70,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,2,3,2,1,4,1,2,4,6,3,2,1,0,1,1,2,0,2,1,2,0,2,0,0,1,0,2,2,2,2,2,1,2,1,1,4,2021,Valdivia,SAPU,SAPU Angachilla
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",88,1,2,0,1,2,1,0,1,0,0,0,2,0,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,5,1,1,1,1,2,1,7,5,3,3,3,1,2,2,1,5,5,3,2,3,7,5,2021,Valdivia,SAPU,SAPU Angachilla
COVID 19 Sospechoso (U072),1974,45,65,46,51,44,38,38,35,60,82,87,45,51,44,34,29,34,37,31,40,23,22,41,26,25,43,30,31,28,21,31,27,30,46,33,14,21,31,33,11,25,44,49,38,30,26,45,43,43,37,51,40,2021,Valdivia,SAPU,SAPU Angachilla
COVID 19 Confirmado (U071),37,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,5,7,5,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2021,Valdivia,SAPU,SAPU Angachilla
TOTAL CAUSAS SISTEMA CIRCULATORIO,139,2,2,5,1,0,3,4,5,1,2,2,0,2,1,0,1,2,5,4,3,5,2,1,3,4,7,2,1,1,2,0,4,8,2,4,4,4,0,5,6,4,4,1,5,4,3,2,3,0,0,0,3,2021,Valdivia,SAPU,SAPU Angachilla
Infarto agudo miocardio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valdivia,SAPU,SAPU Angachilla
Accidente vascular encefálico,5,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valdivia,SAPU,SAPU Angachilla
