Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,7518,515,569,626,705,662,713,722,665,571,529,434,411,259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7542,515,569,626,705,662,713,722,665,568,526,424,407,254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
TOTAL CAUSAS SISTEMA RESPIRATORIO,521,25,52,43,64,46,52,49,50,41,34,18,25,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
IRA Alta (J00-J06),450,22,49,37,52,41,40,46,42,37,29,12,24,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
Neumonía (J12-J18),12,0,0,2,5,1,2,0,0,0,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
Bronquitis/bronquiolitis aguda (J20-J21),16,1,0,1,3,2,3,1,1,2,2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
Crisis obstructiva bronquial (J40-J46),21,0,1,0,4,1,4,0,3,2,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",22,2,2,3,0,1,3,2,4,0,1,4,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
COVID 19 Sospechoso (U072),904,54,48,63,69,68,73,56,91,91,93,82,70,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,2021,Valparaíso San Antonio,SAPU,SAPU El Quisco
