Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,14569,300,263,253,263,272,245,240,308,294,285,313,308,316,305,249,257,239,238,242,263,276,298,326,309,264,301,274,253,231,286,252,241,247,272,237,261,211,297,298,285,313,310,296,340,362,376,311,295,317,269,243,265,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,13863,273,257,242,252,268,234,236,291,262,250,256,239,268,263,233,243,233,234,236,255,262,282,313,297,256,291,267,250,227,282,248,235,243,272,232,255,208,293,291,283,306,294,292,323,339,340,304,284,309,265,238,257,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
TOTAL CAUSAS SISTEMA RESPIRATORIO,867,13,32,22,26,17,13,18,20,24,16,11,17,16,10,10,5,22,8,7,7,3,10,13,13,7,16,17,18,12,22,12,9,15,10,17,21,14,23,6,27,13,22,30,30,36,20,13,21,19,18,15,31,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
IRA Alta (J00-J06),625,10,22,17,13,11,12,12,11,13,12,10,14,11,7,4,3,18,5,4,2,1,8,9,8,5,11,13,15,7,15,7,8,8,7,13,17,12,17,5,21,10,16,22,24,27,19,9,20,14,18,11,17,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Influenza (J09-J11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Neumonía (J12-J18),14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Bronquitis/bronquiolitis aguda (J20-J21),49,1,3,0,3,1,0,1,1,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,2,3,1,1,2,0,1,0,0,1,1,0,1,0,0,1,0,2,2,2,3,1,2,1,0,0,1,3,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Crisis obstructiva bronquial (J40-J46),24,0,2,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,4,0,1,0,1,0,0,3,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",155,2,5,5,7,5,1,5,8,10,1,1,2,3,2,3,2,3,3,2,5,2,2,3,3,0,2,3,2,3,5,4,1,7,2,3,3,1,3,1,1,3,4,5,3,1,0,1,0,3,0,3,6,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
COVID 19 Sospechoso (U072),2830,37,22,37,27,27,20,23,27,34,59,57,54,78,71,49,60,55,47,52,50,82,78,106,84,84,75,75,48,47,69,63,51,54,59,43,42,34,54,49,47,69,45,56,74,92,82,57,45,75,48,29,28,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
COVID 19 Confirmado (U071),369,12,10,5,1,3,5,3,1,8,4,13,18,13,33,25,27,15,5,6,16,12,10,12,18,9,8,6,4,3,2,0,0,1,1,0,18,0,0,0,0,1,16,2,5,2,7,2,0,3,0,0,4,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
TOTAL CAUSAS SISTEMA CIRCULATORIO,276,4,5,5,9,4,1,5,5,7,1,5,2,2,4,13,1,1,4,5,4,6,4,4,3,4,9,8,6,2,7,3,4,6,9,13,11,5,5,4,7,9,10,2,4,6,5,4,8,7,11,0,3,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Infarto agudo miocardio,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Accidente vascular encefálico,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Crisis hipertensiva,161,1,3,3,6,1,1,4,3,3,1,3,0,2,3,9,1,1,3,3,3,0,3,2,2,2,3,7,4,2,6,3,3,2,7,8,10,1,5,2,4,6,3,1,3,5,2,3,2,2,4,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Arritmia grave,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Otras causas circulatorias,102,3,1,1,3,3,0,1,1,4,0,2,2,0,0,3,0,0,1,2,1,6,1,1,1,2,5,1,2,0,1,0,1,4,2,4,1,4,0,2,3,3,7,1,1,0,3,1,4,5,5,0,3,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1361,36,30,26,30,44,33,33,40,32,20,28,19,21,16,20,27,25,39,33,17,27,31,29,22,20,26,26,29,35,26,26,17,31,23,16,22,16,29,27,4,29,27,44,30,16,33,27,12,12,18,29,33,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Accidentes del tránsito,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Lesiones autoinfligidas intencionalmente (X60-X84),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Otras causas externas,1352,36,30,26,30,43,33,33,40,30,20,28,19,21,16,20,27,25,39,33,17,27,31,29,22,20,26,26,29,35,26,26,17,26,23,16,22,16,29,27,4,29,27,44,30,15,33,27,12,12,18,29,33,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,2,0,0,0,0,1,0,3,1,1,3,1,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Ideación Suicida (R458),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Trastornos del Humor (Afectivos) (F30-F39),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,3,1,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
Otros trastornos mentales no contenidos en las categorías anteriores,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
DIARREA AGUDA (A00-A09),457,8,2,14,8,4,17,10,6,13,1,4,6,2,14,7,1,4,8,3,5,1,2,8,10,10,5,5,6,10,5,5,11,8,2,7,10,9,11,12,2,8,18,15,18,9,14,16,10,16,18,20,19,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
TOTAL DEMÁS CAUSAS,7682,163,156,133,151,169,145,144,192,144,149,138,123,136,115,109,122,111,123,130,156,131,147,141,145,122,152,130,139,118,151,139,143,128,166,135,131,126,171,193,194,177,156,143,162,177,179,182,187,176,149,144,139,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Marcelo Mena
