Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,29007,399,408,416,399,410,468,399,448,503,569,546,495,448,495,513,467,401,471,496,545,554,536,573,591,566,588,618,581,597,541,500,556,559,569,597,583,516,730,653,630,675,678,690,740,744,806,636,584,688,606,579,647,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,27825,399,408,416,399,408,454,391,433,457,453,477,426,391,445,500,455,392,444,478,527,533,522,550,569,548,579,596,578,588,525,492,548,548,565,591,574,507,711,650,623,649,657,653,693,713,743,614,544,668,559,554,628,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
TOTAL CAUSAS SISTEMA RESPIRATORIO,2704,26,22,25,33,31,24,25,24,38,53,37,19,19,27,28,38,23,17,20,32,31,31,42,50,40,55,33,44,48,35,29,43,52,52,53,70,44,99,74,78,89,78,103,94,118,138,108,79,103,65,85,80,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
IRA Alta (J00-J06),1855,17,13,10,22,18,15,18,12,28,35,26,8,11,13,15,21,10,6,12,13,21,14,26,33,27,20,21,31,32,23,21,31,33,33,38,53,31,70,52,56,66,64,81,74,92,111,79,58,81,46,60,54,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Influenza (J09-J11),5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Neumonía (J12-J18),71,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,0,2,1,1,1,1,2,0,2,2,1,2,1,1,2,3,5,3,1,1,2,4,3,2,1,2,3,1,3,5,0,0,2,0,3,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Bronquitis/bronquiolitis aguda (J20-J21),149,2,0,1,3,2,0,0,1,0,5,4,2,0,2,2,4,2,3,0,2,2,1,5,1,1,0,1,0,2,2,1,1,1,2,2,4,1,5,0,3,7,2,4,10,13,8,8,4,9,3,3,8,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Crisis obstructiva bronquial (J40-J46),24,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,3,0,0,0,1,0,1,1,0,0,1,0,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",600,6,8,14,8,9,9,6,7,9,10,7,9,8,12,11,10,9,8,6,14,7,15,10,14,11,32,8,10,12,9,6,8,15,11,9,12,10,22,18,15,11,11,16,7,11,16,15,16,13,14,21,15,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
COVID 19 Sospechoso (U072),5445,89,105,84,72,68,83,61,85,79,112,160,166,126,199,203,120,120,134,142,121,144,161,162,170,142,177,140,121,115,91,102,108,78,73,73,51,45,88,60,54,44,70,60,102,132,137,75,98,79,69,39,56,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
COVID 19 Confirmado (U071),454,11,8,4,4,4,9,4,8,7,10,10,13,44,21,21,19,10,11,9,24,17,9,11,17,37,9,16,5,5,1,3,5,2,0,0,0,1,0,2,11,11,3,20,3,4,1,3,2,1,4,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
TOTAL CAUSAS SISTEMA CIRCULATORIO,849,7,6,9,10,11,10,5,16,24,14,13,12,18,12,6,19,14,4,15,17,14,13,22,25,16,24,17,24,25,25,16,19,21,17,25,23,21,22,14,11,15,18,23,28,12,16,10,21,20,18,15,17,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Infarto agudo miocardio,34,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,2,0,2,0,2,1,0,2,1,0,0,1,0,0,0,0,1,1,2,1,0,2,2,0,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Accidente vascular encefálico,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,0,1,1,0,3,0,2,0,1,0,2,2,0,1,1,2,2,2,2,0,3,1,0,1,2,1,0,1,1,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Crisis hipertensiva,492,3,1,4,7,6,6,2,13,6,5,10,9,14,4,4,9,8,3,6,9,8,9,7,19,11,16,11,18,16,16,12,15,13,9,18,15,14,5,8,2,10,13,14,18,5,10,1,9,13,11,7,10,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Arritmia grave,11,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Otras causas circulatorias,272,3,4,4,2,3,2,2,3,16,9,3,2,4,7,2,10,4,1,7,7,3,2,13,6,3,6,5,3,7,7,2,3,6,5,5,6,5,16,4,6,3,3,9,7,5,5,4,8,6,3,5,6,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,3084,51,56,55,80,47,56,54,63,43,38,45,35,37,48,45,49,42,41,41,46,50,36,38,38,61,49,68,68,75,62,54,60,62,63,72,91,72,81,81,74,84,84,66,80,71,57,65,59,80,64,59,88,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
Accidentes del tránsito,141,0,0,0,0,2,0,10,0,0,0,0,0,0,0,5,10,0,0,11,2,0,17,7,11,27,8,0,6,0,8,1,0,10,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2021,Valparaíso San Antonio,SAPU,SAPU Quebrada Verde
