Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,35759,489,541,518,513,568,564,513,585,630,630,621,569,463,512,466,470,481,485,529,558,563,610,586,633,532,629,662,616,636,664,652,718,602,722,721,720,665,808,805,805,845,837,918,993,1032,1092,1033,1070,1037,980,922,946,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,33721,479,528,510,509,541,542,484,569,602,597,573,545,434,486,437,452,468,480,512,545,547,595,559,606,505,597,631,597,616,651,633,693,572,700,686,700,641,782,775,761,802,804,878,884,908,946,902,976,920,867,847,847,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
TOTAL CAUSAS SISTEMA RESPIRATORIO,4391,28,35,27,26,30,34,23,47,51,55,62,57,36,32,27,33,28,26,31,24,25,35,27,60,90,112,108,87,95,109,99,101,76,81,90,97,91,118,112,99,109,108,154,168,218,200,177,196,195,155,137,150,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
IRA Alta (J00-J06),3348,14,20,23,12,18,23,16,36,41,39,45,31,16,20,16,15,19,15,18,10,12,27,17,36,56,94,87,66,70,89,78,74,57,70,66,81,74,100,93,63,84,84,116,141,175,176,151,162,154,124,106,118,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
Influenza (J09-J11),84,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,2,0,1,3,14,1,9,2,5,4,4,2,6,13,2,3,1,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
Neumonía (J12-J18),134,2,3,0,1,3,0,1,1,3,2,6,13,4,1,4,7,3,1,1,0,0,2,0,5,2,1,2,1,0,1,2,3,2,2,2,1,0,3,2,1,2,2,7,3,5,1,5,4,3,3,6,5,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
Bronquitis/bronquiolitis aguda (J20-J21),331,2,2,1,3,4,2,5,1,3,2,3,2,0,3,3,5,1,3,3,2,2,1,2,6,14,8,8,11,10,7,8,12,5,4,10,3,6,3,5,12,10,5,12,6,17,10,13,11,14,21,12,13,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
Crisis obstructiva bronquial (J40-J46),99,2,1,1,3,2,0,0,0,0,2,0,2,1,1,2,1,1,0,4,2,1,2,2,0,4,0,1,0,3,3,3,1,3,2,0,1,3,4,3,2,5,1,4,2,4,3,2,2,3,3,4,3,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",395,8,9,2,6,3,9,1,9,4,8,8,9,13,7,2,5,4,7,5,10,10,3,6,12,14,9,9,7,12,9,8,11,6,3,12,9,8,7,6,7,7,7,13,11,13,6,4,11,8,2,6,10,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
COVID 19 Sospechoso (U072),3172,110,109,107,89,83,81,84,89,90,141,154,165,104,144,103,89,89,75,86,104,86,124,132,131,66,31,47,50,46,21,16,20,32,29,18,9,11,15,9,9,12,15,8,10,16,8,12,26,6,18,19,24,2021,Valparaíso San Antonio,SAR,SAR Plan de Valparaíso
