Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,53650,761,665,776,973,749,764,730,1028,1145,1193,1228,1035,879,934,855,834,797,863,856,871,1095,1143,1036,1104,996,1057,1026,920,1017,995,968,997,1000,1019,425,1050,951,1216,1213,1234,1172,1276,1347,1228,1424,1347,1372,1375,1195,1162,1169,1185,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,44925,761,665,777,844,658,764,730,918,942,1002,1074,912,740,821,774,778,735,793,792,810,1104,1028,926,994,863,909,819,737,725,867,799,872,896,872,369,924,818,959,989,955,884,860,1130,842,1055,1051,980,938,869,799,891,911,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
TOTAL CAUSAS SISTEMA RESPIRATORIO,4963,76,49,30,57,45,53,37,54,55,58,95,61,56,91,101,122,92,81,57,66,97,89,100,123,123,106,105,83,76,67,88,116,99,85,36,104,96,115,112,124,113,139,139,136,193,188,143,149,147,122,100,114,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
IRA Alta (J00-J06),3512,56,33,17,30,26,36,22,24,40,38,78,42,32,76,89,109,71,64,37,45,73,63,76,93,87,73,80,57,55,47,50,61,74,64,25,72,61,69,82,93,85,89,105,95,134,133,103,101,105,93,82,67,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Influenza (J09-J11),28,0,0,1,6,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,0,1,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Neumonía (J12-J18),252,6,4,4,7,6,4,5,4,3,3,6,4,8,6,5,1,8,5,8,6,3,6,8,6,2,7,9,6,4,0,6,5,5,1,0,0,5,4,3,4,3,5,1,7,4,7,6,6,9,5,1,11,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Bronquitis/bronquiolitis aguda (J20-J21),555,4,3,4,5,2,4,1,6,3,2,4,6,7,2,2,3,2,4,0,2,6,4,5,10,11,10,7,9,9,6,15,18,9,15,6,23,21,27,12,17,14,27,20,21,34,30,17,25,25,9,8,19,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Crisis obstructiva bronquial (J40-J46),314,3,7,1,4,6,4,4,8,4,5,3,5,3,1,3,5,1,2,6,10,6,7,6,7,16,9,7,5,5,10,9,9,8,1,2,3,2,4,4,2,6,15,8,6,12,13,10,9,4,11,6,7,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",302,7,2,3,5,5,3,5,12,5,10,4,4,6,3,2,4,10,5,6,3,9,9,5,7,7,7,2,5,3,4,8,20,1,4,2,6,6,11,11,7,4,3,5,6,8,5,7,8,4,2,3,9,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
COVID 19 Sospechoso (U072),3209,56,28,29,41,40,55,42,58,80,83,153,119,119,132,83,58,55,51,57,62,108,138,135,163,125,125,58,40,30,46,35,40,29,38,17,33,25,20,15,20,33,32,42,37,36,75,64,68,43,49,57,32,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
COVID 19 Confirmado (U071),143,0,0,0,0,0,2,0,5,1,0,8,12,6,16,7,8,5,5,2,6,8,5,5,5,8,4,1,5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,1,0,2,0,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
TOTAL CAUSAS SISTEMA CIRCULATORIO,1754,23,31,25,43,39,38,38,30,31,38,39,25,37,28,44,37,31,31,37,34,36,34,30,34,26,33,27,21,37,37,36,36,37,41,14,41,32,39,43,45,45,21,38,41,34,29,19,33,38,29,32,37,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Infarto agudo miocardio,154,0,1,1,3,2,2,4,0,1,3,2,3,1,3,7,4,2,2,0,5,2,5,2,2,1,5,2,1,4,6,2,4,0,4,0,3,5,3,4,3,6,1,4,4,3,6,0,2,2,3,9,10,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Accidente vascular encefálico,301,1,4,8,8,8,4,5,8,5,5,4,8,6,4,7,10,3,5,4,4,5,5,6,4,3,3,8,5,8,5,6,6,7,6,5,6,4,10,5,5,8,7,8,7,6,7,7,5,6,6,3,8,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Crisis hipertensiva,304,5,5,3,7,13,10,11,3,3,6,9,3,3,2,11,3,3,6,10,6,5,7,7,8,10,6,5,4,9,6,3,6,9,12,3,7,3,6,6,11,7,5,10,4,3,2,1,2,6,0,7,2,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Arritmia grave,228,1,5,5,3,2,6,3,6,3,1,2,3,8,7,6,8,7,3,9,7,10,5,4,5,1,2,4,3,3,3,4,6,3,4,1,3,6,7,7,2,4,1,6,5,4,2,2,8,3,4,4,7,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Otras causas circulatorias,767,16,16,8,22,14,16,15,13,19,23,22,8,19,12,13,12,16,15,14,12,14,12,11,15,11,17,8,8,13,17,21,14,18,15,5,22,14,13,21,24,20,7,10,21,18,12,9,16,21,16,9,10,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,304,11,4,4,1,22,21,20,17,9,10,5,2,9,17,19,1,7,3,0,0,0,0,2,1,0,0,0,4,0,0,1,1,2,0,1,9,6,20,6,0,2,0,2,3,2,4,5,1,6,4,16,24,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
Accidentes del tránsito,175,11,4,4,1,11,0,4,1,7,7,5,2,7,16,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,19,4,0,0,0,0,0,0,0,0,0,0,2,16,16,2021,Viña Del Mar Quillota,Hospital,Hospital de Quilpué
