Urgencia,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,829,-,-,-,-,-,-,-,-,94,193,169,196,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,43,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,989,-,-,-,-,-,-,-,-,184,167,174,210,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,65,20,-,-,-,-,-,-,-,-,-,-,-,-,43,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
TOTAL CAUSAS SISTEMA RESPIRATORIO,101,-,-,-,-,-,-,-,-,14,21,13,22,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,10,2,-,-,-,-,-,-,-,-,-,-,-,-,7,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
IRA Alta (J00-J06),73,-,-,-,-,-,-,-,-,13,16,11,17,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,6,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Influenza (J09-J11),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Neumonía (J12-J18),1,-,-,-,-,-,-,-,-,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Bronquitis/bronquiolitis aguda (J20-J21),6,-,-,-,-,-,-,-,-,1,3,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Crisis obstructiva bronquial (J40-J46),5,-,-,-,-,-,-,-,-,0,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",16,-,-,-,-,-,-,-,-,0,1,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,10,2,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
COVID 19 Sospechoso (U072),112,-,-,-,-,-,-,-,-,11,12,12,44,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,2,0,-,-,-,-,-,-,-,-,-,-,-,-,2,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
COVID 19 Confirmado (U071),1,-,-,-,-,-,-,-,-,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
TOTAL CAUSAS SISTEMA CIRCULATORIO,18,-,-,-,-,-,-,-,-,7,3,2,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Infarto agudo miocardio,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Accidente vascular encefálico,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Crisis hipertensiva,9,-,-,-,-,-,-,-,-,1,2,1,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Arritmia grave,1,-,-,-,-,-,-,-,-,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Otras causas circulatorias,8,-,-,-,-,-,-,-,-,6,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,112,-,-,-,-,-,-,-,-,28,24,12,24,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,11,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Accidentes del tránsito,6,-,-,-,-,-,-,-,-,6,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Lesiones autoinfligidas intencionalmente (X60-X84),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Otras causas externas,106,-,-,-,-,-,-,-,-,22,24,12,24,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,11,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),23,-,-,-,-,-,-,-,-,2,6,7,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Ideación Suicida (R458),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),1,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Trastornos del Humor (Afectivos) (F30-F39),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",20,-,-,-,-,-,-,-,-,2,6,6,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
Otros trastornos mentales no contenidos en las categorías anteriores,2,-,-,-,-,-,-,-,-,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
DIARREA AGUDA (A00-A09),17,-,-,-,-,-,-,-,-,1,1,3,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,7,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
TOTAL DEMÁS CAUSAS,605,-,-,-,-,-,-,-,-,120,100,125,110,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,52,16,-,-,-,-,-,-,-,-,-,-,-,-,15,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- CAUSAS SISTEMA RESPIRATORIO,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- COVID 19 SOSPECHOSO (U072),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- COVID 19 CONFIRMADO (U071),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- CAUSAS SISTEMA CIRCULATORIO,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- TRAUMATISMOS Y ENVENENAMIENTOS,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
- LAS DEMÁS CAUSAS,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
CIRUGÍAS DE URGENCIA,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,2021,Viña Del Mar Quillota,SAPU,SAPU  Dr. Johow (Zapallar)
