Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,4142,814,854,901,1058,515,-,-,2022,Araucanía Norte,SAR,SAR Alemania
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,3160,651,607,674,821,407,-,-,2022,Araucanía Norte,SAR,SAR Alemania
TOTAL CAUSAS SISTEMA RESPIRATORIO,1119,224,219,255,278,143,-,-,2022,Araucanía Norte,SAR,SAR Alemania
IRA Alta (J00-J06),1004,193,190,223,264,134,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Influenza (J09-J11),3,2,1,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Neumonía (J12-J18),11,2,3,4,1,1,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Bronquitis/bronquiolitis aguda (J20-J21),63,19,13,21,3,7,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Crisis obstructiva bronquial (J40-J46),15,4,3,2,5,1,-,-,2022,Araucanía Norte,SAR,SAR Alemania
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",23,4,9,5,5,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
COVID 19 Sospechoso (U072),661,57,47,167,247,143,-,-,2022,Araucanía Norte,SAR,SAR Alemania
COVID 19 Confirmado (U071),68,0,12,0,56,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
TOTAL CAUSAS SISTEMA CIRCULATORIO,22,4,4,7,6,1,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Infarto agudo miocardio,2,0,0,1,0,1,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Accidente vascular encefálico,1,0,0,1,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Crisis hipertensiva,9,1,2,3,3,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Arritmia grave,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Otras causas circulatorias,10,3,2,2,3,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,265,61,86,56,41,21,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Accidentes del tránsito,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Otras causas externas,265,61,86,56,41,21,-,-,2022,Araucanía Norte,SAR,SAR Alemania
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),44,6,14,15,4,5,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Ideación Suicida (R458),0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),1,1,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Trastornos del Humor (Afectivos) (F30-F39),0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",23,5,4,5,4,5,-,-,2022,Araucanía Norte,SAR,SAR Alemania
Otros trastornos mentales no contenidos en las categorías anteriores,20,0,10,10,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
DIARREA AGUDA (A00-A09),177,48,47,31,36,15,-,-,2022,Araucanía Norte,SAR,SAR Alemania
TOTAL DEMÁS CAUSAS,804,251,178,143,153,79,-,-,2022,Araucanía Norte,SAR,SAR Alemania
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,-,-,2022,Araucanía Norte,SAR,SAR Alemania
