Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
TOTAL CAUSAS SISTEMA RESPIRATORIO,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
IRA Alta (J00-J06),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Influenza (J09-J11),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Neumonía (J12-J18),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Bronquitis/bronquiolitis aguda (J20-J21),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Crisis obstructiva bronquial (J40-J46),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
TOTAL CAUSAS SISTEMA CIRCULATORIO,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Infarto agudo miocardio,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Accidente vascular encefálico,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Crisis hipertensiva,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Arritmia grave,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Otras causas circulatorias,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Accidentes del tránsito,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Lesiones autoinfligidas intencionalmente (X60-X84),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Otras causas externas,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Ideación Suicida (R458),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Trastornos del Humor (Afectivos) (F30-F39),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
Otros trastornos mentales no contenidos en las categorías anteriores,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
DIARREA AGUDA (A00-A09),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
TOTAL DEMÁS CAUSAS,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- CAUSAS SISTEMA RESPIRATORIO,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- COVID 19 SOSPECHOSO (U072),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- COVID 19 CONFIRMADO (U071),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- CAUSAS SISTEMA CIRCULATORIO,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- TRAUMATISMOS Y ENVENENAMIENTOS,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
- LAS DEMÁS CAUSAS,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
CIRUGÍAS DE URGENCIA,-,-,-,-,-,-,-,-,2022,Araucanía Sur,SAPU,SAPU Pucón
