Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,2175,251,273,326,380,363,347,235,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1849,232,253,296,282,299,296,191,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL CAUSAS SISTEMA RESPIRATORIO,339,23,55,64,45,70,54,28,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
IRA Alta (J00-J06),284,18,47,52,36,63,46,22,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Influenza (J09-J11),3,0,0,1,1,1,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Neumonía (J12-J18),8,0,0,3,2,1,1,1,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Bronquitis/bronquiolitis aguda (J20-J21),23,2,3,6,6,2,2,2,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Crisis obstructiva bronquial (J40-J46),17,0,5,2,0,3,5,2,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",4,3,0,0,0,0,0,1,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
COVID 19 Sospechoso (U072),18,1,2,5,1,2,5,2,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
COVID 19 Confirmado (U071),353,6,26,53,90,78,59,41,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL CAUSAS SISTEMA CIRCULATORIO,32,7,5,2,3,7,7,1,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Infarto agudo miocardio,0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Accidente vascular encefálico,2,0,0,1,0,0,1,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Crisis hipertensiva,13,5,3,0,2,1,1,1,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Arritmia grave,4,2,2,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Otras causas circulatorias,13,0,0,1,1,6,5,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,201,27,34,36,24,27,38,15,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Accidentes del tránsito,0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Lesiones autoinfligidas intencionalmente (X60-X84),1,0,0,0,0,1,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Otras causas externas,200,27,34,36,24,26,38,15,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),25,2,4,7,2,3,3,4,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),1,0,1,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Trastornos del Humor (Afectivos) (F30-F39),4,1,0,1,0,0,1,1,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",16,1,3,4,1,2,2,3,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
Otros trastornos mentales no contenidos en las categorías anteriores,4,0,0,2,1,1,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
DIARREA AGUDA (A00-A09),9,0,4,0,1,0,1,3,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
TOTAL DEMÁS CAUSAS,872,166,123,129,116,112,129,97,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,1,0,0,0,0,1,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- TRAUMATISMOS Y ENVENENAMIENTOS,1,0,0,0,0,1,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Atacama,Hospital,Hospital Dr. Florencio Vargas (Diego de Almagro)
