Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,3955,467,500,659,701,659,536,433,2022,Atacama,SUR,SUR Tierra Amarilla
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,3701,449,481,602,639,613,498,419,2022,Atacama,SUR,SUR Tierra Amarilla
TOTAL CAUSAS SISTEMA RESPIRATORIO,571,100,101,127,102,40,68,33,2022,Atacama,SUR,SUR Tierra Amarilla
IRA Alta (J00-J06),502,78,95,120,90,36,52,31,2022,Atacama,SUR,SUR Tierra Amarilla
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
Neumonía (J12-J18),5,1,0,2,0,0,2,0,2022,Atacama,SUR,SUR Tierra Amarilla
Bronquitis/bronquiolitis aguda (J20-J21),18,3,2,2,3,1,6,1,2022,Atacama,SUR,SUR Tierra Amarilla
Crisis obstructiva bronquial (J40-J46),12,5,0,1,1,0,5,0,2022,Atacama,SUR,SUR Tierra Amarilla
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",34,13,4,2,8,3,3,1,2022,Atacama,SUR,SUR Tierra Amarilla
COVID 19 Sospechoso (U072),408,8,52,66,193,30,55,4,2022,Atacama,SUR,SUR Tierra Amarilla
COVID 19 Confirmado (U071),886,7,24,97,99,342,135,182,2022,Atacama,SUR,SUR Tierra Amarilla
TOTAL CAUSAS SISTEMA CIRCULATORIO,85,6,11,19,12,10,18,9,2022,Atacama,SUR,SUR Tierra Amarilla
Infarto agudo miocardio,4,0,0,1,0,1,2,0,2022,Atacama,SUR,SUR Tierra Amarilla
Accidente vascular encefálico,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
Crisis hipertensiva,47,5,7,10,8,3,8,6,2022,Atacama,SUR,SUR Tierra Amarilla
Arritmia grave,12,0,1,3,2,3,2,1,2022,Atacama,SUR,SUR Tierra Amarilla
Otras causas circulatorias,22,1,3,5,2,3,6,2,2022,Atacama,SUR,SUR Tierra Amarilla
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,219,47,38,40,21,17,25,31,2022,Atacama,SUR,SUR Tierra Amarilla
Accidentes del tránsito,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
Otras causas externas,219,47,38,40,21,17,25,31,2022,Atacama,SUR,SUR Tierra Amarilla
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),24,3,5,1,5,2,4,4,2022,Atacama,SUR,SUR Tierra Amarilla
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
Trastornos del Humor (Afectivos) (F30-F39),1,0,1,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",21,3,3,1,4,2,4,4,2022,Atacama,SUR,SUR Tierra Amarilla
Otros trastornos mentales no contenidos en las categorías anteriores,2,0,1,0,1,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
DIARREA AGUDA (A00-A09),41,11,4,13,1,5,6,1,2022,Atacama,SUR,SUR Tierra Amarilla
TOTAL DEMÁS CAUSAS,1467,267,246,239,206,167,187,155,2022,Atacama,SUR,SUR Tierra Amarilla
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Atacama,SUR,SUR Tierra Amarilla
