Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,4968,497,560,750,880,1084,1063,134,2022,Bíobío,Hospital,Hospital de Nacimiento
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,4968,497,560,750,880,1084,1063,134,2022,Bíobío,Hospital,Hospital de Nacimiento
TOTAL CAUSAS SISTEMA RESPIRATORIO,179,35,38,26,16,18,43,3,2022,Bíobío,Hospital,Hospital de Nacimiento
IRA Alta (J00-J06),136,27,33,16,13,12,32,3,2022,Bíobío,Hospital,Hospital de Nacimiento
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Neumonía (J12-J18),4,1,0,1,0,0,2,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Bronquitis/bronquiolitis aguda (J20-J21),15,1,0,3,2,4,5,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Crisis obstructiva bronquial (J40-J46),13,3,3,3,1,2,1,0,2022,Bíobío,Hospital,Hospital de Nacimiento
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",11,3,2,3,0,0,3,0,2022,Bíobío,Hospital,Hospital de Nacimiento
COVID 19 Sospechoso (U072),2156,89,95,277,463,610,560,62,2022,Bíobío,Hospital,Hospital de Nacimiento
COVID 19 Confirmado (U071),93,0,2,5,12,30,44,0,2022,Bíobío,Hospital,Hospital de Nacimiento
TOTAL CAUSAS SISTEMA CIRCULATORIO,81,13,15,10,14,15,14,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Infarto agudo miocardio,1,0,0,0,0,1,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Accidente vascular encefálico,13,1,2,3,3,2,2,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Crisis hipertensiva,11,1,1,1,3,3,2,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Arritmia grave,9,2,3,1,2,0,1,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Otras causas circulatorias,47,9,9,5,6,9,9,0,2022,Bíobío,Hospital,Hospital de Nacimiento
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,3,2,0,0,0,0,1,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Accidentes del tránsito,0,0,0,0,0,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Lesiones autoinfligidas intencionalmente (X60-X84),3,2,0,0,0,0,1,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Otras causas externas,0,0,0,0,0,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),43,3,13,11,5,4,6,1,2022,Bíobío,Hospital,Hospital de Nacimiento
Ideación Suicida (R458),1,0,0,0,1,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),9,0,2,1,3,0,3,0,2022,Bíobío,Hospital,Hospital de Nacimiento
Trastornos del Humor (Afectivos) (F30-F39),4,0,1,1,0,2,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",22,3,8,7,0,1,2,1,2022,Bíobío,Hospital,Hospital de Nacimiento
Otros trastornos mentales no contenidos en las categorías anteriores,7,0,2,2,1,1,1,0,2022,Bíobío,Hospital,Hospital de Nacimiento
DIARREA AGUDA (A00-A09),68,13,14,15,9,10,7,0,2022,Bíobío,Hospital,Hospital de Nacimiento
TOTAL DEMÁS CAUSAS,2345,342,383,406,361,397,388,68,2022,Bíobío,Hospital,Hospital de Nacimiento
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,137,14,28,22,24,19,29,1,2022,Bíobío,Hospital,Hospital de Nacimiento
- CAUSAS SISTEMA RESPIRATORIO,13,2,3,3,1,1,3,0,2022,Bíobío,Hospital,Hospital de Nacimiento
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
- CAUSAS SISTEMA CIRCULATORIO,22,2,5,1,5,4,5,0,2022,Bíobío,Hospital,Hospital de Nacimiento
- TRAUMATISMOS Y ENVENENAMIENTOS,2,0,0,1,1,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),8,0,4,1,1,1,1,0,2022,Bíobío,Hospital,Hospital de Nacimiento
- LAS DEMÁS CAUSAS,92,10,16,16,16,13,20,1,2022,Bíobío,Hospital,Hospital de Nacimiento
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Bíobío,Hospital,Hospital de Nacimiento
