Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
TOTAL CAUSAS SISTEMA RESPIRATORIO,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
IRA Alta (J00-J06),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Influenza (J09-J11),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Neumonía (J12-J18),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Bronquitis/bronquiolitis aguda (J20-J21),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Crisis obstructiva bronquial (J40-J46),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
COVID 19 Sospechoso (U072),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
COVID 19 Confirmado (U071),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
TOTAL CAUSAS SISTEMA CIRCULATORIO,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Infarto agudo miocardio,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Accidente vascular encefálico,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Crisis hipertensiva,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Arritmia grave,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Otras causas circulatorias,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Accidentes del tránsito,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Lesiones autoinfligidas intencionalmente (X60-X84),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Otras causas externas,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Ideación Suicida (R458),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Trastornos del Humor (Afectivos) (F30-F39),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
Otros trastornos mentales no contenidos en las categorías anteriores,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
DIARREA AGUDA (A00-A09),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
TOTAL DEMÁS CAUSAS,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- CAUSAS SISTEMA RESPIRATORIO,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- COVID 19 SOSPECHOSO (U072),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- COVID 19 CONFIRMADO (U071),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- CAUSAS SISTEMA CIRCULATORIO,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- TRAUMATISMOS Y ENVENENAMIENTOS,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
- LAS DEMÁS CAUSAS,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
CIRUGÍAS DE URGENCIA,-,-,-,-,-,-,-,-,2022,Bíobío,SUR,SUR Monteaguila
