Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,7488,1008,1016,1106,1212,1259,1142,745,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,6780,913,947,1021,1091,1115,1021,672,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
TOTAL CAUSAS SISTEMA RESPIRATORIO,469,62,79,73,78,71,69,37,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
IRA Alta (J00-J06),228,29,31,43,42,38,27,18,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Neumonía (J12-J18),73,8,12,7,4,15,19,8,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Bronquitis/bronquiolitis aguda (J20-J21),5,1,0,1,0,1,0,2,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Crisis obstructiva bronquial (J40-J46),75,15,22,8,9,10,9,2,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",88,9,14,14,23,7,14,7,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
COVID 19 Sospechoso (U072),929,35,58,141,199,219,164,113,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
COVID 19 Confirmado (U071),354,8,6,18,70,125,105,22,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
TOTAL CAUSAS SISTEMA CIRCULATORIO,267,52,49,33,35,23,38,37,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Infarto agudo miocardio,44,11,4,6,7,4,7,5,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Accidente vascular encefálico,21,4,2,4,2,3,4,2,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Crisis hipertensiva,36,4,8,8,6,3,2,5,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Arritmia grave,28,2,6,2,6,3,3,6,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Otras causas circulatorias,138,31,29,13,14,10,22,19,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,42,5,2,8,14,5,8,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Accidentes del tránsito,40,5,2,7,14,5,7,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Lesiones autoinfligidas intencionalmente (X60-X84),2,0,0,1,0,0,1,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Otras causas externas,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),135,27,20,20,13,16,20,19,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Ideación Suicida (R458),1,0,0,0,0,0,1,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),20,4,4,5,1,3,1,2,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Trastornos del Humor (Afectivos) (F30-F39),5,1,2,0,2,0,0,0,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",40,7,2,6,4,4,5,12,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
Otros trastornos mentales no contenidos en las categorías anteriores,69,15,12,9,6,9,13,5,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
DIARREA AGUDA (A00-A09),329,67,49,61,56,30,33,33,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
TOTAL DEMÁS CAUSAS,4255,657,684,667,626,626,584,411,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,507,84,74,75,55,77,83,59,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- CAUSAS SISTEMA RESPIRATORIO,36,8,3,4,2,7,6,6,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- COVID 19 SOSPECHOSO (U072),12,2,1,2,0,2,3,2,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- COVID 19 CONFIRMADO (U071),26,3,1,3,3,5,5,6,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- CAUSAS SISTEMA CIRCULATORIO,82,15,13,9,10,13,11,11,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- TRAUMATISMOS Y ENVENENAMIENTOS,70,16,8,13,10,9,9,5,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),24,7,2,5,4,1,4,1,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
- LAS DEMÁS CAUSAS,257,33,46,39,26,40,45,28,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
CIRUGÍAS DE URGENCIA,159,19,27,32,18,16,28,19,2022,Coquimbo,Hospital,Hospital Dr. Antonio Tirado Lanas (Ovalle)
