Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,3927,520,612,746,788,689,500,72,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,3433,485,514,587,639,617,527,64,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
TOTAL CAUSAS SISTEMA RESPIRATORIO,417,52,75,131,93,31,33,2,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
IRA Alta (J00-J06),292,39,56,88,83,9,16,1,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Neumonía (J12-J18),14,2,1,3,2,1,4,1,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Bronquitis/bronquiolitis aguda (J20-J21),22,4,5,4,4,2,3,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Crisis obstructiva bronquial (J40-J46),8,0,0,1,4,2,1,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",81,7,13,35,0,17,9,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
COVID 19 Sospechoso (U072),744,16,26,78,242,226,144,12,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
COVID 19 Confirmado (U071),146,1,22,42,37,28,15,1,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
TOTAL CAUSAS SISTEMA CIRCULATORIO,46,10,11,6,4,4,9,2,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Infarto agudo miocardio,7,0,0,2,2,1,0,2,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Accidente vascular encefálico,2,1,1,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Crisis hipertensiva,7,1,3,0,0,1,2,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Arritmia grave,12,2,5,1,0,1,3,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Otras causas circulatorias,18,6,2,3,2,1,4,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,543,100,84,91,71,83,100,14,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Accidentes del tránsito,3,1,1,0,1,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Otras causas externas,540,99,83,91,70,83,100,14,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),9,1,3,2,2,0,1,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Trastornos del Humor (Afectivos) (F30-F39),1,0,1,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",3,0,1,0,1,0,1,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
Otros trastornos mentales no contenidos en las categorías anteriores,5,1,1,2,1,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
DIARREA AGUDA (A00-A09),48,19,13,4,3,5,3,1,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
TOTAL DEMÁS CAUSAS,1480,286,280,233,187,240,222,32,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Coquimbo,Hospital,Hospital San Juan de Dios (Vicuña)
