Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,12805,1919,1893,1773,1892,1870,2050,1408,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,10185,1543,1594,1458,1528,1443,1507,1112,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
TOTAL CAUSAS SISTEMA RESPIRATORIO,1085,183,163,121,157,160,157,144,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
IRA Alta (J00-J06),697,116,99,71,102,103,105,101,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Influenza (J09-J11),2,0,1,0,1,0,0,0,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Neumonía (J12-J18),96,16,19,11,18,11,14,7,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Bronquitis/bronquiolitis aguda (J20-J21),99,18,18,19,12,13,9,10,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Crisis obstructiva bronquial (J40-J46),50,11,5,4,7,8,8,7,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",141,22,21,16,17,25,21,19,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
COVID 19 Sospechoso (U072),452,23,13,49,64,81,127,95,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
COVID 19 Confirmado (U071),162,3,18,10,25,32,43,31,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
TOTAL CAUSAS SISTEMA CIRCULATORIO,503,83,68,87,73,66,77,49,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Infarto agudo miocardio,83,15,11,12,15,11,14,5,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Accidente vascular encefálico,114,19,19,18,17,19,9,13,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Crisis hipertensiva,20,1,2,3,3,2,7,2,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Arritmia grave,71,17,8,14,9,7,11,5,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Otras causas circulatorias,215,31,28,40,29,27,36,24,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,2149,297,345,322,326,323,303,233,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Accidentes del tránsito,389,49,63,36,56,72,54,59,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Lesiones autoinfligidas intencionalmente (X60-X84),7,1,1,3,1,0,1,0,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Otras causas externas,1753,247,281,283,269,251,248,174,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),175,27,29,27,15,26,30,21,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Ideación Suicida (R458),2,0,0,0,0,0,2,0,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),23,5,3,7,2,1,2,3,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Trastornos del Humor (Afectivos) (F30-F39),16,1,2,5,2,0,5,1,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",84,10,19,11,8,15,12,9,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
Otros trastornos mentales no contenidos en las categorías anteriores,50,11,5,4,3,10,9,8,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
DIARREA AGUDA (A00-A09),187,34,32,10,23,26,28,34,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
TOTAL DEMÁS CAUSAS,5472,893,926,832,845,729,742,505,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,2007,313,302,314,295,271,292,220,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
- CAUSAS SISTEMA RESPIRATORIO,157,22,29,17,25,27,18,19,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
- COVID 19 SOSPECHOSO (U072),16,1,0,3,1,4,4,3,2022,Del Maule,Hospital,Hospital Dr. César Garavagno Burotto (Talca)
