Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,8295,1387,1290,1222,1281,1146,1224,745,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,7075,1142,1145,1068,1066,1008,996,650,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
TOTAL CAUSAS SISTEMA RESPIRATORIO,1072,192,172,156,156,170,142,84,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
IRA Alta (J00-J06),843,151,133,110,121,149,115,64,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Influenza (J09-J11),2,0,1,1,0,0,0,0,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Neumonía (J12-J18),34,4,6,5,4,3,6,6,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Bronquitis/bronquiolitis aguda (J20-J21),78,15,18,18,11,10,5,1,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Crisis obstructiva bronquial (J40-J46),51,12,8,7,9,4,7,4,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",64,10,6,15,11,4,9,9,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
COVID 19 Sospechoso (U072),231,7,13,18,38,51,70,34,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
COVID 19 Confirmado (U071),90,5,4,4,8,22,30,17,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
TOTAL CAUSAS SISTEMA CIRCULATORIO,286,51,50,38,52,37,35,23,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Infarto agudo miocardio,29,6,9,0,6,5,3,0,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Accidente vascular encefálico,64,8,9,10,10,10,9,8,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Crisis hipertensiva,11,4,5,0,0,1,0,1,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Arritmia grave,41,5,3,7,7,7,7,5,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Otras causas circulatorias,141,28,24,21,29,14,16,9,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,1335,223,260,184,203,189,174,102,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Accidentes del tránsito,102,20,17,14,16,16,16,3,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Lesiones autoinfligidas intencionalmente (X60-X84),4,1,0,0,1,0,2,0,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Otras causas externas,1229,202,243,170,186,173,156,99,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),138,14,30,22,19,24,20,9,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),13,2,2,2,3,3,1,0,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Trastornos del Humor (Afectivos) (F30-F39),39,4,8,5,5,5,7,5,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",57,7,12,13,8,9,7,1,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
Otros trastornos mentales no contenidos en las categorías anteriores,29,1,8,2,3,7,5,3,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
DIARREA AGUDA (A00-A09),74,9,18,13,11,7,6,10,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
TOTAL DEMÁS CAUSAS,3849,641,598,633,579,508,519,371,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,1125,200,164,173,163,155,162,108,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- CAUSAS SISTEMA RESPIRATORIO,73,15,9,12,9,5,14,9,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- COVID 19 SOSPECHOSO (U072),19,1,4,1,2,3,6,2,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- COVID 19 CONFIRMADO (U071),42,3,2,1,2,11,14,9,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- CAUSAS SISTEMA CIRCULATORIO,175,31,32,22,29,26,21,14,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- TRAUMATISMOS Y ENVENENAMIENTOS,152,28,20,27,23,16,28,10,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),66,4,15,7,18,11,7,4,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
- LAS DEMÁS CAUSAS,598,118,82,103,80,83,72,60,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Del Maule,Hospital,Hospital San Juan de Dios (Curicó)
