Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,3308,623,690,674,515,316,305,185,2022,Iquique,SAPU,SAPU El Boro
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,2638,475,511,487,414,301,274,176,2022,Iquique,SAPU,SAPU El Boro
TOTAL CAUSAS SISTEMA RESPIRATORIO,436,83,118,91,54,42,32,16,2022,Iquique,SAPU,SAPU El Boro
IRA Alta (J00-J06),400,78,110,90,46,36,28,12,2022,Iquique,SAPU,SAPU El Boro
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Neumonía (J12-J18),3,1,2,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Bronquitis/bronquiolitis aguda (J20-J21),10,3,3,0,2,1,0,1,2022,Iquique,SAPU,SAPU El Boro
Crisis obstructiva bronquial (J40-J46),15,1,0,1,4,4,2,3,2022,Iquique,SAPU,SAPU El Boro
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",8,0,3,0,2,1,2,0,2022,Iquique,SAPU,SAPU El Boro
COVID 19 Sospechoso (U072),481,111,169,109,57,20,9,6,2022,Iquique,SAPU,SAPU El Boro
COVID 19 Confirmado (U071),275,16,44,71,87,31,14,12,2022,Iquique,SAPU,SAPU El Boro
TOTAL CAUSAS SISTEMA CIRCULATORIO,39,3,5,11,7,6,4,3,2022,Iquique,SAPU,SAPU El Boro
Infarto agudo miocardio,3,1,1,0,0,1,0,0,2022,Iquique,SAPU,SAPU El Boro
Accidente vascular encefálico,2,0,0,1,1,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Crisis hipertensiva,16,1,3,6,4,1,1,0,2022,Iquique,SAPU,SAPU El Boro
Arritmia grave,2,0,0,0,0,0,1,1,2022,Iquique,SAPU,SAPU El Boro
Otras causas circulatorias,16,1,1,4,2,4,2,2,2022,Iquique,SAPU,SAPU El Boro
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,190,31,23,29,25,29,34,19,2022,Iquique,SAPU,SAPU El Boro
Accidentes del tránsito,1,0,0,0,1,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Otras causas externas,189,31,23,29,24,29,34,19,2022,Iquique,SAPU,SAPU El Boro
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),27,5,4,2,2,6,3,5,2022,Iquique,SAPU,SAPU El Boro
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
Trastornos del Humor (Afectivos) (F30-F39),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",25,5,4,2,2,6,3,3,2022,Iquique,SAPU,SAPU El Boro
Otros trastornos mentales no contenidos en las categorías anteriores,2,0,0,0,0,0,0,2,2022,Iquique,SAPU,SAPU El Boro
DIARREA AGUDA (A00-A09),239,50,30,23,37,43,37,19,2022,Iquique,SAPU,SAPU El Boro
TOTAL DEMÁS CAUSAS,951,176,118,151,145,124,141,96,2022,Iquique,SAPU,SAPU El Boro
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Iquique,SAPU,SAPU El Boro
