Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,2065,291,273,284,322,358,339,198,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1882,258,239,273,303,318,314,177,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
TOTAL CAUSAS SISTEMA RESPIRATORIO,93,21,14,14,12,17,9,6,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
IRA Alta (J00-J06),45,13,4,5,5,7,8,3,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Neumonía (J12-J18),7,1,0,3,0,2,0,1,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Bronquitis/bronquiolitis aguda (J20-J21),5,3,1,0,1,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",36,4,9,6,6,8,1,2,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
COVID 19 Sospechoso (U072),468,32,20,63,87,124,84,58,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
COVID 19 Confirmado (U071),6,0,0,0,0,2,1,3,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
TOTAL CAUSAS SISTEMA CIRCULATORIO,33,8,0,1,5,3,7,9,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Infarto agudo miocardio,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Accidente vascular encefálico,1,1,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Crisis hipertensiva,4,1,0,0,2,1,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Arritmia grave,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Otras causas circulatorias,28,6,0,1,3,2,7,9,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,263,20,31,31,42,42,74,23,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Accidentes del tránsito,26,0,6,11,6,2,0,1,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Lesiones autoinfligidas intencionalmente (X60-X84),2,0,1,0,0,0,1,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Otras causas externas,235,20,24,20,36,40,73,22,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),16,1,3,0,1,4,5,2,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Ideación Suicida (R458),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),1,0,0,0,0,1,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Trastornos del Humor (Afectivos) (F30-F39),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
Otros trastornos mentales no contenidos en las categorías anteriores,15,1,3,0,1,3,5,2,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
DIARREA AGUDA (A00-A09),10,1,1,1,3,4,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
TOTAL DEMÁS CAUSAS,993,175,170,163,153,122,134,76,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Libertador B. O'Higgins,Hospital,Hospital de Litueche
