Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,2591,458,416,410,449,343,338,177,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,1702,273,318,291,272,218,230,100,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
TOTAL CAUSAS SISTEMA RESPIRATORIO,112,6,23,22,22,13,21,5,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
IRA Alta (J00-J06),63,4,9,13,17,5,12,3,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Neumonía (J12-J18),12,0,1,4,1,4,1,1,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Bronquitis/bronquiolitis aguda (J20-J21),11,2,6,2,0,0,1,0,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Crisis obstructiva bronquial (J40-J46),10,0,5,2,1,1,1,0,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",16,0,2,1,3,3,6,1,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
COVID 19 Sospechoso (U072),110,8,9,17,27,24,20,5,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
COVID 19 Confirmado (U071),9,0,3,1,1,2,1,1,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
TOTAL CAUSAS SISTEMA CIRCULATORIO,110,24,20,17,18,8,15,8,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Infarto agudo miocardio,8,2,2,3,1,0,0,0,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Accidente vascular encefálico,15,3,4,1,2,1,3,1,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Crisis hipertensiva,13,4,3,3,2,0,0,1,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Arritmia grave,12,2,0,4,0,2,1,3,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
Otras causas circulatorias,62,13,11,6,13,5,11,3,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,196,25,39,33,28,26,29,16,2022,Metropolitano Sur,Hospital,"Hospital Parroquial (Santiago, San Bernardo)"
