Urgencia,Total,1,2,3,4,5,6,7,Fecha,Region,Tipo Establecimiento,Nombre establecimiento
TOTAL DEMANDA,3368,549,524,520,504,551,441,279,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
SECCIÓN 1 TOTAL ATENCIONES DE URGENCIA,3176,526,499,497,468,506,411,269,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
TOTAL CAUSAS SISTEMA RESPIRATORIO,580,141,98,100,80,64,62,35,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
IRA Alta (J00-J06),492,121,89,78,68,52,54,30,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Influenza (J09-J11),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Neumonía (J12-J18),14,2,2,2,2,2,3,1,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Bronquitis/bronquiolitis aguda (J20-J21),34,11,1,10,4,5,2,1,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Crisis obstructiva bronquial (J40-J46),24,6,2,6,2,4,1,3,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",16,1,4,4,4,1,2,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
COVID 19 Sospechoso (U072),790,62,74,121,170,200,117,46,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
COVID 19 Confirmado (U071),36,1,3,4,2,1,20,5,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
TOTAL CAUSAS SISTEMA CIRCULATORIO,78,12,13,7,14,10,10,12,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Infarto agudo miocardio,3,0,1,0,2,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Accidente vascular encefálico,4,2,1,0,0,0,1,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Crisis hipertensiva,43,6,8,5,5,5,7,7,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Arritmia grave,3,1,0,0,0,1,1,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Otras causas circulatorias,25,3,3,2,7,4,1,5,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
TOTAL TRAUMATISMOS Y ENVENENAMIENTO,216,42,42,46,29,19,25,13,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Accidentes del tránsito,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Lesiones autoinfligidas intencionalmente (X60-X84),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Otras causas externas,216,42,42,46,29,19,25,13,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
TOTAL CAUSAS DE TRASTORNOS MENTALES (F00-F99),44,7,7,7,8,6,6,3,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Ideación Suicida (R458),1,0,0,0,0,1,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Trastornos del Humor (Afectivos) (F30-F39),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48) Incluído el trastorno de pánico (F410)",42,6,7,7,8,5,6,3,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
Otros trastornos mentales no contenidos en las categorías anteriores,1,1,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
DIARREA AGUDA (A00-A09),34,4,5,9,3,10,3,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
TOTAL DEMÁS CAUSAS,1398,257,257,203,162,196,168,155,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
SECCIÓN 2 TOTAL DE HOSPITALIZACIONES,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- CAUSAS SISTEMA RESPIRATORIO,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- COVID 19 SOSPECHOSO (U072),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- COVID 19 CONFIRMADO (U071),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- CAUSAS SISTEMA CIRCULATORIO,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- TRAUMATISMOS Y ENVENENAMIENTOS,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- CAUSAS POR TRASTORNOS MENTALES (F00-F99),0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
- LAS DEMÁS CAUSAS,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
CIRUGÍAS DE URGENCIA,0,0,0,0,0,0,0,0,2022,Metropolitano Sur,SAPU,SAPU Clara Estrella
